Headlines,Dates,Descriptions
The DFEH’s Misguided Lawsuit,"The Tesla Team, February 9, 2022","The California Department of Fair Employment and Housing (DFEH) intends to file a lawsuit against Tesla alleging systematic racial discrimination and harassment. This follows a three-year investigation during which the DFEH—whose mission is supposedly to protect workers—has never once raised any concern about current workplace practices at Tesla. Rather, the lawsuit appears focused on alleged misconduct by production associates at the Fremont factory that took place between 2015 and 2019."
Introducing Plaid Track Mode,"The Tesla Team, January 6, 2022","Since Track Mode was launched in 2018 on Model 3 Performance, we have taken advantage of instant motor torque to make cornering on the track feel as natural as forward acceleration."
Introducing Software V11.0,"The Tesla Team, December 24, 2021","Software Version 11.0 is here as part of our biggest holiday release yet. Introducing some of our most creative features, from a new Light Show function that lets you (or anyone with a computer) choreograph light shows to your own music, to new games and entertainment experiences, safety features, customizable controls and an all-new user-interface design."
Model Y Awarded IIHS Top Safety Pick+,"The Tesla Team, December 22, 2021","Every Tesla is engineered to provide maximum safety for drivers, passengers and pedestrians. In 2020, Model Y earned a 5-star safety rating in every category from the National Highway Traffic Safety Administration (NHTSA), achieving our goal of making Model Y one of the safest vehicles available."
Regarding Today’s Jury Verdict,"October 4, 2021","*Sharing this recent note to employees from Valerie Capers Workman, VP People:

Hi Team,

Earlier today, a jury in San Francisco decided that in late 2015 and early 2016 Tesla failed to make sure that one contract employee (Owen Diaz) was not racially harassed while he worked at the Tesla Fremont factory. I heard the testimony of every witness. I was at the defense table for Tesla every day during the trial because I wanted to hear firsthand what Mr. Diaz said happened to him."
Back To The Office: Excellence & Respect,"July 21, 2021","*Sharing this recent note to employees from Valerie Capers Workman, VP People:

Hi Team,

This month we are in the process of welcoming employees back to Tesla offices. Whether you’ve been working on site or working remotely, we want to thank you for your hard work as Tesla continues to break records and achieve new milestones virtually every day. We are returning to a new normal, but the basic principles that guide Tesla’s success remain the same: excellence and respect."
Model Y Achieves 5-Star Overall Safety Rating from NHTSA,"The Tesla Team, January 13, 2021","Since the launch of Model S in 2012, we have engineered every Tesla around the same advanced architecture that maximizes occupant safety. Today, Model Y, Tesla’s mid-size Sport Utility Vehicle (SUV), is the latest Tesla vehicle to earn a 5-star safety rating in every category from the National Highway Traffic Safety Administration (NHTSA)."
"U.S. Diversity, Equity and Inclusion Report","The Tesla Team, December 4, 2020","Today, we are publishing our first ever U.S. Diversity, Equity and Inclusion Report which outlines the current state of our DEI position and actions we are taking to engage with employees, candidates and community members, as we encourage talented people from all backgrounds to join us on our mission to accelerate the world’s transition to sustainable energy. We look forward to sharing further progress in future reports as we continue to innovate and enhance our diversity, equity and inclusion practices."
Health and Safety at Tesla,"The Tesla Team, July 2, 2020","Recent reports that we have terminated employees due to their concerns over health practices are fundamentally untrue. The employees quoted in recent stories are still employed with Tesla and we have offered them work multiple times. All we have asked is that our employees talk to us and provide us the details of their own concern so we can do what we can to help find a solution. Tesla has not only offered employees a window of time to stay home no questions asked, but waived our attendance policy for several weeks after we had approval to reopen our factories. In addition, those who have at-risk family members at home received two weeks paid leave through May 31. Tesla also provides 14-day COVID sick leave pay for employees who are quarantined, self-quarantine due to family members who are sick or have tested positive."
The Lowest Price for Home Solar,"The Tesla Team, June 19, 2020","Today we are introducing the lowest-ever cost to go solar in the United States. Our average system size is now one-third less expensive than the industry average and we have recently introduced a lowest-price guarantee. If you change your mind after purchasing or are unhappy with the system, we will uninstall it and issue a full refund within seven days from system turn on."
Model S Long Range Plus: Building the First 400-Mile Electric Vehicle,"The Tesla Team, June 15, 2020","The freedom to travel anywhere is critical to Tesla’s mission. Since the introduction of our 265-mile Model S in 2012, we’ve continued to revisit every aspect of the design to deliver the longest-range and highest-performance electric vehicles on the road."
Getting Back to Work,"The Tesla Team, May 9, 2020","Tesla is the last major carmaker remaining in California, and the largest manufacturing employer in the State with more than 10,000 employees at our Fremont factory and 20,000 statewide. We understand the impacts COVID-19 has caused and have a responsibility to look out for the livelihoods and safety of our personnel, many of whom rely on us and have been out of work for weeks due to the impacts of shelter-in-place orders."
Tesla Welcomes Hiromichi Mizuno as New Independent Director to its Board,"The Tesla Team, April 23, 2020","We are pleased to welcome Hiromichi (Hiro) Mizuno to Tesla’s Board of Directors and Audit Committee, effective April 23, 2020."
Accelerating Tesla’s Safety Culture,"Laurie Shelby, VP Environmental, Health & Safety at Tesla, February 4, 2020","At Tesla, we believe safety in our operations is achieved through engagement, education, innovation and continual improvement. That’s why we focus not just on our overall rate of injury, but also on how to prevent individual injuries before they happen."
There is no “unintended acceleration” in Tesla vehicles,"The Tesla Team, January 20, 2020","This petition is completely false and was brought by a Tesla short-seller. We investigate every single incident where the driver alleges to us that their vehicle accelerated contrary to their input, and in every case where we had the vehicle's data, we confirmed that the car operated as designed. In other words, the car accelerates if, and only if, the driver told it to do so, and it slows or stops when the driver applies the brake."
Model X Earns a 5-Star Safety Rating from Euro NCAP,"The Tesla Team, December 4, 2019","Model X made history when it became the first and only SUV to ever receive a 5-star safety rating in every category and sub-category from the U.S. National Highway Traffic Safety Administration. Today, we’re excited to build on that legacy with the addition of a 5-star safety rating from the European New Car Assessment Programme (Euro NCAP), which evaluates a car’s safety assistance features as well as its ability to protect adults, children and vulnerable road users."
Introducing Software Version 10.0,"The Tesla Team, September 26, 2019","It’s here. Software Version 10.0 – our biggest software update ever. We’re raising the bar for what people have come to expect from their cars with new entertainment, gaming, music, and convenience features designed to make your car much more capable, as well as making time spent in your car more fun."
Model 3 Earns the 2019 IIHS TOP SAFETY PICK+ Award,"The Tesla Team, September 18, 2019","We engineer our cars to be the best in the world – in every category. Model 3, our most affordable car yet, is no exception. From the start, we designed it to be among the safest cars ever built, with the goal of getting as many Model 3s on the road as possible to further our mission."
Introducing Tesla Insurance,"The Tesla Team, August 28, 2019","Starting today, we’re launching Tesla Insurance, a competitively priced insurance offering designed to provide Tesla owners with up to 20% lower rates, and in some cases as much as 30%. Tesla Insurance offers comprehensive coverage and claims management to support our customers in California, and it will expand to additional U.S. states in the future."
Introducing Megapack: Utility-Scale Energy Storage,"The Tesla Team, July 29, 2019","Less than two years ago, Tesla built and installed the world’s largest lithium-ion battery in Hornsdale, South Australia, using Tesla Powerpack batteries. Since then, the facility saved nearly $40 million in its first year alone and helped to stabilize and balance the region’s unreliable grid."
Model 3 earns 5-Star Safety Rating from Euro NCAP,"The Tesla Team, July 3, 2019","At Tesla, we’re deeply committed to safety, which is why we engineered Model 3 to be the safest car ever built. In the U.S., Model 3 has already earned an overall 5-star rating from NHTSA (National Highway Traffic Safety Administration), including earning 5-stars in every category and sub-category, and scoring the lowest probability of injury of any car ever evaluated by the U.S. New Car Assessment Program."
More Advanced Safety for Tesla Owners,"The Tesla Team, May 2, 2019","While no car can prevent all accidents, we work every day to make them less likely to occur. The massive amount of real-world data gathered from our cars’ eight cameras, 12 ultrasonic sensors, and forward-facing radar, coupled with billions of miles of inputs from real drivers, helps us better understand the patterns to watch out for in the moments before a crash."
The Longest-Range Electric Vehicle Now Goes Even Farther,"The Tesla Team, April 23, 2019","For more than a decade, Tesla engineers have been obsessed with making the world’s most efficient electric vehicles. As a result, Tesla vehicles already travel farther on a single charge than any other production EV on the market. Today, we’re making changes to Model S and Model X that allow them to travel unprecedented distances without needing to recharge, beating our own record for the longest-range production EVs on the road. And we’ve accomplished this without increasing the cars’ battery size, proving that our expertise in system-level design can make our cars dramatically more efficient."
Sustainable Products and Manufacturing,"The Tesla Team, April 15, 2019","Today, we’re publishing our first ever Impact Report, which measures the impact our products and operations have on the environment and our communities. We believe the faster the world moves towards a zero-emission future, the better, so we’re working hard to minimize our greenhouse gas footprint, while investing in our employees and the communities in which we operate. We look forward to sharing further progress in future reports."
An Update to Our Vehicle Lineup,"The Tesla Team, April 11, 2019","Model 3 has been the best-selling premium car in the U.S. for the past three quarters, and we’ve heard from Model 3 owners around the world that they love their cars. It has the highest consumer satisfaction rating of any car in the world."
Introducing a More Seamless Navigate on Autopilot,"The Tesla Team, April 3, 2019","Since we first introduced Navigate on Autopilot last year, Tesla drivers have traveled more than 66 million miles using the feature, and more than 9 million suggested lane changes have been successfully executed with the feature in use. We’ve heard from our customers that it makes road trips and highway driving more relaxing, enjoyable and fun, and gives them an easy way to follow their car’s navigation guidance when traveling on an unfamiliar route."
Tesla’s New Customer Referral Program,"The Tesla Team, March 21, 2019","Customer referrals have been a key part of our growth ever since we began selling Roadster in 2008. Since then, our customers’ enthusiasm for their vehicles has propelled Model 3 to become the best-selling luxury car in the U.S. and the best-selling electric vehicle in the world last year. We’ve heard from our customers that the Referral Program was one of their favorite reasons to tell their friends about Tesla, so today, we’re introducing an all-new Referral Program to give customers another way to share what they love about their cars."
Update on Tesla Stores and Pricing,"The Tesla Team, March 10, 2019","Last month, we announced that we would be winding down many of our stores and moving to online-only sales in order to pass the savings along to our customers."
Introducing V3 Supercharging,"The Tesla Team, March 6, 2019","Tesla has more than 12,000 Superchargers across North America, Europe, and Asia and our network continues to grow daily: more than 99% of the U.S. population is covered by the network, and we anticipate similar coverage in Europe by the end of 2019. Recently, we passed 90% population coverage in China and are growing that number quickly. However, in order to drive continued electric vehicle adoption and further accelerate the world’s transition to sustainable energy, charging needs to be even faster, and the number of vehicles able to charge at a location in a day needs to be significantly higher. Today, we’re unveiling V3 Supercharging, the next step in the growth of Tesla’s Supercharger network. V3, which is born from our experience building the world’s largest grid-connected batteries, enables our vehicles to charge faster than any other electric vehicle on the market today."
"$35,000 Tesla Model 3 Available Now","The Tesla Team, February 28, 2019","We are incredibly excited to announce that the standard Model 3, with 220 miles of range, a top speed of 130 mph and 0-60 mph acceleration of 5.6 seconds is now available at $35,000! Although lower in cost, it is built to achieve the same perfect 5-star safety rating as the longer-ranged version, which has the lowest probability of injury of any car ever tested by the U.S. Government."
Sentry Mode: Guarding Your Tesla,"The Tesla Team, February 13, 2019","According to federal statistics, there was an estimated one motor vehicle theft or attempted theft every 40.8 seconds in the United States in 2017— and that doesn’t even include the vast number of car break-ins that happen nationwide. To further enhance the security of our vehicles and give our customers additional peace of mind, today we’re starting to roll out a new safeguard – Sentry Mode – to protect against break-ins and theft."
Company Update,"January 18, 2019","This morning, the following email was sent to all Tesla employees:



As we all experienced first-hand, last year was the most challenging in Tesla’s history. However, thanks to your efforts, 2018 was also the most successful year in Tesla’s history: we delivered almost as many cars as we did in all of 2017 in the last quarter alone and nearly as many cars last year as we did in all the prior years of Tesla’s existence combined! Model 3 also became the best-selling premium vehicle of 2018 in the US. This is truly remarkable and something that few thought possible just a short time ago."
Tesla Welcomes Larry Ellison and Kathleen Wilson-Thompson as New Independent Directors To Its Board,"The Tesla Team, December 28, 2018","We are excited to announce that Larry Ellison and Kathleen Wilson-Thompson have joined Tesla’s Board of Directors. Each joined the board as an independent director, effective December 27th, 2018."
"Full $7,500 Federal EV Tax Credit Expires in Under Two Weeks","December 20, 2018","The full $7,500 federal tax credit for Tesla customers ends in less than two weeks, and we’re doing everything we can to try to ensure those who order a vehicle today can take delivery by December 31st and take advantage of the savings. To help ensure vehicles are available, we’ve released all our fleet vehicles – like those used for test drives – and vehicles where the original customer can’t take delivery by the end of the year. Our mission is to accelerate the world’s transition to sustainable energy – and to do that, we need to get as many electric vehicles on the road as quickly as possible, which is why we are working around the clock to meet demand before the end of the year."
How Track Mode Works,"The Tesla Team, November 8, 2018","Electric powertrains have numerous advantages over internal combustion engines. In addition to low cost of ownership, energy efficiency, and near silence, they also offer unparalleled responsiveness. Since the introduction of Tesla Roadster in 2008, we’ve exploited the immediate availability of motor power and torque to achieve unprecedented straight-line performance, making the car’s forward acceleration a pure extension of the driver. With Track Mode, which is designed specifically for use on closed autocross circuits and racetracks, our goal was simple: use that same motor power and torque to make cornering on the track feel just as natural as forward acceleration."
Announcing Robyn Denholm as Tesla’s New Board Chair,"Tesla's Board of Directors, November 7, 2018","Tesla’s Board of Directors is pleased to announce that Robyn Denholm has been appointed as Chair of the Tesla Board, effective immediately. So that she will be able to devote her full attention to the Tesla Chair role, Robyn will be leaving her role as CFO and Head of Strategy at Telstra, Australia’s largest telecommunications company, once her six-month notice period with Telstra is complete. Robyn will be serving as Tesla Chair on a full-time basis."
Introducing Navigate on Autopilot,"The Tesla Team, October 26, 2018","Today in the U.S., we’re beginning to roll out our most advanced Autopilot feature ever: Navigate on Autopilot. Since introducing Software Version 9.0, Tesla owners with Enhanced Autopilot have driven tens of millions of miles to support the validation of Navigate on Autopilot, allowing us to collect performance and safety data at scale, based on real-world driving."
One Year In: Tesla Safety Update,"Laurie Shelby, VP, Environmental, Health and Safety (EHS), October 26, 2018","Last October, I joined Tesla to oversee its Environmental, Health and Safety (EHS) team. Reporting directly to Elon and regularly meeting with him, I’ve enjoyed Tesla’s full support as I expanded the company’s global EHS team to 250 employees, adding 35 people at the Fremont factory alone. Over the past year, it’s been clear to me that nothing is more important to Tesla than the health and well-being of its employees. We are the largest manufacturer in the state of California, and while other U.S. auto manufacturers continue to outsource skilled jobs and safety standards, Tesla is creating and keeping more jobs right here in the United States, allowing us to control quality and safety directly. And the result is that our injury rate has continued to trend downward in 2018."
Model 3 achieves the lowest probability of injury of any vehicle ever tested by NHTSA,"The Tesla Team, October 7, 2018","Based on the advanced architecture of Model S and Model X, which were previously found by the National Highway Traffic Safety Administration (NHTSA) to have the lowest and second lowest probabilities of injury of all cars ever tested, we engineered Model 3 to be the safest car ever built. Now, not only has Model 3 achieved a perfect 5-star safety rating in every category and sub-category, but NHTSA’s tests also show that it has the lowest probability of injury of all cars the safety agency has ever tested."
Introducing Software Version 9.0,"The Tesla Team, October 5, 2018","This week, Tesla owners across North America are waking up to a car that is smarter, safer and more intuitive than ever before. Our most substantial update yet, Software Version 9.0, introduces a refined and simplified user interface, along with entirely new features for Model S, Model X, and Model 3, as well as on Tesla’s mobile app."
Q3 2018 Vehicle Safety Report,"The Tesla Team, October 4, 2018","At Tesla, the safety of our customers is our top priority, which is why it’s critical that we design and build the safest cars in the world. Not only do we conduct extensive in-house testing and simulation to ensure our vehicles achieve top safety performance before they ever reach the road, we are also uniquely positioned to leverage the hundreds of thousands of miles of real-world data our fleet collects every month to continuously improve our vehicles and develop a more complete picture of safety over time."
Company Update,"September 7, 2018","The following email was just sent to Tesla employees:



First, I’d like to thank you for your incredible efforts and contribution as we enter the final few weeks of this quarter. This is a very exciting time for Tesla, to say the least, and you are the reason for the tremendous progress we’ve made in a relatively short period of time. It is easy to forget that our company was almost unknown 10 years ago and didn’t even exist until after the start of the 21st century!"
Staying Public,"Elon Musk, August 24, 2018","Earlier this month, I announced that I was considering taking Tesla private. As part of the process, it was important to understand whether our current investors believed this would be a good strategic move and whether they would want to participate in a private Tesla."
Update on Taking Tesla Private,"Elon Musk, August 13, 2018","As I announced last Tuesday, I’m considering taking Tesla private because I believe it could be good for our shareholders, enable Tesla to operate at its best, and advance our mission of accelerating the transition to sustainable energy. As I continue to consider this, I want to answer some of the questions that have been asked since last Tuesday."
What You Need to Know about the Federal EV Tax Credit Phase Out,"The Tesla Team, August 10, 2018","Since 2010, anyone purchasing a qualified electric vehicle, including any new Tesla model, has been eligible to receive a $7,500 federal tax credit. This tax credit begins to phase out once a manufacturer has sold 200,000 qualifying vehicles in the U.S."
Taking Tesla Private,"August 7, 2018","The following email was sent to Tesla employees today:



Earlier today, I announced that I’m considering taking Tesla private at a price of $420/share. I wanted to let you know my rationale for this, and why I think this is the best path forward."
Welcome Sanjay Shah and Jan Oehmicke,"The Tesla Team, May 31, 2018","As we continue to bring new talent to Tesla, today we’re pleased to welcome Sanjay Shah and Jan Oehmicke."
Welcoming New Talent to Tesla,"The Tesla Team, May 25, 2018","As we continue our thorough reorganization to ensure Tesla is well prepared for the future, today we’re pleased to announce a number of key hires that we’ve made over the past several weeks."
A Not So Revealing Story,"The Tesla Team, April 16, 2018","We welcome constructive criticism, but those who care about journalistic integrity should strive for the truth above all. Unfortunately, the writers at Reveal have published an article that paints a completely false picture of Tesla and what it is actually like to work here. In our view, what they portray as investigative journalism is in fact an ideologically motivated attack by an extremist organization working directly with union supporters to create a calculated disinformation campaign against Tesla. The piece even includes an interview with Worksafe – the same organization that the UAW enlisted to publish a negative report against Tesla last year, and whose board includes labor union officials and advocates."
An Update on Last Week’s Accident,"The Tesla Team, March 30, 2018","Since posting our first update, we have been working as quickly as possible to establish the facts of last week’s accident. Our hearts are with the family and friends who have been affected by this tragedy."
What We Know About Last Week's Accident,"The Tesla Team, March 27, 2018","We were deeply saddened to learn that the driver of a Model X vehicle involved in an accident last Friday passed away. Safety is at the core of everything we do and every decision we make, so the loss of a life in an accident involving a Tesla vehicle is difficult for all of us. Earlier this week, Tesla proactively reached out to the authorities to offer our assistance in investigating."
Becoming the Safest Car Factory in the World,"Laurie Shelby, VP, Environmental, Health and Safety (EHS), February 4, 2018","When I recently joined Tesla to oversee employee health and safety, I was asked to take a fresh look at every aspect of how we protect our workforce and ensure a safe working environment. I’ve been focused on workplace safety for over 25 years, and I’ve learned that most issues can be solved by listening to employees, using common sense, being proactive, and ensuring there is a culture that values safety. Since I started, I’ve been pleased to see that much of this work is already happening, and although we are not perfect, we’re taking a number of other steps to achieve our goal of having the safest car factory in the world. Here’s what we’re focused on:"
Hotbed of Misinformation,"The Tesla Team, November 14, 2017","Tesla is absolutely against any form of discrimination, harassment, or unfair treatment of any kind. When we hear complaints, we take them very seriously, investigate thoroughly and, if proven to be true, take immediate action."
Supercharging Cities,"The Tesla Team, September 11, 2017","It is extremely important for our customers to be able to easily charge their cars. The most convenient way to charge is to plug in overnight at home, and for most people, this is all that is needed. However, for customers who use their car for long distance travel, there is a growing network of Superchargers located along highways on popular driving routes. We have also installed thousands of Destination Charging connectors at hotels, resorts and restaurants that replicate the home charging experience when you’re away from home. Now, as part of our commitment to make Tesla ownership easy for everyone, including those without immediate access to home or workplace charging, we are expanding our Supercharger network into city centers, starting with downtown Chicago and Boston."
Tesla Welcomes Linda Johnson Rice and James Murdoch as New Independent Directors to its Board,"The Tesla Team, July 17, 2017","We would like to welcome Linda Johnson Rice, Chairman and Chief Executive Officer of Johnson Publishing Company (JPC), and James Murdoch, Chief Executive Officer of 21st Century Fox (21CF), to Tesla’s board of directors."
Tesla Powerpack to Enable Large Scale Sustainable Energy to South Australia,"The Tesla Team, July 6, 2017","Last September, a 50-year storm damaged critical infrastructure in the state of South Australia, causing a state-wide blackout and leaving 1.7 million residents without electricity. Further blackouts occurred in the heat of the Australian summer in early 2017. In response, the South Australian Government as a leader in renewable energy, looked for a sustainable solution to ensure energy security for all residents, now and into the future, calling for expressions of interest to deploy grid-scale energy storage options with at least 100 megawatts (MW) of capacity."
Tesla Model X the First SUV Ever to Achieve 5-Star Crash Rating in Every Category,"The Tesla Team, June 13, 2017","We engineered Model X to be the safest SUV ever, and today, the National Highway Traffic Safety Administration (NHTSA) announced that after conducting independent testing, it has awarded Model X a 5-star safety rating in every category and sub-category, making it the first SUV ever to earn the 5-star rating across the board. More than just resulting in a 5-star rating, the data from NHTSA’s testing shows that Model X has the lowest probability of injury of any SUV it has ever tested. In fact, of all the cars NHTSA has ever tested, Model X’s overall probability of injury was second only to Model S."
Creating the Safest Car Factory in the World,"The Tesla Team, May 14, 2017","Earlier this year, the United Automobile Workers (UAW) announced it was attempting to organize workers in Tesla’s Fremont factory. The latest phase of their campaign involves a concerted and professional media push intended to raise questions about safety at Tesla."
The Next Step in Energy Storage: Aggregation,"The Tesla Team, May 12, 2017","Today, modern utilities and grid operators are utilizing battery technology like never before. The next step in tapping the potential of energy storage is putting together thousands of batteries to form an energy network that utilities can use to deliver immediate value for the electric system. Tesla can now bundle Powerwall and Powerpack batteries into a single portfolio, also called aggregation, to make the grid cleaner and more efficient. Meanwhile, Powerwall customers who allow Tesla and the utilities to use their battery when energy demand is highest will not only have home backup power, but will also receive compensation for its use on the grid."
Solar Roof,"The Tesla Team, May 10, 2017","Tesla’s mission is to accelerate the world’s transition to a sustainable energy future by creating products that are so compelling, there is no alternative. Solar energy has always been part of our master plan, and we recognized the need for a roof that is simultaneously affordable, durable, beautiful and integrated with battery storage."
Charging Is Our Priority,"The Tesla Team, April 24, 2017","As Tesla prepares for our first mass-market vehicle and continues to increase our Model S and Model X fleet, we’re making charging an even greater priority. It is extremely important to us and our mission that charging is convenient, abundant, and reliable for all owners, current and future. In 2017, we’ll be doubling the Tesla charging network, expanding existing sites so drivers never wait to charge, and broadening our charging locations within city centers."
Model S or Model 3,"The Tesla Team, April 6, 2017","We’ve been getting ready for Model 3 by advancing manufacturing, expanding our charging network, improving service, opening more retail stores and much more."
CFO Jason Wheeler to Depart in April to Pursue Opportunities in Public Policy,"The Tesla Team, February 22, 2017","Tesla today announced that CFO Jason Wheeler has decided to leave the company in April to pursue opportunities in public policy. Jason will be replaced by Deepak Ahuja, who was Tesla’s first CFO and worked for the company for more than seven years before stepping away in 2015. Deepak will formally take over as CFO in early March, with Jason remaining at Tesla through early April to ensure a smooth transition."
Tesla’s Statement on NHTSA’s Report,"The Tesla Team, January 19, 2017","At Tesla, the safety of our customers comes first, and we appreciate the thoroughness of NHTSA’s report and its conclusion."
Building the Supercharger Network for the Future,"The Tesla Team, January 12, 2017","Tesla created the Supercharger network to make long-distance travel a seamless experience for drivers. Cars have always represented independence and the freedom to travel wherever and whenever people want to go. To enable this freedom, building a charging network that provides quick, convenient, and long-distance travel is critical to the adoption of electric vehicles. One of our top priorities this year is to significantly increase capacity of our Supercharger network."
Battery Cell Production Begins at the Gigafactory,"The Tesla Team, January 4, 2017","Tesla’s mission is to accelerate the world’s transition to sustainable energy through increasingly affordable electric vehicles in addition to renewable energy generation and storage. At the heart of these products are batteries. Today at the Gigafactory, Tesla and Panasonic begin mass production of lithium-ion battery cells, which will be used in Tesla’s energy storage products and Model 3."
"Tesla and Panasonic Will Begin Manufacturing Solar Cells and Modules in Buffalo, NY","The Tesla Team, December 27, 2016","Tesla and Panasonic have finalized an agreement this week to begin the manufacturing of photovoltaic (PV) cells and modules at the Buffalo, NY factory. These high-efficiency PV cells and modules will be used to produce solar panels in the non-solar roof products. When production of the solar roof begins, Tesla will also incorporate Panasonic's cells into the many kinds of solar glass tile roofs that Tesla will be manufacturing. All of these solar products will work seamlessly with Tesla’s energy storage products, Powerwall and Powerpack. Production of the first PV modules will begin in summer 2017, and will ramp to 1 Gigawatt of module production by 2019."
Improving Supercharger Availability,"The Tesla Team, December 16, 2016","We designed the Supercharger network to enable a seamless, enjoyable road trip experience. Therefore, we understand that it can be frustrating to arrive at a station only to discover fully charged Tesla cars occupying all the spots. To create a better experience for all owners, we’re introducing a fleet-wide idle fee that aims to increase Supercharger availability."
Tesla’s Acquisition of SolarCity Receives Shareholder Approval,"The Tesla Team, November 17, 2016","Tesla’s shareholders have overwhelmingly approved our acquisition of SolarCity. Excluding the votes of Elon and other affiliated shareholders, more than 85% of shares voted were cast in favor of the acquisition. With SolarCity’s shareholders also having approved the acquisition, the transaction will be completed in the coming days."
Tesla Owners in Germany,"The Tesla Team, November 10, 2016","In response to Germany’s Kraftfahrt-Bundesamt (KBA)’s suggestion that using the name “Autopilot” is misleading, we worked with a third-party to survey Tesla owners in Germany to better understand how they perceive Autopilot."
Formation of Tesla Advanced Automation Germany,"The Tesla Team, November 8, 2016","Accelerating a sustainable energy future is only possible with high-volume factories. They allow us to manufacture high-quality products with economies of scale, making them more affordable and accessible to the world. As the machine that builds the machine, our factories are so important that we believe they will ultimately deserve an order of magnitude more attention in engineering than what they produce. At very high production volumes, the factory becomes more of a product than the product itself."
Model X Wins the Golden Steering Wheel,"The Tesla Team, November 8, 2016","Today, we are truly honored to announce that Model X has been awarded the Golden Steering Wheel (Das Goldene Lenkrad), one of the most prestigious automotive awards in the world. Candidates for this award are nominated by hundreds of thousands across Europe for excellence across six categories. The Golden Steering Wheel jury, composed of professional race car drivers, accomplished technicians, editors, designers, and digital and connectivity experts, then spent three days judging Model X."
An Update to Our Supercharging Program,"The Tesla Team, November 7, 2016","Four years ago, Tesla introduced the Supercharger Network – the world’s fastest charging solution – to enable convenient long distance travel. Today, more than 4,600 Superchargers allow over 160,000 Tesla owners to drive across the continental U.S., from the Arctic Circle to the south of Spain, and across all of the population centers in China and Japan, among many other places. Supercharging has even helped owners drive their Teslas around the world."
Tesla's Statement on ISS's Support of the SolarCity Acquisition,"The Tesla Team, November 4, 2016","We very much appreciate that Institutional Shareholder Services (ISS), following an in-depth examination of both companies, recommends in favor of Tesla's acquisition of SolarCity."
Tesla and SolarCity,"November 1, 2016","Our Mission, Our Vision, and Our Products This year, CO2 concentration levels permanently exceeded the alarming 400 parts per million threshold. Many climate scientists believe this level will have a catastrophic impact on the environment. According to NASA, 2016 had the warmest September in 136 years of modern record-keeping."
