Headlines,Dates,Descriptions
Tesla Roadster Braves Local Weather in Montreal,23 Dec 2011,"A Tesla Roadster was spotted in front of Matthew's house, our local reporter from Montreal, Canada. The Roadster looks a bit ill-equipped for the type of."
Earthquake rattles New Zealand’s Christchurch,23 Dec 2011,"An earthquake of 5.8 magnitude struck near the New Zealand city of Christchurch, the US Geological Survey said, prompting the evacuation of public buildings..."
Mantiques is all about antiques for men,23 Dec 2011,Just off of the Ohio Turnpike southwest of Port Clinton is the tiny town of Elmore with a population of 1487.
Australia has a wild Christmas,28 Dec 2011,Tropical Cyclone Grant brings Christmas day mayhem to northern Australia with wild weather for the Gold Coast and SE.
Chrysler announces the new 2012 300 and 300C Luxury Sedans,28 Dec 2011,The Chrysler brand has made an increasingly strong push towards being a luxury automaker over the past few years and with the introduction of the 2012...
GM recalls Chevrolet Sonic models to check for missing brake pads,29 Dec 2011,General Motors is recalling 4296 Chevrolet Sonic subcompact models to inspect for missing brake pads. The missing part could lengthen the stopping di.
Mini introduces two special editions,19 Jan 2012,"Mini has introduced two special-edition Coopers, the Mini Baker Street and the Mini Bayswater. The company says the models were made to spread London'"
First Photos Of Lauren Scruggs Smiling Bravely As She Goes For Rehab,19 Jan 2012,"By Debbie Emery - Radar Reporter More than six weeks after she suffered horrific injuries from being hit by a small plane propeller, Lauren Sruggs is."
Mini Cooper Special Editions,19 Jan 2012,Baker Street was where the fictional Sherlock Holmes lived. Advertisement - Continue Reading Below. 5. Hood stripes are included pinterest.
Toyota 2000GT EV Conversion Is Solar-Powered Sacrilege,23 Jan 2012,"We love electric vehicles, but even we think making a solar EV out of a mint-condition Toyota 2000GT is going too far."
First Honda Fit EV Delivered To California City Fleet,23 Jan 2012,"While carmakers like Nissan, Tesla and Renault go on the electric car offensive, Honda has been somewhat candid about its electric car plans."
Volkswagen Introduces Five-Door Up! Variant for Europe,23 Jan 2012,Volkswagen dropped a non-surprise today in the form of the five-door variant of its Up! city car. We've pretty thoroughly covered the three-door Up! since...
"The Greatest innovators of all time: Edison, Jobs, Zuckerberg (but no Bill Gates?)",27 Jan 2012,Maybe Bill Gates needs to burnish his legacy a bit with the kids. A survey released this week asked 1010 young adults between the ages of 16 to 25 who they...
The Definitive Guide To Derogatory Auto Acronyms,27 Jan 2012,"I was pleased when Fiat announced their return to America, but, now that the brand is settling in, I realized there's an issue. See, any new 500 driver with..."
Canadian Condo Won't Let Chevrolet Volt Owner Charge His Car,27 Jan 2012,"A Chevrolet Volt owner in Ottawa, Ontario has been blocked by his condominium board from charging his Chevrolet Volt – even though he has offered to r…"
2012 Chrysler 300 Mopar 12,02 Feb 2012,"In keeping with the series of Mopar special editions, the Chrysler 300 S-based Mopar 12 features blue pinstriping on the body sides, wheel rims, and hood;..."
Search by Color? A Little-Known Trick to Find the Right Image,02 Feb 2012,"Flickr: Richard Morton By Tasha Bergson-Michelson At its heart, clever searching lies at the intersection of critical thinking, imagination, and the savvy..."
2012 Chrysler 300 Earns NHTSA's Highest Safety Rating | U.S. News,02 Feb 2012,"The 2012 Chrysler 300 has earned a five-star overall crash test rating, which is the highest possible, from the federal government's National Highway..."
"Seen the JAC 4R3 Ford F150 clone from China? Now, look where it's based on...",03 Feb 2012,"When I published the first story (new pics!) about the JAC 4R3 Ford F150 clone from China I knew such a big truck couldn't suddenly come out of nowhere,"
A truckload full of beer and a sweet Chinese girl; it must be Weekend again,03 Feb 2012,"Hello Readers, Late Friday night here in Beijing. To end this very busy week a nice pic with a truckload full of beer and a sweet Chinese girl, sure she."
"Video Find: The BMW 3 Series Likes Dogs, Small Children; Doesn't Like In-Laws",03 Feb 2012,"BMW has got a crop of new videos hawking the new 3 Series sport sedan, and two of them are headed to your television during this weekend's Super Bowl."
Volkswagen Golf GTI cabriolet adds punch to the Geneva motor show,27 Feb 2012,Volkswagen has revealed the definitive production version of the Golf GTI cabriolet ahead of the live premiere at next week's Geneva motor show. First.
"Kia unveils KH/K9 rear-drive sedan photos on Facebook, asks for naming help",27 Feb 2012,"Unlike Peter Schreyer's striking Optima, which clearly thumbs its nose at his previous masters in Wolfsburg by showing them what the new Volkswagen Pa."
"MRI plan short-sighted, warns expert",28 Feb 2012,A leading expert on medical imaging is warning New Brunswick against its plan to use only 1.5T magnetic resonance imaging machines to equip five regional...
Our Semi-Exclusive Interview With The Volt Gun-Rack Guy,28 Feb 2012,"John McDole, the inventor behind the Volt gun rack, shares his thoughts on the Volt, its critics and the politics surrounding the car."
3T MRI opens new avenues for breast cancer diagnosis,28 Feb 2012,"VIENNA - It's early days, but the power of high-field imaging is going to push the limits of what radiologists believe is possible in breast MRI,..."
"Hybrid maker Bright Automotive goes bust - Feb. 29, 2012",29 Feb 2012,"Hybrid vehicle maker Bright Automotive has announced plans to close, blasting the Department of Energy for failing to finalize a loan that the firm says..."
"Fiat Upgrades Strada Compact Pickup with ""Lumberjack"" Package",29 Feb 2012,"European buyers will now be privy to a nicer, better-equipped version of the Fiat Strada compact pickup. Dubbed the Strada by Lumberjack,..."
"Bentley Mulsanne gets theater, iPad options",29 Feb 2012,Bentley is adding to its Bespoke catalog with two new options. Buyers can choose the Theater Specification if they are looking for in-car entertainmen.
How not to 'brick' your EV battery,01 Mar 2012,"When buying any new type of technology, it's important to read the fine print. That's what some electric car owners are apparently finding out."
Tesla Model X & Insurance Rates,01 Mar 2012,"The online insurance resource company collected data from six major insurance carriers; factoring in frequency of crashes for each model, the cost of repairs..."
Tesla shows off Roadster chassis at Palo Alto event,01 Mar 2012,"The chassis of the all-electric Tesla Roadster was displayed Thursday, March 1, 2012 at the Palo Alto Chamber of Commerce's 2012 Business EXPO."
"TESLA, KIX, Y&T, GREAT WHITE, HELIX, XYZ Confirmed For 'Monsters Of Rock' Cruise",05 Mar 2012,"The cruise is based on a legendary rock festival at Castle Donington, Leicestershire, England. Seven metal bands and thousands of rabid fans converged on the..."
Lamborghini Aventador J sells for $2.8 million,05 Mar 2012,"The Lamborghini Aventador J is one of the most extreme speed demons ever built--and not surprisingly, it sold quickly."
2013 GMC Sierra and Chevy Silverado HD Bi-Fuel CNG and Gasoline Capable,05 Mar 2012,GM today announced that the 2013 Chevrolet Silverado 2500 HD and 2013 GMC Sierra 2500 HD pickup trucks will now be available with a bi-fuel system.
2012 Geneva Motor Show - Lamborghini Aventador J unveiled,07 Mar 2012,An unknown buyer has already bought the one-off topless Aventador for 2.6 million dollars or Rs 18 crore approximately. - 2012 Geneva Motor Show...
"Going Once, Going Twice: An Unreal Lot of Turbocharged Porsches",07 Mar 2012,This is the most ordinary piece of extraordinary here. This 911 GT2 — essentially a customer car built for top-level sports-car racing — is relatively...
"Smart Updates Fortwo Electric Drive for 2012, Adds More Performance [Geneva Auto Show]",07 Mar 2012,Full disclosure: The C/D office is nearly unanimous in the opinion that the Smart Fortwo Electric Drive is something less than a real car.
Mercedes-Benz reveals SLS E-Cell performance data,08 Mar 2012,"Mercedes-Benz has lifted the veil of secrecy on the plug-in-electric propulsion system of its upcoming SLS E-Cell, first revealed in concept form at t."
"Saint John MRI plan 'a step backwards,' group says",08 Mar 2012,The Saint John Board of Trade is calling on the provincial government to reconsider its decision to purchase a less powerful magnetic resonance imaging...
Get behind the wheel of the new Porsche Boxster,08 Mar 2012,Also in this episode: Mercedes-Benz electrifies the SLS coupe and Chevrolet fills out the engine lineup for the 2013 Malibu.TRANSCRIPT-- The new Porsc.
New Solar Power Charts,09 Mar 2012,"Some new solar power charts show solar power is growing fast, solar panel prices are dropping fast, & that's expected to continue for years."
Aid agency warns of West Africa food crisis,09 Mar 2012,Oxfam warns that emerging crisis could affect 13 million people in six countries due to “international complacency”.
Small Cars Earn Top Safety Ratings | U.S. News,13 Mar 2012,The 2012 Honda Civic and Hyundai Elantra earned the highest overall safety rating of five stars from the National Highway Traffic Safety Administration.
Tag Heuer announces Racer luxury smartphone,13 Mar 2012,Uses high quality carbon fiber and titanium for the outside and Android on the inside. If you are the sort of person who likes to have carbon fiber on your.
Consumer Reports gets its Fisker Karma back after servicing,13 Mar 2012,"Last week, we brought you the news that the Fisker Karma being tested by the people at Consumer Reports ran into mechanical issues during the routine..."
"2013 Ford Mustang Shelby GT500 to start at $54,995",14 Mar 2012,The muscle-car hammer known as the 2013 Ford Mustang Shelby GT500 will start at $54995 for the coupe and $59995 the convertible. Both prices include.
Rolls-Royce Ghost hits a Honda in China,14 Mar 2012,"It seems Chinese Honda's don't like Rolls-Royces, especially when they ride in the great city of Wenzhou in Zhejiang Province."
Jeep Liberty replacement to pack new 3.2L Pentastar V6,15 Mar 2012,"Bruce Baumhower, president of UAW Local 12 in Toledo Ohio recently told several sources that when the replacement for the Jeep Liberty meets the world,..."
"2012 Chevrolet Volt (Chevy) Review, Ratings, Specs, Prices, and Photos",15 Mar 2012,The 2012 Chevrolet Volt is the plug-in electric car you drive as far as you want--if you can find one to buy. Find out why the 2012 Chevrolet Volt is rated...
Another Rolls-Royce Ghost dead in China,15 Mar 2012,Yez and there goes another one. This is Rolls-Royce crash number five in just over a month and the third in Zhejiang Province.
How Much And How Fast Will Electric-Car Battery Costs Fall?,16 Mar 2012,"You hear both sides of the battery cost question a lot when you cover electric cars. One side says, ""Electric-car batteries will be brutally expensive for..."
Ads within Android apps found to consume 75% of the app's power,20 Mar 2012,"So if a certain app are bringing down your battery life, it's the ad to blame, not the app itself. A team of researchers from Purdue University and..."
Chevrolet Trailblazer is back on the road,20 Mar 2012,"Chevrolet has taken the wraps off the reborn Trailblazer SUV. The Trailblazer, which rides on the truck platform developed for the new Colorado pickup."
Audi Plots Takeover of Italian Motorcycle Builder Ducati,20 Mar 2012,"Audi is about to swallow Ducati, the Italian manufacturer of iconic, high-performance bikes. Audi won't officially confirm the rumors, but a source close to..."
Flash floods drench New Zealand,21 Mar 2012,"The church in Kaeo in Northland, New Zealand where torrential rain has caused widespread flooding.[Getty}. Australia is feeling the effects of two tropical..."
Ferrari 458 Italia crashes during test drive in China,21 Mar 2012,It is a sad day when a Ferrari goes away. Here we have a very crashed Ferrari 458 Italia painted in ultra hip dual-tone that crashed in Shanghai.
"Scion FR-S coupe gets $24,930 base price",21 Mar 2012,"The Scion FR-S sports coupe will be priced from $24930, including destination charges, when it arrives in dealerships in spring.The base price includ."
Car Collector's Corner: Extremely Rare One Of Two Bel Air L-72 4spd Wagons,23 Mar 2012,"Everybody has a favorite car in his or her dreams, but Jim Adams has a favorite big block engine to add to his dreams. Jim likes the monster L-72 427 Che…"
Crash Time China! Aston Martin Rapide hits Audi Q5,23 Mar 2012,"I feel sad, when an Aston gets bad. Big crash today near Xinyuan Qiao in Beijing. An Aston Martin Rapide collided with a FAW-Volkswagen Audi Q5."
Win a Free Wireless Router From Linksys,28 Mar 2012,"Here is the chance I promised to win a new wireless router! Linksys is sponsoring a giveaway of two E4200v2.routers. Yes, TWO. This is the router I've been..."
The hottest tech of 2015 and beyond - IBM's Lithium-air battery (2) - CNNMoney,28 Mar 2012,The batteries that power electric and electric-gasoline hybrid vehicles today are no different than the lithium-ion batteries that run your laptop.
2014 Jaguar Small Coupe/Convertible – Future Cars –,28 Mar 2012,"For 2014, Jaguar will add a smaller sports car below the XK. Read about the upcoming Jag and see a rendering at Car and Driver."
Samsung Galaxy W gets its Value pack update,29 Mar 2012,"The update is reportedly only available in Slovakia and Romania for now, but more countries should follow soon. As promised, the Value pack for the Samsung."
Fires threaten Sumatran orangutans,29 Mar 2012,Conservationists say hundreds of Indonesian great apes could be killed within weeks if land-clearing fires continue.
Broken Steel Walkthrough part 12 - Fallout 3 Guide,29 Mar 2012,"The brunt of the destruction at Adams Air Force Base, whether recent or otherwise, seems to have been focused around the next area you're about to traverse."
Bugatti Veyron 16.4 Grand Sport Makes New York Auto Show Debut,03 Apr 2012,"Attendees to the New York International Auto Show, which is open to the public from April 6 to 16 at the Jacob Javitts Center in Manhattan, will be able to..."
DRT: Mercedes-Benz SLS AMG vs. BMW M6 and Audi RS6,03 Apr 2012,A trio of performance-minded cars take to the drag strip on this week's edition of Drag Race Tuesdays.
"GMC Announces Heritage Edition Yukon, Sierra Models",03 Apr 2012,"As the 2012 New York Auto Show gets underway, GMC is taking the opportunity to introduce the Heritage Edition trim level on the Yukon, Yukon XL and Sierra..."
Does It Matter If Electric Car Maker Fisker Fails?,04 Apr 2012,"Last night, Fisker Automotive, maker of the luxury Karma electric vehicle, unveiled its new car, the Atlantic, which was previously known as Project Nina."
2014 Chevy Impala Marks End of Front Bench Seats in Cars,05 Apr 2012,It's a question we get a lot on Ask.Cars.com: What cars have a front bench seat? We've always been able to answer: the Chevrolet Impala.
"Land Rover Responding to Lambo, Bentley SUVs With Ultra-Lux Range Rover?",05 Apr 2012,"Though you might already consider Land Rover's venerable Range Rover SUV luxurious, exclusive, and plenty expensive, a report from Autocar suggests the..."
"Chevy Camaro bests Ford Mustang, Dodge Challenger in March 2012",05 Apr 2012,"After leading the division in January and trailing the Ford Mustang in February, the Chevrolet Camaro battled back in March 2012 to claim the title of best..."
Ferrari Enzo crashes in China,09 Apr 2012,Big crash early this morning on the Fuzhou-Xiamen Expressway. A Ferrari Enzo hit the side of the road in wet conditions. Fortunately nobody was seriously.
Envia Systems | New Low Cost Battery | Boost Electrc Car Range,09 Apr 2012,Envia Systems claimed that they developed a low cost rechargeable lithium-ion battery which offers a driving range of nearly twice of todays batteries.
Very High Energy Pulsed Gamma Ray Emission from Crab Pulsar | The University of Tokyo,09 Apr 2012,"A research group led by Professor Masahiro Teshima (Institute for Cosmic Ray Research, the University of Tokyo, and the Max Planck Institute for Physics)..."
"BYD e6 Electric Crossover: Now Coming In 2013, Fleets First",12 Apr 2012,You don't hear as much worrying these days about the threat of Chinese automakers entering the U.S. market with inexpensive cars.
Eastbound and green: AirFlow BulletTruck aims to improve fuel economy for long haulers,12 Apr 2012,"In the late 1970s, the AirFlow Truck Co.'s Bob Sliwa graduated from violently shepherding a Chevrolet Chevelle down Connecticut drag strips to the wor."
The economics of extreme weather,12 Apr 2012,"Storms, tornadoes, floods, hurricanes, sandstorms, blizzards; there are few places on earth which do not, at some time or another, experience the full force..."
Vanished 1950s Electric Car: Pioneer By Nic-L-Silver Battery Co.,13 Apr 2012,"George Lippincott was the founder and president of Nic-L-Silver Battery Company, Santa Ana, California, which made a popular line of American car batteries..."
Elon Musk says it'd be 'cool' to fly in space,13 Apr 2012,The commercial spaceflight company Space Exploration Technologies (SpaceX) is preparing to launch a robotic capsule to the International Space Station later...
How to Make Your Prius Sound Like it Has a V-8,13 Apr 2012,"If you own a hybrid and a smartphone, this app will change the tune of your engine. Acoustically, that is. Developed by 2XL Games, the XLR8 app recreates..."
NHTSA upgrades investigation of BMW 7 Series for rollaway risks,16 Apr 2012,The National Highway Traffic Safety Administration has announced that they have upgraded their investigation of the BMW 7 Series to an engineering analysis...
Product Spotlight: 2007-11 Jeep Wrangler JK ARB Under-Vehicle Skid Plates,16 Apr 2012,"Solid, Easy-to-Install Protection for JK Wrangler."
Ford Mustang celebrates 48 years,16 Apr 2012,"On April 17, 1964, at the World's Fair in New York, Henry Ford II brought the world its first pony car, the Ford Mustang. In a move that would never b."
Hamann BMW M5 tuning package announced,17 Apr 2012,"German tuner Hamann will upgrade and modify Land Rovers, McLarens, Mercedes-Benzes and more, but its real expertise is in BMWs. The company has just a."
App makes cars sound meaner - Drive,17 Apr 2012,A software developer has created an app designed to make old bombs sound like exotic Italian supercars. The XLR8 tablet and smartphone app allows you to...
Volkswagen presents 2012 STCC livery – TouringCarTimes,17 Apr 2012,The team is going to hit the track on wednesday and thursday for the first official STCC test at Knutstorp. “It is going to be two important days as we only...
"The 2013 Chevrolet Volt to get new driving mode, less black trim",18 Apr 2012,General Motors hasn't announced any official changes for the 2013 Chevrolet Volt but reports floating around the internet indicate that the 2013 model year...
Audi buys Ducati for 816 million euros,18 Apr 2012,"The iconic Italian brand Ducati has been bought by Audi, a brand owned by Volkswagen AG for a sum of 816 million euros that includes debt of around 200..."
CSIRO's GPU cluster to reach 130 TFLOPS this month,19 Apr 2012,CSIRO has kicked off a $1 million project to upgrade its 2.5-year-old supercomputing cluster with a view to doubling its processing power this month.
"Elon Musk, 11 others sign on to Giving Pledge established by Warren Buffett, Bill Gates",19 Apr 2012,"A dozen of the wealthiest families in the United States, including Tesla founder Elon Musk, have signed on to The Giving Pledge, a nonbinding agreement to..."
Raymond Loewy's Avanti II up for auction at Bonhams' Monaco event,19 Apr 2012,"After thirty years in America, South Bend to me still refuses to be anything but Souse Bend. Yet readers will not sail in uncharted waters. Astern an."
Smog-Eating Graffiti for One of World’s Most Polluted Cities,20 Apr 2012,Smog- or pollution-eating paint/graffiti is cleaning up the air in highly polluted Manila (Philippines) -- check this out.
Dell wipes the slate clean with brand new design for its Xeon E5-2600 Precision workstations,23 Apr 2012,"Dell's new workstation family (from left to right) the Precision T7600, Precision T5600, Precision T3600, and Precision T1650."
The Other Linda Lovelace Movie Is in Trouble,23 Apr 2012,"It was to star Malin Akerman (and at one point, Lindsay Lohan)."
BMW i8 Spyder debuts with eDrive technology in Beijing,23 Apr 2012,The Beijing Motor Show (better known as Auto China) opened today and among the big debuts was the formal introduction of the new BMW i8 Spyder and with it...
V6 dropped for redesigned Mazda 6 sedan,24 Apr 2012,"Mazda will drop the V6 engine from the Mazda 6 lineup, the company told Automotive News.Instead, the redesigned Mazda 6 will use powertrains from Mazd."
"Scion Set to Euthanize xB, XD - Could a Pickup Fill the Gap?",24 Apr 2012,"Declining sales and a lukewarm reception to the larger, heavier second-generation xB is prompting Scion to discontinue the xB and companion xD hatches from..."
2013 Ford Mustang model Dalena Henriques running for Maxim's Hot 100,24 Apr 2012,The Men's lifestyle magazine Maxim is running a contest for the top 100 sexiest women on the planet and among the life of current nominees is Dalena...
Tony Johansson completes 14-car entry list for STCC 2012,26 Apr 2012,"Johansson is going to drive a S2000 specification Mercedes C-Class with a naturally aspirated engine, the very car G-Rex built for Brovallen Design in 2004."
"Video Find: Ford Plays Parallel Parking Pinball, Awards New Focus with Active Park Assist",26 Apr 2012,"Ford is playing pinball in Paris, promoting Active Park Assist by installing a giant game screen above a small curbside spot—and caught it all on video."
Mass Effect on the Wings of Love,26 Apr 2012,"I peel the shell off another hardboiled egg, gently squeeze out the yolk, and toss it into a mixing bowl of mayonnaise and dry ground mustard."
Real-Life Pizza Planet Truck Replica From Toy Story Makes Trek to Pixar Studios,30 Apr 2012,Fans of Animated Movie Build Real-Life Pizza Planet Truck from a 1988 Toyota pickup.
Toyota RAV4 EV Teaser: Launch Details Coming Next Week,30 Apr 2012,"For people in the electric-car world, next week is a big deal. And Toyota is taking advantage of it. The company will formally launch its Toyota RAV4 EV..."
Beijing Auto Works 007 pickup truck at the Beijing Auto Show,30 Apr 2012,It was very nice to see this Beijing Auto Works 007 pickup truck at the Beijing Auto Show. The 007 would normally only appear at shows for commercial.
A Cummins-Powered 1968 Dodge Crew Cab,01 May 2012,"Building something you truly enjoy can be a long and intricate process. For Michael Buehler, who resides in Northern California, it all started with two '68..."
May 2012 Military Power: Tank Tow Truck,01 May 2012,"Move Over AAA, Make Way For This 140,000-Pound-Capacity Hauler. Advertisement. From pulling the statue of Saddam Hussein down in 2003 to clearing vehicles..."
Custom Mini Trucks - Ridin' Around - May 2012,01 May 2012,This month's lucky Ridin' Around truck owners will be receiving a free LMC T-shirt. Be sure to send in your truck's photos and information to...
Letter Carrier Wins Tesla Roadster Playing the Slots in Las Vegas,02 May 2012,Most people leave Vegas with a hole in their pocket; this lucky punter managed to scoop an $150000 Tesla Roadster playing the penny slots.
"Buy Luxury House, Get Low Tesla Model S Reservation Number!",31 May 2012,"Less than 30 days hence, the first 2012 Tesla Model S sedans will be delivered to paying customers. Now, one Model S buyer who holds a low reservation..."
3T breast MRI good for imaging spiculated masses,31 May 2012,"Breast MRI at the 3-tesla field strength performs better than 1.5-tesla MRI in visualizing spiculated masses previously identified using mammography,..."
"Samsung Galaxy R Style for South Korea packs ICS, LTE, big battery",31 May 2012,The phone is based on the Samsung Galaxy S II and will be available on all three major carriers. Samsung announced a new Galaxy droid for the Korean market.
Stunning features but who'll notice the facelift ?,01 Jun 2012,"Infiniti FX30D S Premium car test review INFINITI does sporting luxury and no more so than in the striking FX, a serious competitor to the Range Rover Sport..."
"Samsung Galaxy S II sales reach 28M, Galaxy Note scores 7M",01 Jun 2012,"The Galaxy S II sold took 13 months to reach that number, while the Note has been selling since October. The Galaxy series has been a huge hit for Samsung."
BMW Interested in M7 Version of Next-Gen 7-series,01 Jun 2012,"BMW has had its Vatican II moment, wherein the holy leaders dramatically updated the religion's philosophy and principles to better fit the modern era."
Mercedes-Benz CLS63 AMG Restyled by SR Auto Group,11 Jun 2012,"This tuning package is all about visually enhancing an already enticing sedan, but even after some smart styling the CLS63 AMG remains instantly..."
Mahindra XUV500 Spied By Our Man In India,11 Jun 2012,Mahindra will soon be launching the XUV500 in global markets.The XUV500 is available in the Indian market only but the company has plans to offer it in...
"50,000 copies of the 2012 Honda Civic recalled over driveshaft issue",11 Jun 2012,About 50000 copies of the 2012 Honda Civic are being recalled because of a potential issue with the left driveshaft. The automaker claims that the dr.
General Motors trademarks the Cadillac LTS name - perhaps for a new RWD sedan,15 Jun 2012,Car and Driver reported that General Motors has filed for a trademark for the name Cadillac LTS and while nothing is known about this possible future model...
Video Find: Sneak Peek at Jaguar's New 3.0-liter Supercharged V-6 Heart,15 Jun 2012,"We've seen photos of a camouflaged Jaguar F-Type, and we've even heard it growl while Jaguar's chief engineer took it for a spin around the track."
Thread of the Day: What's the Best-Sounding Engine...In the World?,15 Jun 2012,"Every engine has a distinct note. American V-8s for example, have a low, lumpy idle that can quickly turn into a deafening-yet-wonderful cacophony of noise..."
Chrysler introduces the 2012 Jeep Wrangler Freedom Edition,03 Jul 2012,The Jeep Wrangler began its life almost 70 years ago (then known as the Willys CJ) having been based on the military-use WIllys MB and it was with that army...
Nokia has a backup plan if Windows Phone 8 fails,03 Jul 2012,The surprising unveil was made by a Nokia board member in an interview on Finnish television. Updated! Nokia has been frantically rejecting the...
New military weapon shoots lightning bolts,03 Jul 2012,Researchers are testing a device that can hit targets with bolts of lighting -- Tesla death ray-style.
Breaking Bad Magnets: How Do They Work?,17 Jul 2012,"In a recent Breaking Bad episode, a large electromagnet was used to delete hard drives stored nearby. Could this work?"
Ford Mustang RTR knocks on the door of the Boss 302,17 Jul 2012,"As customers continue to throw handfuls of dollars at Ford to get their hands on the Mustang Boss 302, the popularity of that car might leave some dis."
The Bay Area Thanks Buckminster Fuller for Geodesic Domes,17 Jul 2012,"The San Francisco Museum of Modern Art is showing, for just a few more short days, an exhibit called ""The Utopian Impulse: Buckminster Fuller and the Bay..."
Clark Gable's ultra-rare 1935 Duesenberg headed to auction,07 Aug 2012,The hard-to-find vehicle was one of just 10 JN models built.
Benefits of Kepler Architecture (Tesla K20) : NVIDIA Announces 2nd Gen Maximus Technology,07 Aug 2012,"With the additional of the Tesla K20 GPU to the NVIDIA Maximus system, the compute work is channeled away from the CPU as well as the Quadro K5000."
NVIDIA Announces Kepler-Based Quadro K5000 & Second-Generation Maximus,07 Aug 2012,"Since the initial launch of NVIDIA's unusual chip stack for Kepler in late March, there has been quite a bit of speculation on how NVIDIA would flesh out..."
Audi and Ducati Reveal Unique RS5 at Pikes Peak,10 Aug 2012,German automaker races from Ingolstadt back to Pikes Peak to celebrate its 25-year-old record and play around with its new subsidiary Ducati.
BMW Shows Off Bizarre V-12-Powered Z3 Roadster Prototype,10 Aug 2012,Ever heard the old muscle-car adage that there's no replacement for displacement? That line of thinking appears to have inspired this bizarre one-off...
"NVIDIA Launches Maximus 2.0, Combining Kepler and Tesla",10 Aug 2012,"NVIDIA Launches Maximus 2.0, Combining Kepler and Tesla At SIGGRAPH 2012 NVIDIA announced a refresh of its Maximus workstation platform technology."
Tesla Sued Over New Mexico Model S Factory That Never Was,13 Aug 2012,"Tesla Motors' decision to purchase the former NUMMI automotive manufacturing facility in Fremont, California might have been one of its shrewdest business..."
"Greg Kouri, early investor in PayPal, dies in New York",13 Aug 2012,"Greg Kouri, a former Palo Alto resident who was one of PayPal's first investors, died Saturday in New York City. PayPal co-founder Elon Musk was just 23..."
Goodguys 1932 redux to be given away,13 Aug 2012,"The iconic Goodguys 1932 Ford sedan logo car is being cloned. Not in a laboratory, but by custom-car builder Dave Kindig of Kindig-It Design in Salt L."
Bill Nye's anti-creationism video followed by Twitter death hoax.,28 Aug 2012,"No, Bill Nye ""the Science Guy"" isn't dead, despite what Twitter may have told you."
U.S. Sets Much Higher Fuel Efficiency Standards,28 Aug 2012,DETROIT — The Obama administration issued on Tuesday the final version of new rules that require automakers to nearly double the average fuel economy of new...
"Stolen, chopped Ford GT is the saddest thing you'll see all day",28 Aug 2012,"The Ford GT is one of the best American sports cars in ages, and also one of the most desirable. No, the Ford GT didn't make the list of “most stolen."
"Hyundai partners with ""Gangnam Style"" rapper PSY",18 Sep 2012,Hyundai has launched a Facebook ad featuring the South Korean-born rapper with a Hyundai Equus.
Successful People Who Barely Sleep,18 Sep 2012,Researchers claim that people need around 8 hours of sleep to function properly. Advertisement. But that's not true for everybody. A small group (1 to 3...
2013 Shelby Super Snake to debut at Barrett-Jackson Las Vegas auction,18 Sep 2012,Shelby American is following up its 950- and 1100-hp anniversary edition Super Snake models with something a little tamer for 2013. Two new versions.
ELEC-TRICK! Lightning-rod magician David Blaine to play with 1 million volts on West Side,02 Oct 2012,DAREDEVIL magician David Blaine's next stunt is shocking. Blaine will totter atop a pedestal for three straight days — without sleep or food — while 1...
"2013 Nissan Sentra Prices To Start At $16,770",02 Oct 2012,It's been just under a month since Nissan quietly released gas mileage figures for its all-new 2013 Sentra compact sedan. Now Nissan has announced pricing...
"Which Auto Startup Has Built 2,500 Cars Over The Last Year?",02 Oct 2012,"Tesla Motors gets a huge amount of media attention, and Fisker Automotive isn't far behind. Other automotive startups, including Coda Automotive and tiny..."
Cadillac ELR Will Be A Luxury Electric Coupe,16 Oct 2012,"GM is getting into the luxury electric car market, North America President Mark Reuss announced today. Starting in late 2013, the Cadillac ELR will roll out..."
GM will build plug-in luxury car for Cadillac,16 Oct 2012,"General Motors plans to build a plug-in luxury version of the Chevrolet Volt, to be called the Cadillac ELR, it was announced today."
SAE Finalizes New Electric Car Fast Charging “Combo Connector”,16 Oct 2012,"After months of planning, the next-generation J1772 electric car charging standard has been approved by the Society of Automotive Engineers."
Hurricane Sandy strikes Cuba,25 Oct 2012,"Storm gathers strength as 160kph winds hit country, a day after the hurricane battered the Caribbean island of Jamaica."
Want To Get A 2012 Toyota RAV4 EV? Here's How,25 Oct 2012,"It might be a compliance car, built by Toyota for the sole purpose of meeting California's regulations for zero-emission vehicles, but the 2012 Toyota RAV4..."
"""Dragquoia"" Toyota Sequoia",25 Oct 2012,"Antron Brown's ""DragQuoia"" Toyota Sequoia is probably the most extensively modified vehicle of the bunch. This custom Sequoia was inspired by Brown's dream..."
Telsa Model S Is Car of the Year?,02 Nov 2012,"Automobile magazine has named its Car of the Year. Unfortunately, it has chosen a vehicle almost no one has bought or will buy, and the car's maker may not..."
"A Hybrid Done Right, but Not Without Glitches (Published 2012)",02 Nov 2012,"The 2013 Ford Fusion Hybrid has one of the most robust, transparent and enjoyable hybrid systems, and it sells for a compelling $28000."
Nissan Leaf Breaks Electric Car Convoy Record With 225 Cars,27 Nov 2012,Agroup of Nissan Leaf owners from around the United Kingdom have broken the world record for the 'largest parade of electric vehicles'.
"LA AUTO SHOW: 2014 Chevrolet Spark EV To Be Priced Under $25,000 With Incentives.",27 Nov 2012,"Tag Links: EV, PHEV, coda, Prius plug-in, IQ EV, tesla, volt, karma, fisker, leaf, spark, chevrolet, LA Auto Shoe, girls. SHARE THIS ARTICLE."
