Headlines,Dates,Descriptions
"Bernie Madoff's Wife Blames Him For Son's Suicide, Author Says",13 Dec 2010,"Ruth Madoff, wife of Bernie Madoff, believes her son Mark ""would not have died if it weren't for what [Bernie] had done,"" a friend of the embattled family..."
Honda Civic GX update: A month of natural gas,14 Dec 2010,This is the latest in a series of updates on life with several different alternative-fuel vehicles.I have now gone almost 1500 miles on natural gas i.
"Lyndon Rive, Elon Musk: Cousins, partners - Silicon Valley Business Journal",28 Dec 2010,"It was probably just a matter of time before Lyndon Rive connected with his cousin Elon Musk, CEO of Tesla Motors Co. After all, their mothers were tw ..."
2012 Ford Focus To Become Part Of Company Custom Graphics Program,30 Dec 2010,"The 2012 Ford Focus has a lot to offer consumers like the torque vectoring control we wrote about yesterday. However, Ford isn't just offering functional..."
Recall Alert: 2008-2011 Dodge Ram and Ram 4500/5500 and Sterling Bullet,30 Dec 2010,"Chrysler is recalling 22274 Sterling Bullet, Dodge Ram and Ram 4500 AND 5500 chassis cabs from the 2008-11 model years to fix a problem with steering..."
NHTSA announces 2011 Ford and Lincoln recall over fire risk,30 Dec 2010,Ford Motor Company and the National Highway Traffic Safety Administration have announced a recall of a variety of 2011 Ford and Lincoln trucks and...
Leaked pics of purported Nintendo 3DS hit Web,03 Jan 2011,Several images reporting to feature the Nintendo 3DS have been leaked onto the Web. The device features a black finish and includes a thumbstick.
"If You Didn't Like Hot Rods Before, This Video Will Make You Convert",03 Jan 2011,"If you have yet to see a badass hotrod doing some awesome drifting, then look no further than this insane 1929 Ford. This menacing custom rod took part in..."
Mercury rolls into history with build of final Grand Marquis,03 Jan 2011,"The last Mercury--a Grand Marquis--rolled off the production line Tuesday at Ford Motor Co.'s assembly plant in St. Thomas, Ontario, marking the offic."
2010 Ford Fusion Part of Preliminary Investigation by NHTSA for Wheel Studs,26 Jan 2011,Ford's popular Fusion midsize sedan is part of a preliminary investigation by the National Highway Traffic Safety Administration. Following four complaints...
Rear-Drive Lambo Gallardos for All! New Base Monocolore Model Starts at $193895,28 Jan 2011,"Lamborghini has confirmed to us that the U.S. Gallardo lineup is growing. In addition to the LP550-2 Bicolore we told you about earlier in the week,..."
Gumpert to unveil the new Tornante at Geneva Motor show,28 Jan 2011,Gumpert has announced that they will introduce the second vehicle in their lineup when the new Tornante debuts in March at the 2011 Geneva Motor Show.
Tesla teams with Umicore to recycle battery packs in Europe,31 Jan 2011,"At the end of their long life, Tesla will recycle its battery packs at Umicore's UHT facility in Belgium. The Brussels-based materials technology company will..."
Renault Wants Consumer Tech Influence In Car Interiors,31 Jan 2011,"Designing an effective car interior isn't easy. Car companies need to think about the design, the features, and the ergonomics. After all, you spend more..."
Humanity's Endless Quest to Invent a Death Ray: A History,02 Feb 2011,"by Becky Ferreira. What if I said the Death Star's most deadly feature — yes, the one that rebel leader Admiral Ackbar said was “not yet operational” — was..."
BMW and Peugeot/Citroen Venturing for Future European Hybrid and Electric Cars,02 Feb 2011,"Few times in history have there been alliances between French and German auto manufacturers, but it seems right now that BMW and Peugeot/Citroen are..."
Japan rally highlights island row,07 Feb 2011,"Naoto Kan, Japan's prime minister, has called for Russia to return four disputed islands, held by Russia since the end of World War Two, prompting an angry..."
Recall: Suzuki's Grand Vitara Four-cylinder Engines Could Contain a Defective Tensioner Spring,07 Feb 2011,Suzuki issues a recall on 2009-2011 Suzuki Grand Vitaras with four-cylinder engines due to a defective accessory belt tensioner pulley that can cause...
Nissan Rolls Out an Electric Z Concept,09 Feb 2011,"When we first saw a production-ready version of the very impressive Nissan Leaf two years ago, we asked the brass, “Great. When do we see an electric Z?”..."
Mitsubishi to Spotlight Guinness World Records Broken by Outlanders in New Ad Campaign,09 Feb 2011,"Mitsubishi is out to prove the Outlander and Outlander Sport crossovers have some real SUV capabilities. Recently, the automaker took one of each Outlanders..."
Electric BMW 1-series ActiveE revealed,09 Feb 2011,"Along with the Vision ConnectedDrive concept, BMW will also unveil a production version of the all-electric 1-series ActiveE at the upcoming Geneva mo."
Thomas Edison Invention Collage Google Logo,11 Feb 2011,Google has a special logo for Thomas Edison's 164th birthday today. The logo represents a montage of his inventions over the years. It is also animated.
Netflix not into ads,11 Feb 2011,"Netflix may have thought about it, but the company won't be bringing ads to its streaming service. Speaking to Fast Company in an interview posted today,..."
Pagani Zonda F Driver Survives 199mph – 320 km/h Crash After Spinning Out of Control,18 Feb 2011,There are very few (if any) people that can lose control of their car at 199mph or 320km/h and live another day to tell the tale. But that's exactly what.
Special Needs Student Says Professor Discriminated Against Her,18 Feb 2011,The classroom conduct of a Broward College professor is in question following an incident in an anatomy class on the school's south campus last week.
Storm season picking up,18 Feb 2011,"Australia's Cyclone season, and that of the Southwest Indian Ocean, have taken a turn for the worse."
Cribbing From Headphones To Crank Up MPG,23 Feb 2011,The quest for better fuel economy has General Motors cribbing from headphone technology. The boost the efficiency of the GMC Terrain crossover utility...
George Barris Shows Car Warriors Who's Boss,23 Feb 2011,"A group of gearheads turning wrenches and firing up acetylene torches is about as ubiquitous on TV as a teary-eyed John Boehner, but the upcoming Car..."
Hopes fade for NZ quake victims,23 Feb 2011,PM says number of people killed in quake likely to go up as there is little sign of survivors emerging from the rubble.
Mazda Hosts European Ice-Racing Event for MX-5 Miata,24 Feb 2011,"This week, Mazda staged a unique—and totally awesome—race in in Åre, Sweden, that involved Miatas on ice. The four-hour race featured 20 of the roadsters,..."
Sony dropping PSP price to $129,25 Feb 2011,"The PlayStation Portable will be $40 cheaper and cost the same as the Nintendo DS Lite, which dominates the portable-gaming market."
Space shuttle discovery takes off,25 Feb 2011,"The flight will be the last for Discovery, the first of three shuttles NASA plans to retire this year [Reuters]. Space shuttle discovery, NASA's most..."
Teased Maserati GranCabrio Sport,25 Feb 2011,It's official. There is a new Maserati GranTurismo coming out and it'll be shown off at the 2011 Geneva Motor Show. The new vehicle is called the GranCabrio...
Report: Steve Jobs came close to knighthood,01 Mar 2011,"The U.K.'s Telegraph reports that Apple's white knight had the chance to officially add a new title to his name: sir. But in 2009, he apparently lanced his..."
"Saab PhoeniX Hybrid Concept, Its First, At 2011 Geneva Motor Show",01 Mar 2011,Saab has confirmed its commitment to introduce a hybrid vehicle with the unveiling today of the striking 2011 Saab PhoeniX concept car at the 2011 Geneva...
Spied! 2012 Chevrolet Malibu Caught Testing in Europe,14 Mar 2011,"Photos of what is believed to be the 2012 Chevrolet Malibu were just taken by our spy shooters in Europe, while the vehicle was being tested."
Questions remain in officer's death 10 years later,14 Mar 2011,"Ten years ago today, Aliquippa police officer James Naim was on a regular evening foot patrol in the Linmar Terrace housing project when he was ambushed..."
Preview: Panic! at the Disco Plot Spring Tour,14 Mar 2011,"With a comeback album Vices & Virtues due out March 22, Panic! at the Disco have announced a 28-date Spring tour, marking the first time remaining."
"Chevrolet Camaro renamed Ke Mei Luo for China - Mar. 22, 2011",22 Mar 2011,When General Motors unveils the Chevrolet Camaro for Chinese customers at the Shanghai Auto Show next month it will have a new Chinese name: Ke Mei Luo.
NHTSA Issues New Child Seat Guidelines,22 Mar 2011,"The National Highway Traffic Safety Administration, with input from the American Academy of Pediatrics, has revised its child restraint guidelines."
2014 Infiniti Electric Sedan – Feature –,22 Mar 2011,"What it is: A sleek luxury sedan designed as a dedicated EV. Why it matters: If EVs become a success, Infiniti will—for the first time—be a leader."
2012 Tesla Model S Prototype Workshop: Photo Gallery,01 Apr 2011,Some of the loudest of the skepticism over Tesla's plans to design and build an all-electric luxury sports sedan have died down after the company showed an...
Induction motors: The Difference Engine: Nikola's revenge,01 Apr 2011,"ONCE again, worrywarts in Washington are wringing their hands over possible shortages of so-called “critical materials” for America's high-tech industries."
The Coolest BMW You Can't Buy Has a Bed,01 Apr 2011,"The boys in Bavaria have built an M3 that hauls ass — and half a ton of stuff. This slick one-off is based on the BMW M3 convertible, which is stiff enough..."
Heated Car Seats Could Pose Burn Danger,07 Apr 2011,"Burn specialists, a safety group and NHTSA are investigating this issue. Some problems stem from heated seats used by people who lack feeling in their lower..."
Easter Jeep Safari returns to Moab,07 Apr 2011,"Thousands of Jeep fans will hit the desert later this month for the Easter Jeep Safari in Moab, Utah. They will be joined by six new customized vehicl."
The car that Alfa should have built,07 Apr 2011,"After nearly a decade of rumors about its existence, the world finally got to see a car that Alfa Romeo really should have built: the cabriolet versio."
Leaked Renault Electric Car Technology Scandal Fires COO Patrick Pelata,11 Apr 2011,"Patrick Pelata, Renault's Chief Operating Officer, has offered his resignation from the company that stands at the forefront of mass-produced electric..."
‘The future is now’: Bay Area car dealer proves electric cars can still be fun,11 Apr 2011,"If you ask Judy Mitchell-Rice to tell you the most impressive aspect of her Tesla Roadster Sport, it isn't the zero to 60 mph in 3.7 seconds, the 14000 rpm..."
Threats to Antarctica’s penguins heat up,12 Apr 2011,"There is a strong connection between climate change and penguin populations, as a warming planet causes declines in krill, a key food source for the birds..."
Nissan Leaf electric car • The Register,12 Apr 2011,"Regenerative braking puts power back into the system, but this isn't going to extend the range significantly. Nor will the Leaf's wee fir tree graphic on..."
Callaway Pumps Up 2011 Chevrolet Silverado to 540 Horsepower,12 Apr 2011,"Miss the street performance of the Ford F-150 SVT Lightning or Dodge Ram SRT10? Fear not, Callaway now has your answer in the form of the Callaway Silverado..."
Southampton rapist Derry Gilfoy trapped by DNA after attack,18 Apr 2011,POLICE overheard a prostitute pleading with a drunken punter not to harm her after she had dialled 999.
The Dodge Avenger Rally Car debuts at the New York Auto Show,18 Apr 2011,"Earlier today, we brought you the news of the 2012 Dodge Avenger R/T making its grand debut at the 2011 New York International Auto Show and to help draw..."
Mazda CX-5 Will Replace Tribute Next Year,18 Apr 2011,"The Minagi concept, which is making its official U.S. debut at the 2011 New York International Auto Show, will be the basis for the CX-5's design,..."
The Relationship Between Stock Prices and Gas Prices,20 Apr 2011,"by Dave Hurst. In recent weeks, I have either received questions or read articles about how gas prices impacts the fortunes of plug-in electric vehicles and..."
Anarchy Reigns introduces Nikolai with trailer and screens,20 Apr 2011,"Platinum Games has revealed another character from its multiplayer brawler, Anarchy Reigns, and more importantly, his weapon - the Tesla Blitz."
Pimp my Nissan Leaf | ETA,20 Apr 2011,"Less than a month after the first British buyers took delivery of their Leaf electric cars, Nissan has unveiled a 'racing' version."
Electrifying Win for the Nissan Leaf,21 Apr 2011,"The Nissan Leaf charged past two German luxury sedans to win “World Car of the Year,” a huge validation of the car — and of electric vehicles in general."
"Sony Ericsson announces its first Android Walkman phone, the W8",21 Apr 2011,"Sony Ericsson has just announced its first phone from the Walkman series to run Android (or the other way around). By the looks of it, the W8 is an XPERIA..."
"Nissan Leaf: 2011 World Car of The Year - Apr. 21, 2011",21 Apr 2011,The all-electric Nissan Leaf was named the 2011 World Car of The Year at the New York Auto Show Thursday.
Fiat 500 Italian Woman Art Car Unveiled,02 May 2011,"The world of art cars recently got richer, as Fiat introduced a unique 500 that has been created by artist Malangatana Valente Ngwenya."
Battery Test: Peugeot EX1 Sets Electric-Car Lap Record at Nurburgring,02 May 2011,"With an official lap time of 9:01 minutes and average speed of 86 mph, Peugeot has set a new Nürburgring lap record -- for electric vehicles, at least."
2002-04 Honda CR-Vs Under Investigation After Reports of Headlight Failure,03 May 2011,"A dozen owners of 2002-04 Honda CR-Vs have filed complaints to the National Highway Traffic Safety Administration for headlight failure, prompting the..."
"India Enters Supercomputer Race, Builds 220 TeraFLOPS Machine",03 May 2011,"The Indian Space Research Organization (ISRO) has just announced that it has started operating the country's fastest supercomputer yet, the SAGA-220 which..."
ISRO builds India's fastest supercomputer,03 May 2011,"Bangalore: Indian Space Research Organisation has built a supercomputer, which is to be India's fastest in terms of theoretical peak..."
EBay Exotic: 1969 Alfa Romeo GTV,05 May 2011,"Among the exotics in North America, Alfa Romeo might hold a smaller place than the Ferraris and Lamborghinis of the world, but it still holds a place."
Tesla Motors might seek additional funding for third electric car,05 May 2011,"Tesla Motors, [NSDQ:TSLA] the company behind the Roadster electric vehicle, might look for additional funding from equity sales to help pay for development..."
MR angiography with 32-channel coils detects heart disease,05 May 2011,Whole-heart 1.5-tesla coronary MR angiography with 32-channel coils can noninvasively detect coronary artery disease in substantially less imaging time...
And Now There is One: Mercedes to Discontinue G-Class Two-Door,06 May 2011,The long-running G-Class will still soldier on despite the discontinuation of the two-door variant (not offered in the United States).
Going Really Green: The Nissan Leaf Hybrid And Other Electric Cars,06 May 2011,Do the names of electric cars tell us about what we have or what we want? And where are the flying cars they promised us?
Jalen Rose’s Original General Lee 1969 Dodge Charger for sale,13 May 2011,Jalen Rose is best known for being a member of the University of Michigan's “Fab Five” but Rose is also an avid car collector and among his collection is an...
Video Find: Top Gear Presenters Forced to Push Nissan Leaf,13 May 2011,The presenters of the BBC'sTop Geargot a little extra exercise this week when they tried driving some electric cars. The team was caught on video near the...
Video: A Lamborghini Assembled Piece by Piece,13 May 2011,"Lamborghini went more than a little nuts with the press launch of its newest car, a public relations blitz that included exhibiting its amazing new flagship..."
British restorer upgrades the Jaguar E-type with modern materials,17 May 2011,Here's an item that caught our attention in light of the 50th anniversary of the Jaguar E-type.British company Eagle makes a business of selling and r.
Converted Electric Nissan Qashqai Completes Round-World Trip,17 May 2011,There are two types of people in the world: those who like long-distance trips and those who don't. Danish adventurers Hjalte Tin and Nina Tin Rasmussen are...
Recall: 2007-2011 Toyota Tundra May Have Faulty Tire-pressure Warning Systems,17 May 2011,"A small number of 2007-2011 Toyota Tundra trucks are being recalled because their tire-pressure warning systems may be faulty, according to the National..."
TS Bikini Contest!,20 May 2011,"One of the more, uh, exciting aspects of TS 2011 was the bikini contest! Advertisement. I have to say, a very warm congrats goes out to all the competitors..."
2011 FW1 Aussie Racing Cars Heading To Winton Raceway May 20-22,20 May 2011,"The FW1 Aussie Racing Cars Super Series will hit Victoria's Winton Raceway this weekend, from May 20 to 22. The race to the top will continue with glamour..."
Blast during Ahmadinejad refinery visit,24 May 2011,"Two killed, according to state media, in suspected gas explosion during visit to oil refinery by Iranian president."
"ClipperCreek ships 5,000th charging station",24 May 2011,"Founded in 2006, ClipperCreek is the exclusive Level 2 charging equipment supplier for Tesla Motors and for BMW's prototype Mini E. Additionally,..."
Introducing the Dale Earnhardt Chevrolet Intimidator Camaro,24 May 2011,"While the late Dale Earnhardt Sr. never won a NASCAR race in a Camaro, Dale Earnhardt Chevrolet of Newton, NC has announced that they will be building a..."
Roomier Ranger: Ford's All-New Pickup Interior Makes Way Inside,26 May 2011,"The all-new Double Cab Ranger has Aussies eager to haul some cargo and pack in the passengers. Ford's new pickup remains short, but grew inside,..."
Pakistan's Hell Road is Not for the Faint Hearted [Video],26 May 2011,Pakistan's 240 kilometre (149 mile) Lowari Pass is the only supply route between the town of Dir and the small villages in the mountainous Chitral Valley.
"Forza Motorsport 4's pre-order details, bonus cars",26 May 2011,"I'm good and ready for another Forza Motorsport. I know that I'm probably going to get to play Forza 4 in a few short weeks, and I'm really excited about..."
BMW Launches Distracted Driving Campaign | U.S. News,02 Jun 2011,"In a new initiative, BMW seeks to combat distracted driving, and will launch “DON'T TXT & DRIVE – When the Engine Starts the Texting Stops” this June,..."
"Tesla Motors store at Park Meadows aims to entice, engage",02 Jun 2011,"The newest store at Park Meadows mall offers some innovative selling techniques and technology, but then the product is a bit different."
Android based Sharp slider coming Stateside on AT&T,02 Jun 2011,Pictures of a yet to be announced Sharp slider phone have surfaced and it is said to be running on Android. This phone that looks remarkably like a Sidekick...
Artist Barry Rowe produces Pebble Beach concours poster,13 Jun 2011,"Automotive Fine Arts Society member Barry Rowe has produced the poster art for the 2011 Pebble Beach Concours d'Elegance, set for Aug. 21.Rowe's artwo."
Bernie Ecclestone's daughter buys pricey house in Los Angeles,13 Jun 2011,"After nearly three years, Candy Spelling has finally found a buyer for her Los Angeles mansion (which some would call a castle)--the daughter of Formu."
Orange to launch QWERTY Android phone in the UK,13 Jun 2011,"Orange is going to launch a new Android based phone in UK. Called the Barcelona, the device will feature a 2.6-inch touchscreen display, below which is a..."
