Headlines,Dates,Descriptions
"Tesla vehicles to get a much-needed updated browser with new Linux OS in December, says Musk",6 Oct 2016,Tesla's operating system is built on a modified version of Linux Ubuntu. Musk says that Tesla aims to upgrade the Linux OS to 4.4 in Tesla vehicles in December.
China opens the doors for Tesla and other foreign automakers to produce electric vehicles in the country,21 Dec 2016,The new rules are expected to open the door to Tesla and other automakers who recently expressed desires to establish manufacturing capacity in China to produce...
Tesla adds hard-core German engineering to its 'Alien Dreadnought',8 Nov 2016,"Tesla said Grohmann will serve as “the initial base” for something it's calling Tesla Advanced Automation Germany, “with other locations to follow.” Tesla..."
"No, Tesla Autopilot Didn't 'Predict a Crash'",28 Dec 2016,"Yes, Autopilot did avoid a crash here. But no, it didn't predict a crash. Not even close. What it did do was assist a driver that was relying too heavily on it."
11 home batteries that rival Tesla's Powerwall 2.0 | BusinessInsider India,1 Nov 2016,"SimpliPhi offers several battery options, the largest of which stores 3.4 kWh of energy. 5. SimpliPhi Power is an at-home battery maker that's been around since..."
Tesla Model X windshield connects driver with nature & tech like never before,6 Dec 2016,"“The Model X has the largest all-glass panoramic windshield in production, providing an unparalleled view of the stars and the sky above,” according to a..."
Tesla to buy German engineering firm to build a better factory,8 Nov 2016,"Grohmann's founder and CEO, Klaus Grohmann, will stay with the company under Tesla. Key elements of Tesla's manufacturing systems will be designed and built in..."
Here's what it's like to ride in a self-driving Tesla,20 Nov 2016,"The future! Tesla is now building all of its cars with self-driving technology so that soon, you'll simply be a passenger, even while sitting in the..."
Tesla Tops Research on Car Brands That Offer the Best Customer Experience,14 Oct 2016,"Even though it came out on top among fellow car makers, Tesla is trailing Pampers and Huggies in Group XP's study on brand satisfaction."
"Tesla Model S mangles Mercedes E-Class, British dealership in crash (video)",28 Oct 2016,"Somewhere in the U.K., a group of Mercedes-Benz employees has learned just how much of a threat electric-car maker Tesla poses. Except in this case,..."
"""Glass Roof"" Option Introduced on Model S Days After ""Tesla Glass"" Group Reveal",4 Nov 2016,"""Glass Roof"" Option Introduced on Model S Days After ""Tesla Glass"" Group Reveal ... Back in September, word got out of a mysterious ""Tesla Glass"" project that the..."
"PT Hike For Tesla, Trim For Disney, VMware A Buy | Stock News & Stock Market Analysis - IBD",27 Oct 2016,"Analysts hiked price targets for Tesla and F5 Networks, cut the target for Disney and upgraded VWware."
Tesla Model X tips and tricks used by Tesla Service Centers,22 Dec 2016,"3. Unlock Tesla with Dead Battery Key Fob. If the battery in your key fob is dead and your car is locked, and you don't have access to Tesla's mobile app, place..."
"Maserati EV Coming by 2019, Won't Be a Tesla Clone",7 Oct 2016,"Maserati will be one of the last premium automakers to field an electric car, so it needs to do something different. Read more at Car and Driver."
Tesla owners who leave cars at Superchargers after charging will pay $0.40/minute,16 Dec 2016,"After charging is complete, Tesla owners will have five minutes to disconnect and move their cars, or they will be charged $0.40 per minute for as long as the..."
Tucker and Tesla have traveled similar roads,25 Nov 2016,The Tesla Model S is an electric performance sedan available with all-wheel drive. The top-of-the-line P90D uses a dual motor setup powering each axle to toast...
"German Environment Minister buys a Tesla Model S, takes a swipe at domestic automakers in the process",28 Dec 2016,That's why it made the national news this week when the German Environment Minister for North Rhine-Westphalia bought a Tesla Model S as his official car.
"Andhra Pradesh, Telangana wooing Tesla's Elon Musk",1 Dec 2016,"Andhra Pradesh, Telangana wooing Tesla's Elon Musk · Chandrasekhar Rao and Maharashtra counterpart · Devendra Fadnavis have sent representatives to · Tesla..."
Tesla Gigafactory: FACTS,13 Nov 2016,"Elon Musk has lofty ambitions for Tesla over the next few years. Advertisement. By the end of 2017, the company aims to begin production of its more..."
Tesla converted an entire island to solar with new microgrid product developed by SolarCity,22 Nov 2016,Tesla power packs at that capacity are ~$4.35M. Solar city estimates that their panels will last for ~25 years and the batteries are rated for ~ 10 years.
"Tesla: Complete self-driving possible with tech on all new cars, even on Model 3",20 Oct 2016,"CEO Elon Musk on Thursday said the electric car company would pack new versions of the Models S and X and all versions of the Model 3 — Tesla's mainstream,..."
Video Shows Tesla Autopilot System Recognize and Avoid Crash on Highway,28 Dec 2016,Video taken from the dash cam of a Tesla Model X shows a car crash that happens on the freeway — and how Tesla's Autopilot feature saw it and stopped the...
Tesla on fire: How to extinguish an electric car fire,13 Dec 2016,"While the individual cell fires in the debris field were controlled with dry chemical extinguishers, the only way to effectively cool this was with the..."
Tesla may have gotten into the wrong roofing business,1 Nov 2016,"In a decade of covering Tesla, I never honestly thought I would write the name of the company and ""roofing"" in the same sentence. Advertisement."
"Tesla's New Solar Roof Is Pretty, But Is It Practical?",7 Nov 2016,"They have low recycling rates (due to the potentially hazardous materials they contain), a mere 20-year lifespan and they absorb too much heat. By using a..."
All New Tesla Models Get Level 5-Capable Autopilot Hardware,20 Oct 2016,Tesla says Model S and Model X vehicles with the new hardware spec are already in production and available for purchase today. The company previously announced...
Should I get a Tesla Model S now or wait for the Model 3?,19 Nov 2016,Because it's a non-issue. Battery degradation is less than 1% every year. Current 2013 S owners have a difference of maybe 7-8 miles from when they first bought...
Tesla Model S battery cells explode after fatal Indianapolis crash,4 Nov 2016,More videos on YouTube ... A Tesla Model S crash in Indianapolis sent first responders seeking cover as the electric car's lithium-ion battery cells exploded like...
Former Tesla and BMW exec says self-driving cars will start to kill car ownership in just 5 years,13 Dec 2016,Former Tesla and BMW exec says self-driving cars will start to kill car ownership in just 5 years ... The idea that car ownership is bound to die is not a new one...
Insane person places insane price on Tesla Roadster prototype,12 Oct 2016,"The first Tesla model that arrived to delight the eco-friendly was the Roadster. A cool looking all-electric sports car, it rode on the bones of the Lotus..."
Tesla's new long-range plan could double size of Fremont factory,7 Oct 2016,“We are pleased to work with the City of Fremont on a plan that reaffirms our commitment to California and to eventually maximize the potential of our Fremont...
Tesla Model S And Model S X P100D To Become Even Quicker,7 Nov 2016,Tesla chief executive Elon Musk has revealed that the Model S and Model X P100D models will soon become even quicker. Musk announced the news on his.
"Tesla Announces Hardware 2 Sensor Suite, Future Level 5 Capability – News",19 Oct 2016,Hardware 2 features either four or eight cameras as well as a sonar system that doubles the range. The eight-camera system consists of three forward-facing...
The Tesla Model 3 could feature an ice-melting solar roof,3 Nov 2016,Tesla's Model 3 will likely feature a glass roof with built-in solar panels and defrosting heating elements.
Tesla electric cars: soon to be seen on Spanish roads,2 Dec 2016,"Tesla has also incorporated self-driving features into the models that will be on sale in Spain, says Milburn. “This is now legal in Spain, but the driver must..."
Why Tesla Model 3 should use standard model-year changes: opinion,28 Nov 2016,Electric-car maker Tesla Motors has always followed a different path than the rest of the automobile industry. Among the ways it has violated industry...
Green Car Reports' 2017 Best Car To Buy nominee: Tesla Model X,21 Oct 2016,"Pretty much any Tesla electric car is bound to start a conversation. The low, tiny 2008 Roadster, the sleek and Jaguar-esque 2012 Model S sedan,..."
Tesla Deliveries Soar In Q3: 24500 Vehicles In 3 Months,3 Oct 2016,"With 24,500 cars delivered in July, August, and September, the electric vehicle manufacturer set an 111 percent annual increase compared to the third..."
"Hot Tesla Mum Tries to Park, Her Model X Mistakes Water Heater for Another Car",29 Oct 2016,"Update:It seems Bruce Parmenter (the user who dropped the comment below) doesn't agree with the ""Hot Mum"" part of the title above. Well, when it comes to the..."
Tesla Model X wins ‘Golden Steering Wheel’ award for best SUV,8 Nov 2016,Tesla Model X wins 'Golden Steering Wheel' award for best SUV ... Tesla's Model X has been awarded the Golden Steering Wheel in the 'Best SUV' category. The...
Elon Musk: Tesla is developing a special kind of glass for its Model 3,1 Nov 2016,The Model 3 will use some of the same glass technology that Tesla is using for its solar roof...
Can A Tesla Model S Really Accelerate Faster Than Gravity?,25 Aug 2016,"Well, in 2.5 seconds at an acceleration of 1g, you would reach a top speed of 24.5 m/s. Or, put another way, you'd need to start with an initial speed of 2.3 m/..."
Tesla sued in China over fatal crash,20 Sept 2016,"Gao Jubin, the father of Gao Yaning, a 23-year-old Tesla driver killed in January when his car slammed into a truck on a Chinese motorway, is suing Tesla China..."
"Charging Points, Local Hires & New Models – Here’s How Tesla Is Zooming Back Into Singapore!",16 Aug 2016,US-based electric car manufacturer Tesla Motors is planning to make a comeback in Singapore - will they be lucky the second time?
Mobileye stumbles after announcing breakup with Tesla,26 Jul 2016,Shares of Mobileye fell more than 10 percent Tuesday after the software company announced it would not renew a contract with Tesla when it expires.
Electric car pioneer Tesla misses production targets,4 Jul 2016,"No smooth ride. Tesla said it still expected to deliver about 50,000 cars during the second half of the year. With the first two quarters lagging behind target..."
No more Tesla buyback guarantee as company cuts price of Model X,13 Jul 2016,"Tesla Motors Inc has ended a program that guaranteed the resale value of its cars, and lowered the starting price of its Model X crossover, the high-profile..."
The 3 Most Interesting Revelations in Tesla's New 'Master Plan',21 Jul 2016,The 3 Most Interesting Revelations in Tesla's New 'Master Plan' · Tesla is planning at least four new vehicles · Tesla isn't backing down from autonomous...
Elon Musk Says It's 'Pencils Down' for Tesla's Model 3,27 Jul 2016,"Elon Musk Says It's 'Pencils Down' for Tesla's Model 3. The designs are finished, and the massive—even 'romantic'—Gigafactory is spinning into motion. ... This..."
Tesla Responds to Chinese Hack With a Major Security Upgrade,27 Sept 2016,"When researchers at the Chinese firm Tencent hacked a Tesla S, the carmaker pushed out a new security feature known as code signing to millions of vehicles."
Team of hackers take remote control of Tesla Model S from 12 miles away,20 Sept 2016,"Three months since the first fatal crash involving a Tesla driving in autopilot mode, hackers have taken remote control of a Tesla Model S from a distance of 12..."
Chinese company hacks Tesla car remotely,20 Sept 2016,"A Tencent security team remotely accessed a Tesla Model S, and warned owners to update their software."
Tesla and Mobileye to part ways after fatal crash,26 Jul 2016,"Elon Musk, Tesla chief executive, suggested that Mobileye was falling behind in the development of its driverless car technology, though he stopped short of..."
Musk Reveals Four New Vehicles and a Forecast for Tesla's Future,21 Jul 2016,Tesla's original Master Plan called for plowing all free cash flow (and then some) into research and development of ever-cheaper electric cars. In what may come...
US opens investigation into Tesla after fatal crash,1 Jul 2016,"The company said in a statement: ""The high ride height of the trailer combined with its positioning across the road and the extremely rare circumstances of the..."
"Sorry, Tesla, But There's Still A Chance Electric Cars Are A Passing Fad",8 Jul 2016,"That will stop, and then the fad will collapse. The subsidies are soon to end. When that happens, and the fad goes away, the electric car enthusiasts have their..."
Mobileye says Tesla was 'pushing the envelope in terms of safety',14 Sept 2016,Mobileye <MBLY.N> broke ties with Tesla Motors <TSLA.O> because the Silicon Valley firm was “pushing the envelope in terms of safety” with the design of its...
Lidar: the self-driving technology that could help Tesla avoid another tragedy,6 Jul 2016,"The autopilot mode of the Tesla Model S, involved in a fatal collision made public last week, draws on a number of sensors including cameras, ultrasound and..."
Tesla Wins Massive Contract to Power the California Grid,15 Sept 2016,Tesla Wins Massive Contract to Help Power the California Grid. It's the latest response to a fossil-fuel disaster. ... This article is for subscribers only. Tesla...
Tesla gearing up for new Model 3 but struggling to meet production targets,5 Jul 2016,"Electric car firm misses its vehicle delivery target for the second consecutive quarter as it struggles to transform into a mainstream, high-volume..."
Tesla Breakup With Mobileye Turns Ugly,16 Sept 2016,The public breakup between Tesla Motors Inc. and Mobileye NV took a turn for the worse as the Israeli company said it “expressed safety concerns regarding...
Elon Musk Is Pushing Tesla Hard,1 Sept 2016,"The bottom line: Tesla's Musk is leaning hard on workers and suppliers to meet a July 1, 2017, deadline to start mass production of the Model 3."
Mobileye Ends Partnership With Tesla - WSJ,26 Jul 2016,NV said it would no longer provide its computer chips and algorithms to Tesla after a current contract ends due to disagreements about how the technology was...
Authorities investigate after Tesla car catches fire,17 Aug 2016,Tesla is working with the French authorities after one of its electric cars burst into flames shortly after a loud bang was heard while it was travelling at...
"Tesla, Mobileye Go Through Messy Breakup",16 Sept 2016,The July breakup came shortly after news that a Tesla Model S driver was killed in a crash in Florida this spring while using Autopilot. ... (TNS) -- Tesla Motors...
The company that helps Tesla make aluminum look sexy,12 Sept 2016,"In fact, Fuji Technica & Miyazu, in Shimizu, Shizuoka Prefecture, is a key supplier, teammate, really, of Tesla Motors. Six years..."
"Tesla’s Strategy Is Risky and Aggressive, but It Has Worked",12 Jul 2016,"Even so, Tesla has been aggressive in its use of technologies that are just emerging. The company's use of software to control more features of its cars, over-..."
Man says Tesla Autopilot saved his life by driving him to the hospital,5 Aug 2016,Tesla's controversial semi-autonomous Autopilot system took the wheel when a man suffered a life-threatening emergency.
Tesla's Innovations Are Transforming The Auto Industry,24 Aug 2016,"Tesla has shown the world that EVs are desirable compared to ICE vehicles—they are faster, safer, require less maintenance and are greener.[3] Now Tesla has..."
"It's On: Tesla, Mobileye Spar Bitterly Over What Triggered Autopilot-Related Split",16 Sept 2016,"Mobileye fired back Friday, accusing Tesla of lying. ”Allegations recently attributed to a spokesperson for Tesla regarding Mobileye's position in respect of..."
Tesla’s autopilot helps get man to the hospital during medical emergency,8 Aug 2016,"Joshua Neally's Tesla Model X didn't exactly save his life when he started having severe chest pains, but it helped him get most of the way to a hospital."
SolarCity accepts Tesla's $2.6 billion offer; both shares fall,1 Aug 2016,"SolarCity Corp <SCTY.O> agreed to Tesla Motors Inc's <TSLA.O> $2.6 billion offer to buy the solar panel installer, the companies said on Monday,..."
Opinion | Why Elon Musk's crazy plans for Tesla are perfectly sane,22 Jul 2016,"Elon Musk recently laid out a “master plan” for where his company, Tesla Motors, is heading. The vision is undoubtedly ambitious: four new kinds of Tesla..."
"Tesla pushes out more than 18,000 cars in Q2 as deliveries fall short",3 Jul 2016,"Tesla pushes out more than 18,000 cars in Q2 as deliveries fall short ... Tesla Model S redesigned and updated. ... Tesla Motors ramped up production in the second..."
Why Tesla’s customer loyalty ratings beat Mercedes,16 Sept 2016,"Mercedes Benz is arguably the oldest car company at scale and Tesla is the newest. If you measured customer loyalty you'd likely find that Tesla, which is..."
What's it like to drive with Tesla's Autopilot and how does it work?,1 Jul 2016,"If a car moves into the lane, the Tesla will monitor its position and reduce speed accordingly. If a car pulls in but accelerates away, the Tesla behaves like..."
Musk Tesla car-sharing,23 Jul 2016,"""There is an important role for sharing but it's not — most things don't get shared,"" Musk went on. ""People could easily share their house or their clothes or..."
Automotive tech firm Mobileye will end its partnership with Tesla,26 Jul 2016,Driver assistance tech company Mobileye said Tuesday it will end its partnership with Tesla Motors Inc.
"The technology behind the Tesla crash, explained",1 Jul 2016,"Apparently not. Here's how Tesla said the crash occurred: As the truck turned left, crossing the Tesla's path, neither the human nor the machine could..."
Researchers remotely hack Tesla Model S,20 Sept 2016,Researchers remotely hack Tesla Model S ... Chinese researchers announced Monday that they had discovered security vulnerabilities in the Tesla Model S that...
The Issue of ‘Self-Driving’ Is Back as China Sees First Tesla Autopilot Crash,10 Aug 2016,The Issue of 'Self-Driving' Is Back as China Sees First Tesla Autopilot Crash ... Tesla (TSLA) said on Wednesday that one of its cars had crashed in Beijing while...
"NVIDIA Announces Tesla P40 & Tesla P4 - Neural Network Inference, Big & Small",13 Sept 2016,"Over the last few months we have seen NVIDIA's Pascal GPUs roll out among their consumer cards, and now the time has come for the Tesla line to get its own..."
Hackers Fool Tesla S's Autopilot to Hide and Spoof Obstacles,4 Aug 2016,"The researchers tried spoofing and jamming attacks on the Tesla's cameras, too, but with limited effect. They pointed lasers and LEDs at the cameras to blind..."
How Tesla cars have changed over time: PHOTOS,12 Sept 2016,Here's how Tesla's cars have changed over the years · Tesla garnered a lot of attention in 2008 when it released its very first electric car — the wildly sexy...
Autopilot Cited in Death of Chinese Tesla Driver (Published 2016),14 Sept 2016,"The crash took place on Jan. 20 and killed Gao Yaning, 23, when the Tesla Model S he was driving slammed into a road sweeper on a highway near Handan, a city..."
Dashcam shows fatal Tesla Model S crash in China,14 Sept 2016,Dashcam shows fatal Tesla Model S crash in China. The crash took place in China in January and reportedly may have involved the car's Autopilot feature. ... CNET...
Tesla's Future Hinges On Reinventing Auto Manufacturing. Can It Pull It Off?,4 Aug 2016,"Tesla says it plans to crush traditional auto manufacturing techniques by automating production of its most anticipated car, the $35000 Model 3."
I Went Camping in the Trunk of a $145000 Tesla,17 Aug 2016,"The “Camp Mode” option on the unauthorized iPhone Tesla app works differently. Instead of shifting to neutral, the app checks in with the car every 30 minutes..."
Inside Tesla's gigantic Gigafactory,27 Jul 2016,"Gigafactory by the numbers · estimated cost of $5bn · total land area of 3,200 acres (13 sq km) · currently 14% complete, with 1.9 million sq ft (177,000 sq m)..."
Tesla’s supply chain set for a surge | Article,26 Jul 2016,"A big gain in Tesla's supply chain will be the Gigafactory, which is expected to start production later this year. Tesla has partnered with Panasonic at the..."
Tesla makes its cars Ferrari-fast with super Ludicrous mode,23 Aug 2016,"Customers who have ordered what had been the highest-performance Tesla — the P90D with Ludicrous, which hit 60 mph in 2.8 seconds — will be able to upgrade to..."
"Tesla posts another loss, but says on track for future deliveries",3 Aug 2016,SAN FRANCISCO (Reuters) - Tesla Motors Inc reported a steeper than expected quarterly loss on Wednesday on higher spending at its vehicle and battery...
Elon Musk outlines lofty goals for Tesla,20 Jul 2016,"It will involve Tesla expanding to make a full range of electric cars, buses and trucks, as well as a smartphone app through which Tesla owners will one day..."
How Tesla Is Changing the World,19 Aug 2016,"And it's even more so now, with Tesla's recently completed acquisition of SolarCity (SCTY), the solar-panel company run by his cousin, where Musk is the largest..."
"Elon Musk's 'Tesla Master Plan, Part Deux,' explained",21 Jul 2016,"In Musk's post, he says that Tesla aims to develop ""a smoothly integrated and beautiful solar-roof-with-battery product that just works, empowering the..."
Tesla's Model S Now Does an Even Loonier 60 MPH in 2.5 Seconds,23 Aug 2016,"Tesla Motors announced today that the new Model S P100D model will hit 60 mph in 2.5 seconds, thanks to a bigger, 100-kWh battery."
SolarCity advisor Lazard made mistake in deal with Tesla,31 Aug 2016,"Lazard, the investment bank that advised SolarCity on its sale to Tesla, made an error that discounted the value of the U.S. solar energy company."
Watch Chinese Hackers Control Tesla's Brakes From 12 Miles Away,20 Sept 2016,"First ever remote Tesla hack sees brakes killed and the boot opened mid-drive, Tencent security researchers claim."
Mobileye split with Tesla spurs debate on self-driving tech,26 Jul 2016,A rift between Tesla Motors Inc and key supplier Mobileye NV sent down shares of the Israeli maker of chips for the electric vehicle maker's semi-automated...
'Be Like Tesla' Project: Instilling a Passion for Innovation among Serbia's Youth,10 Aug 2016,"Samsung Electronics Adria (SEAD) in cooperation with the Museum of Nikola Tesla in Belgrade, as well as the Institute for Educational Quality and Evaluation,..."
How Did G.M. Create Tesla's Dream Car First? (Published 2016),14 Sept 2016,Tesla has had to build a huge factory to produce the Model 3's batteries at scale. G.M. batteries are being outsourced to the electronics giant LG Chem. Tesla...
"Tesla's 'Master Plan' Is All Promise, No Product",21 Jul 2016,"So the amount of money your Tesla will be able to earn competing with Uber, Lyft and others will be minimal, while the cost of owning a $35,000 vehicle will be..."
Tesla reaches deal to acquire SolarCity,1 Aug 2016,"Tesla (TSLA) said the stock acquisition is worth $2.6 billion, including the assumption of debt, valuing SolarCity shares at $25.37, or 5% lower than Friday's..."
"Tesla driver killed while using autopilot was watching Harry Potter, witness says",1 Jul 2016,"Tesla driver killed while using autopilot was watching Harry Potter, witness says ... The Tesla driver killed in the first known fatal crash involving a self-..."
The Tesla Autopilot Crash Could Have Been Much Worse,5 Jul 2016,"Five days after the world learned that the driver of a Tesla on Autopilot had died in a crash, there are still a lot of unanswered questions."
Second Tesla crash probed in US,7 Jul 2016,"A second Tesla crash, which left a driver and passenger injured, is being investigated with particular emphasis on whether the Autopilot feature was in use."
Tesla Is Playing Catch-Up With China’s BYD in Nearly Every Business Category,9 Aug 2016,"BYD versus Tesla. When comparing the two companies head to head, the data shows that in almost every relevant dimension, BYD has gone further and is growing..."
Should Tesla be 'beta testing' autopilot if there is a chance someone might die?,6 Jul 2016,"Whether or not Tesla's autopilot malfunctioned, the news reinforces the question of whether car companies should release critical safety features to be beta-..."
New NVIDIA Pascal GPUs Accelerate Deep Learning Inference,12 Sept 2016,"GTC China - NVIDIA today unveiled the latest additions to its Pascal™ architecture-based deep learning platform, with new NVIDIA® Tesla® P4 and P40 GPU..."
Mobileye says it warned Tesla against enabling 'hands-free' driving,16 Sept 2016,Mobileye NV said in a U.S. securities filing on Friday that its top executives were assured by Tesla Motors Inc Chief Executive Elon Musk that drivers of...
Tesla has no plans to disable autopilot mode as third recent crash is revealed,12 Jul 2016,"Tesla has no plans to disable autopilot mode as third recent crash is revealed ... Another accident involving Tesla's autopilot system has been reported, this..."
Elon Musk Just Outlined Tesla's 'Master Plan' To Take On Uber,21 Jul 2016,"On Wednesday, Musk released his second “Master Plan” for his upstart automaker Tesla. The plan is ambitious, with four goals that include integrating Tesla with..."
Elon Musk Indicates Changes Coming For Tesla Autopilot,18 Jul 2016,Tesla CEO Elon Musk tweeted last week that the automaker intends to modify the way its Autopilot semi-autonomous system works in the wake of a recent fatal...
Tesla's entire future depends on the Gigafactory,31 Jul 2016,"Tesla's Gigafactory is perhaps the best example of the literal scale of Elon Musk's ambitions. When the factory is complete, it will be the largest building in..."
Tesla stock rises after Elon Musk's masterplan tweet,11 Jul 2016,"Tesla stock rises after Elon Musk's masterplan tweet ... Telsa's shares rose more than 4% in early trade after its chief executive teased a new ""masterplan"". Elon..."
"Elon Musk: Tesla expanding into pickups, heavy trucks",20 Jul 2016,"Digging into the intriguing details, Musk says that to not only succeed as a company but also revolutionize clean transportation, Tesla must expand its product..."
Deadly Tesla Crash Exposes Confusion over Automated Driving,8 Jul 2016,The crash occurred on a Florida highway when an 18-wheel tractor-trailer made a left turn in front of a 2015 Tesla Model S that was in Autopilot mode and the...
Tesla's Musk: No more discounts on new cars,29 Sept 2016,Electric carmaker Tesla Motors Inc. <TSLA.O> Chief Executive Elon Musk told employees in an email to follow company policy of not offering discounts on new...
"Tesla unveils new Model S sedan, Model X crossover with quicker acceleration, longer battery range",25 Aug 2016,"The Model S P100D will start at $134,500 and the Model X 100D will start at $135,500. Pictured here..."
"What Makes a Tesla Special? These 10 Things, for Starters",21 Jul 2016,"1. Design. Not so much the exterior — Teslas are modern, sporty cars, but they still look like cars. The foundation of the Tesla difference is what's underneath..."
Tesla’s Self-Driving Software Gets a Major Update,11 Sept 2016,"Tesla says that the new software shifts that burden to the radar, unlocking six times as many information points per object with every reflected pulse. Ten..."
Tesla Upgrades Autopilot in Cars on the Road (Published 2016),23 Sept 2016,"The new Tesla software, called Version 8.0, also makes a significant change to the way Autopilot scans the road and recognizes objects. The previous version..."
Tesla's batteries have reached their limit – here's how they could go further,6 Sept 2016,"One such prototype battery has demonstrated 650Wh/kg of energy density, which means 650 miles of range for an electric vehicle in a single charge – more than..."
First batch of Tesla Model S on way in to Malaysia - shipment consists of 10 units of the 70 and P90D - paultan.org,26 Sept 2016,"Its CEO Ahmad Hadri Haris told paultan.org that the first batch of Tesla vehicles will soon be arriving in the country – the shipment is made up of 10 units,..."
Tesla Model S P100D: range and 0-60mph speed,24 Aug 2016,"Elon Musk has launched Tesla's new Model S, which has the fastest acceleration and longest range of any Tesla yet."
Tesla Explains How A.I. Is Making Its Self-Driving Cars Smarter,13 Sept 2016,The company promises that radar and artificial intelligence will help the vehicles avoid accidents in the future. ... Tesla announced the latest software update...
Why Elon Musk's New Strategy Makes Sense,25 Jul 2016,Last week Elon Musk released the second installment of Tesla's Master Plan. The first installment had been written in 2006. It outlined Tesla's automotive...
Why Tesla always overpromises and underdelivers,16 Aug 2016,"Tesla is a completely different story. You don't change the world without expressing ambitious stretch goals. Ultimately, you don't have much of a story without..."
Tesla crash in China raises concerns on Autopilot claims,10 Aug 2016,Driver claims buyers not made properly aware of limitations of self-driving technology.
Tesla to buy SolarCity in $2.6 billion stock deal,1 Aug 2016,Tesla Motors said it would buy solar panel installer SolarCity for $2.6 billion in shares to form a one-stop clean energy shop.
Tesla Autopilot Crash: Why We Should Worry About a Single Death,11 Jul 2016,"Human irrationality may also explain why Tesla retains some responsibility in the accident. Before allowing its customers to use Autopilot, Tesla requires them..."
Elon Musk Says Autopilot Death ‘Not Material’ to Tesla Shareholders,5 Jul 2016,Elon Musk Says Autopilot Death 'Not Material' to Tesla Shareholders ... When Joshua Brown crashed and died in Florida on May 7 in a Tesla that was operating on...
Tesla says autopilot involved in second car crash,13 Jul 2016,"Tesla says autopilot involved in second car crash ... Tesla has admitted that its autopilot feature was activated when one of its cars crashed on Sunday. However,..."
10 things that make electric-car maker Tesla special,23 Aug 2016,There's a mystique about Tesla Motors' electric vehicles that borders on the cultlike.
What Tesla And Google's Approaches Tell Us About Autonomous Driving,1 Jul 2016,"That means it's lagging behind Tesla on driven miles, but they don't involve regular drivers. (Tesla says Autopilot has been activated for more than 130 million..."
Tesla and SolarCity: Do They Fit Together? - Union of Concerned Scientists,3 Aug 2016,"EVs and solar power can contribute both separately and together to reducing greenhouse gas emissions. One of the major entrepreneurs in this space, Elon Musk,..."
Elon Musk declares on Twitter that he has a 'top secret Tesla masterplan',10 Jul 2016,"Elon Musk declares on Twitter that he has a 'top secret Tesla masterplan' ... Tesla Motors CEO Elon Musk, under pressure after a fatal crash involving one of his..."
Designing Your Own Tesla Is Easier Than Ever,8 Sept 2016,"Hitched to the backs of Model X SUVs, the fleet of mobile design studios will offer a novel approach to the way American consumers have traditionally scoped out..."
"Musk's bad day: Explosion + stock drops by Tesla, SolarCity = $390 million loss",1 Sept 2016,"Musk's bad day: Explosion + stock drops by Tesla, SolarCity = $390 million loss ... One of his rockets blew up, and he suffered a paper loss of about $390 million..."
Tesla reports Autopilot crash in China,10 Aug 2016,"Tesla said one of its cars had crashed in Beijing while in Autopilot mode, with the driver contending sales staff sold the function as ""self-driving,""..."
Elon Musk has revealed Tesla's new master plan...,21 Jul 2016,"Welcome to Tesla v2.0. CEO Elon Musk himself, via a chatty, frank blog post on his car company's own website, has outlined his vision for the next decade of..."
How Much Cleaner Really Is a Tesla? Depends on Where You Are,19 Sept 2016,The London-based research arm of Bloomberg LP and the Union of Concerned Scientists both have analyzed the ultimate contribution that electric cars make to...
Hackers Fool Tesla Autopilot Into Making Obstacles 'Disappear' -- But Don't Panic About Crashes Yet,4 Aug 2016,"They would swamp the system to suppress the real echoes bouncing off an object to remove them from the autopilot's vision. If they'd let it, the Tesla would..."
The Coolest Tesla Features,27 Sept 2016,"With each vehicle, Tesla introduced new, unique features."
Tesla ends 'Resale Value Guarantee' on new vehicle purchases,13 Jul 2016,"Share this story ... Tesla has ended its Resale Value Guarantee program for cars purchased after July 1st, a company spokesperson has confirmed to The Verge. The..."
The battle between Tesla and your neighborhood car dealership,9 Sept 2016,"A Missouri judge, for instance, ruled this month in favor of the state's auto dealers, saying Tesla could continue operating showrooms but could no longer sell..."
Tesla sets new records,24 Aug 2016,Electric car pioneer Tesla Motors has announced its new P100D version of the Model S and Model X are the 'quickest production cars in the world' and will...
Tesla driver dies in first fatal autonomous car crash in US,1 Jul 2016,"A Tesla Model S operating in autopilot mode has collided with a truck in Florida, killing the car's driver, Joshua Brown. The accident will spark hard..."
Here's Your First Look at Tesla's New Autopilot and UI,22 Sept 2016,"Starting today, a push notification on the car's 17-inch touchscreen will inform more than 140,000 Tesla owners their new software is now available. One push of..."
Updated Tesla Model X falcon wing door frustrates owners,31 Aug 2016,"The software change apparently disabled pressure sensitive sensors in the door frames that detect objects in door apertures of the body. Before the update, the..."
Elon Musk: Tesla's Model 3 factory could look like an alien warship,4 Aug 2016,"Elon Musk says the Model 3 factory will someday look like an ""alien dreadnought."""
Tesla auto-pilot feature successfully brings driver to emergency room,9 Aug 2016,"A Tesla Model X has safely driven its owner to a hospital, after he activated the car's auto-pilot function following a potentially fatal blood clot."
Fatal Tesla Crash Draws In Transportation Safety Board (Published 2016),10 Jul 2016,Fatal Tesla Crash Draws In Transportation Safety Board ... DETROIT — A second federal agency is investigating a fatal May 7 crash in Florida involving a Tesla...
