Headlines,Dates,Descriptions
Edison and Tesla Spat in ‘The Dangers of Electric Lighting’ — Review,5 Nov 2011,"A War of Currents, and Rival Geniuses ... The darker side of Thomas Alva Edison is gradually revealed by Ben Clawson in his absorbing new play, “The Dangers of..."
Video: Tesla Model S' Humongous 17-inch Infotainment Screen,7 Oct 2011,"Lexus may like to swagger about the new 2013 GS sedan's available 12.3-inch touchscreen, but when it comes to ultimate bragging rights, Tesla is king with."
Tesla Roadster Owners Soon To Get iPhone App Thanks To Tech-Savvy Fans,5 Dec 2011,"Although both the in-car module and the smart phone software are still early in development, the project has already built its first iOS and Android..."
Inside the Tesla Model S - Big moves (1) - CNNMoney,2 Nov 2011,"When Tesla Motors begins sales of the Model S sedan next year it'll be a huge move. The ""boutique"" electric car maker will go from selling a relative..."
"Elon Musk Owes Customers 6,500 Cars, So Why Is He Smiling?",26 Oct 2011,"With a documentary film crew recently at his back and deals in place with Daimler, Toyota, and Panasonic, Tesla's Elon Musk talks to Fast Company about his..."
Tesla Roadster to reappear in 2014,27 Oct 2011,"Next year, the Tesla Model S will hit dealerships across the globe. Then, the crossover Model X will bow, likely followed by a convertible based on the..."
8 Reasons Why The Electric Car Will Not Be A Success Anytime Soon,9 Dec 2011,"The electric car has been an area of debate in the auto industry for as long as anyone can remember. Advertisement. On paper, electric motors are fantastic:..."
Engineers seek funds for world¿s largest Tesla coil,23 Nov 2011,Engineers seek funds for world's largest Tesla coil which would shoot huge 250ft arcs of electricity.
"Tesla Model S Sport Quicker Than 911, Model X Coming In Late 2011",3 Oct 2011,"The Tesla Model S Beta electric vehicle has been unveiled in the US this week, continuing the software-inspired naming of its development programme."
Tesla Roadster Final Edition to hit North American markets,21 Dec 2011,Tesla has decided to give its EV roadster a new twist before it hits exclusive to the North American markets. All of the Final Edition cars will feature a.
"East Palo Alto plane crash pilot's fault, feds say",29 Nov 2011,"The Tesla Motors employee piloting a small plane that crashed in East Palo Alto last year,..."
First Ride: 2012 Tesla Model S Beta,4 Oct 2011,"We're sure that Tesla was sweating the details in the run-up to this past weekend's festivities, and the tight gaps in the body panels and general exterior..."
Video: Tampa's Tesla coil lightning show unleashed,22 Oct 2011,"After a two-game delay for fine tuning, the Tampa Bay Lightning debuted the very awesome Tesla coils tonight inside St. Pete Times Forum before their 3-0..."
Engineers seek funds for world's largest Tesla coil,22 Nov 2011,"Ten stories of electromagnetic goodness ... A team of engineers is seeking $348,000 in funding on Kickstarter to build the world's largest Tesla coils, capable of..."
Tesla losing Top Gear court challenge,21 Oct 2011,The half-time score in the London High Court between Top Gear and Tesla stands at 1-0.
Santa Wants You To Drive A Tesla Roadster This Christmas,20 Dec 2011,Still looking for a holiday gift for an electric car enthusiast who hasn't yet experienced the sheer thrill of an accelerating electric sports car?
Edison vs. Westinghouse: A Shocking Rivalry | History,11 Oct 2011,Steve Jobs and Bill Gates. They were genius rivals: two American titans who transformed the technology industry and lived to see their visions of computers...
"Tesla Posts Chunky Losses, But Sees Stock Rise",4 Nov 2011,"But is the promise of profit enough to keep shareholders happy? Seems it is for now... ... yesterday, as the electric car maker saw its third-quarter net loss..."
Video: Behold the power of the Tesla coil,22 Oct 2011,Video: Behold the power of the Tesla coil ... Finally (FINALLY!) the Tampa Bay Lightning unleashed the raw power of electricity on the fans at St. Pete Times...
Chris Paine’s ‘Revenge of the Electric Car’ — Review,20 Oct 2011,"Chris Paine's “Revenge of the Electric Car,” the follow-up to “Who Killed the Electric Car?,” is a slick, enjoyable valentine to a retooling industry."
Elon Musk: Searching for the 'Moore's Law' of Space,4 Oct 2011,"Elon Musk is an advocate for interplanetary life, which will require great leaps in technology. According to Musk, the grand challenge is to ""find a Moore's..."
Tesla to Sell 15 Final Edition Roadster Models of High-performance Electric Car,30 Dec 2011,"In preparation for the new year and the debut of their new Model S, electric car maker Tesla is selling just 15 of the Final Edition Roadster models."
Tesla stock confirms breakout past resistance,13 Nov 2011,"Last July there was only the potential for a short squeeze on Tesla stock. A Torque News reader now laments selling too early, not holding on long enough to..."
Video: Lightning will celebrate goals this season with a Tesla coil,14 Oct 2011,"If you've ever wondered just how the Tampa Bay Lightning could appropriately celebrate a goal that goes along with the team name, Nikola Tesla has the..."
"Tesla Motors opens shop in Houston, Texas *UPDATE",25 Oct 2011,"Tesla Motors has chosen Houston, Texas as the locale for its latest U.S. store location. Setting up a Tesla shop presence in the Lone Star State might seem odd,..."
Electric Car Startup Aptera Closes Shop,2 Dec 2011,"Electric car startup Aptera Motors is no more. The company, which lined up high-profile investors such as Google and NRG Energy, announced Friday that it's..."
This is the last Tesla Roadster,16 Dec 2011,"Sporting Atomic Red paint, a duo of dark silver stripes on its hood and rear clamshell, along with exclusive anthracite aluminum wheels, this is number four of..."
"Car Company Gets U.S. Loan, Builds Cars In Finland",21 Oct 2011,"in billion-dollar gamble on Tesla and Fisker, some worry about a second Solyndra. ByABC News. October 21, 2011, 10:24 AM. Oct. 20, 2011 —..."
Tesla Model S Sold Out for 2012,3 Nov 2011,Tesla Motors has completely sold out next year's production of 6500 units of the upcoming Model S. The American car maker will also will return to.
Film about electric car got Illinois jump-start,27 Nov 2011,LOMBARD — It began as a parking lot tour. Small groups of people who gathered everywhere what Lombard resident Stefano Durdic parked his electric Tesla...
Toyota Rav4 EV (2012) – Tesla/Toyota SUV scooped,22 Dec 2011,"Remember the Toyota RAV4 EV concept shown at the 2010 Los Angeles auto show? These spy shots show the latest test cars, bound for low-volume production in..."
"Tesla's Future: Saloon, crossover, cabrio and new roadster",1 Nov 2011,"With a rapid expansion of Fisker's line-up on the horizon, its eco-aware rival Tesla is also ready to drastically boost its product portfolio."
Electric Vehicle News and Reviews (Page 266),6 Dec 2011,Electric vehicles (EVs) have come a long way in a short time. Barely a decade has passed since the ambitious Silicon Valley startup Tesla Motors introduced...
Energy's risky $1 billion bet on two politically-connected electric car builders,20 Oct 2011,Vice President Joe Biden announces that Fisker Automotive will build electric cars at a shuttered GM plant in Delaware. Rob Carr/AP...
Seven Reasons to Believe Electric Cars Are Getting in Gear,18 Oct 2011,"They're not ready for prime time, but electric cars are starting to pick up speed."
Tesla Model S Beta almost-production-ready version revealed – PerformanceDrive,9 Oct 2011,Tesla has revealed a new Tesla Model S Beta edition of the upcoming medium-sized sports sedan to a group of Tesla customers in the US.
"Tesla Model S Nears US-market Launch, Pricing Revealed",21 Dec 2011,"Tesla will embark on a top-down launch strategy, meaning the $57,400 entry-level Model S won't initially be available at the Model S's launch in mid-2012."
The 5 Most Badass Teams of Famous People To Ever Join Forces,11 Oct 2011,"The results of these team-ups were usually insane, if not world-changing."
Tesla Model S Pricing Analysis,22 Dec 2011,"Tesla released the finalized features and pricing for the Model S sedan this week, with deliveries of the most expensive variants to begin in “mid-2012…"
The electric car in 2011: like a baby taking its first steps,24 Dec 2011,"Nissan Leafs and Chevy Volts already cruise the nation's highways, and Palo Alto-based Tesla Motors (TSLA) is on track to launch its all-electric Model S..."
New electric car visits the MEA,5 Dec 2011,"The Manx Electricity Authority is expecting an increase in the number of Island residents opting for electric cars, as the cost of conventional motoring..."
Top 10 Alleged Autistics in History,5 Dec 2011,"There is perhaps no more controversial neurological disorder than autism, a mysterious ailment which affects the nerve pathways and causes various..."
Invader TC-3: Superbike or supercar?,13 Nov 2011,"While attending the 2011 SEMA Show last week, we stumbled upon the striking Invader TC-3 from Tanom Motors. A cross between a superbike and a supercar,..."
Road Test: Tesla Roadster Sport – Asphalte.ch,16 Nov 2011,"There's no gearbox in this car, the electric motor torque is such that it can both offer meaty acceleration and a 201 kph top speed with a fixed 8.28:1 drive..."
Aptera Closes Its Doors: No Three-Wheeled Car for You,2 Dec 2011,"Note to entrepreneurs: it's really hard to build a new automobile (see Next Autoworks, Chevy Volt, Fisker, Tesla, Edsel)."
Road Test: Tesla Roadster Sport – Asphalte.ch,16 Nov 2011,"There's no gearbox in this car, the electric motor torque is such that it can both offer meaty acceleration and a 201 kph top speed with a fixed 8.28:1 drive..."
Aptera Closes Its Doors: No Three-Wheeled Car for You,2 Dec 2011,"Note to entrepreneurs: it's really hard to build a new automobile (see Next Autoworks, Chevy Volt, Fisker, Tesla, Edsel)."
"Ford Focus Electric price: $40,000 - Nov. 2, 2011",2 Nov 2011,"Ford has opened order banks in New York, New Jersey and California for its first plug-in passenger car, the Focus Electric."
Electric-car guru Tom Gage steps down from AC Propulsion,4 Oct 2011,"Electric-car innovator Tom Gage resigned the morning of Oct. 5 from California company AC Propulsion, Autoweek has learned. Gage, the now-former CEO,"
Nvidia Maximus hybridizes Quadro and Tesla products,14 Nov 2011,"The Quadro series is more geared toward displaying graphics such as computer-aided design, whereas Tesla is best suited for raw compute tasks. Systems outfitted..."
"My Dream Date With A $109,000 Electric Car, The Tesla Roadster",27 Sept 2011,"My Dream Date With A $109,000 Electric Car, The Tesla Roadster ... Tesla Motors is on a mission: proving that electric cars can be awesome. Advertisement. The..."
"Tesla reports quarterly loss, research spending up",3 Aug 2011,Electric car maker Tesla Motors Inc reported a deeper second-quarter loss on Wednesday as higher spending on research and hiring engineers to develop...
"No, Tesla Did Not Predict Faster Than Light Neutrinos",26 Sept 2011,The Nikola Tesla quote above has been making the rounds since last week's announcement from the OPERA research team that they had detected neutrinos that may...
Tesla Motors to open new store at Bellevue Square mall,27 Sept 2011,"The high-end electric sports cars from Tesla Motors are a favorite among tech geeks. And given that love affair, what better spot to showcase the..."
Tesla to reveal Model X alpha version in December,4 Aug 2011,"Way ahead of budget and schedule, Tesla plans to unveil the alpha version of its Model X electric SUV in December."
Tesla sells more Roadsters in Oz as Model S looms,18 Aug 2011,"Californian EV company Tesla hopes to sell 50 Roadsters in Oz before production ends ... THE number of Australians taking up the offer of Tesla's super-exclusive,..."
Take a trip to new guitar territory with Teuffel's Tesla Prodigy,9 Aug 2011,"Teuffel also makes the wood-covered pickup - including the bobbins, wiring and magnetizing. The bridge pickup is a hot humbucker, and both the mid and neck..."
Discuss: Tesla's Elon Musk Is The New Steve Jobs (Merrill Analyst Says),10 Aug 2011,"Musk is a serial entrepreneur, running both Tesla and SpaceX, who made his money when Paypal was sold to eBay. He's one of several focuses in the movie Revenge..."
"Electric Car Company, Tesla Opening Store in Bellevue Square",7 Sept 2011,"Tesla Motors, the automotive company that is known for its high-performance electric powered cars, will open a store in Bellevue Square."
"Secret Tesla video? Model S sedan, Roadster shown on the road together",12 Aug 2011,Tesla Motors has now released a few videos (here and here) of the all-electric 2012 Model S sports sedan it plans to launch next year.
"Will.I.Am on Nikola Tesla, Mash-Up Culture, and His Love of Robots",12 Aug 2011,"Love him or hate him, it's impossible to avoid Black Eyed Peas front man will.i.am. Just this year he's been a mentor on American Idol, named Intel's..."
$114 million Tesla project aids Hetch Hetchy water,20 Jul 2011,The ultraviolet reactor is part of the San Francisco Public Utilities Commission's new Tesla Water Treatment Facility on the outskirts of Tracy. The $114...
Tesla Mod - Dead Island Guide,19 Sept 2011,Find this rolled up mod on top of the cabinet next to entrance to the power room in the quest Power.
Tesla: The Looming Short Squeeze (NASDAQ:TSLA),1 Sept 2011,One of the wonders I've seen during this short period was an awesome short squeeze of Volkswagen (VLKAY.PK) during which the stock quintupled in two days. It...
"Tesla Motors Orders 100 More Roadster Gliders From Lotus, Extends Production",4 Jul 2011,"Tesla Motors Orders 100 More Roadster Gliders From Lotus, Extends Production ... You may remember that about a week ago or so I've been writing an article about..."
Video Find: Tesla Model S Alpha Triplets Play on the Track,3 Aug 2011,"Peter Rawlinson, Tesla's vice president of vehicle engineering, has given a tutorial in series of videos on the electric Model S sedan,..."
Madella Simone's Tesla E-Max Bike Converts Pressure To Power,29 Aug 2011,The Tesla E-Max bike by Madella Simone is not just a pretty electric face. This motorcycle is covered in piezoelectric material that converts compression...
Tesla CEO Elon Musk Had An Elaborate Burning Man Setup That Cost Thousands,6 Sept 2011,"The compound was set up by Classic Adventures RV, which charges between $5,000 and $10,000 per vehicle. Classic also helped make sure everything kept running,..."
"Betting Tesla's Elon Musk $1 Million, Dan Neil Hopes To Lose",26 Aug 2011,"Elon Musk, CEO of electric-car startup Tesla Motors, sometimes says things that later prove not to be quite true. In that, he's like many entrepreneurs,..."
"Somehow, The Massive Stature Of Elon Musk's Career Snuck Up On Us – But Wow",3 Aug 2011,Elon Musk does not mess around. Advertisement. The brilliant South African was a multi-millionaire by the age of 28 and a successful two-time entrepreneur...
"Los Alamos achieves world-record pulsed magnetic field, moves closer to 100-tesla mark",23 Aug 2011,(PhysOrg.com) -- Researchers at the National High Magnetic Field Laboratory's Pulsed Field Facility at Los Alamos National Laboratory have set a new world...
Aron Koscho's Creative Sparks,23 Aug 2011,"In the new issue of Dazed & Confused, we speak to the Tesla Coil master who created unique pieces for Bjork's Biophilia show for electrifying results."
Wave of the Future: Future Tesla Sedan Design Study,11 Jul 2011,They say all good things must come to an end. The Tesla Roadster seemed to sum up that statement with its g...
Gordon Murray and Toray Industries build carbon-fiber electric roadster,21 Sept 2011,U.K. design and engineering firm Gordon Murray Design Ltd. and Japanese carbon-fiber specialist Toray Industries have built a lightweight electric-pow.
Together at last - Tesla Model S and Roadster hit the road,13 Aug 2011,Plug your ears and keep your eyes glued to the screen. What we present here is rare footage of a Tesla Model S and a Tesla Roadster side-by-side on a...
Bet With Auto Writer Dan Neil May Lead Tesla CEO to Donate $1 Million to Charity,9 Sept 2011,The parties involved in the bet: Tesla CEO and multimillionaire Elon Musk and renowned automotive journalist Dan Neil of the Wall Street Journal. Formed through...
Top Gear's electric car shows pour petrol over the BBC's standards,5 Aug 2011,Why is Top Gear apparently exempt from the BBC's editorial guidelines and the duty not to fake the facts? Tesla sues Top Gear over 'faked' electric car race
Toyota Says RAV4 EV Will Be Built Alongside Normal RAV4s in Canada,5 Aug 2011,"Last month, Toyota confirmed that its electric RAV4 EV was on track to go on sale in 2012. It reconfirmed that timetable today with the announcement that..."
Tesla and Athlon Team Up To Lease Model S and Roadster in Europe,1 Aug 2011,"In a recent press release, Tesla Motors and Athlon Car Lease announced an agreement to begin a lease progra..."
Tesla Roadster review,9 Sept 2011,"The Roadster saves some of its battery life by not having power steering which makes it heavy to steer around pit lane, despite the light weight of the vehicle."
2012 K1 Evelio Electric Sportscar to Take on Tesla,19 Jul 2011,The advantage of using such technology is that the chemical and thermal stability are superior to standard technology. The car can run from 100 to 150 miles...
The New Establishment 2011 - Elon Musk,12 Sept 2011,"TESLA MOTORS, SPACEX. STAGE OF GLOBAL CONQUEST: Tesla has sold more than 1,650 of its all-electric roadsters, at a price of $101,500 a pop, and will begin..."
2013 Tesla Model S Orders Taken For Australia,3 Aug 2011,"Australian pricing for the Model S has yet to be revealed, although Tesla has confirmed that its new sedan will sell for around US$57,000 in the North American..."
Stargate actress test drives Tesla Roadster,5 Jul 2011,"Stargate actress test drives Tesla Roadster. With a zero to 100 km/h time of under four seconds, I fully expected Amanda Tapping to blow the roof off the Tesla..."
Cascade Microtech Integrated Probe Systems Speed Time-To-Market For Growing Power Device Segment,1 Jul 2011,"Unique Tesla Probe Systems With CT-3100/3200 Curve Tracers Address High-Voltage, High-Power Measurement Requirements. Beaverton, OR (Marketwire) - Cascade..."
Engine Hacks – Tesla Turbines,9 Sept 2011,Air or steam is injected into the closed turbine housing at the outer edge of the disks. It swirls around through the turbine blades and eventually exits near...
Toyota RAV4 EV by Tesla not for sale,19 Jul 2011,Toyota RAV4 EV by Tesla not for sale. Toyota's new Tesla-developed Toyota RAV4 EV is in its final stages of testing. Up to 160 testers have been trialling the...
"Charles Proteus Steinmetz, the Wizard of Schenectady | History",16 Aug 2011,His contributions to mathematics and electrical engineering made him one of the most beloved and instantly recognizable men of his time.
"Whitesnake, Tesla and Sebastian Bach Join Forces at Jones Beach",23 Aug 2011,"Whitesnake, Tesla and Sebastian Bach Join Forces at Jones Beach - Wantagh-Seaford, NY - Famed 80's hard rock bands take center stage in Wantagh."
Elon Musk: Starting A Company Is Like Staring Into The Face Of Death,14 Sept 2011,"Elon Musk, co-founder of PayPal and founder of Tesla Motors and Space Exploration Technologies (SpaceX), sat down with Erick Schonfeld tonight just before..."
BYD E6 and the EV Range Solution,15 Aug 2011,"BYD Co Ltd (Build Your Dreams 002594.SZ) is on schedule to enter the growing EV market with the E6 crossover in Q2 of 2012, reports senior vice president..."
EVs are back in Revenge of the Electric Car,27 Sept 2011,"Revenge of the Electric Car, by writer/director Chris Paine, follows General Motors' Bob Lutz, Nissan's Carlos Ghosn, Tesla's Elon Musk and backyard i."
"Elon Musk on starting small, blowing up education and reaching the stars in 3 years (video)",15 Sept 2011,Tesla Motors chief executive Elon Musk was the final keynote speaker at the TechCrunch Disrupt 2011 conference in San Francisco this week.
Tesla torque,25 Aug 2011,It's that massive torque output that makes it difficult to get a multispeed transmission that will mate up with an electric motor. But they are on the way...
"Fremont's Solyndra, Solar Tech Firm, Shuts Down and Lays Off 1,100",31 Aug 2011,"Solyndra says it is laying off 1100 workers immediately as it's shutting down and filing for bankruptcy ""while it evaluates options, including a sale of the..."
FRANKFURT MOTOR SHOW: Artega SE - carsales.com.au,14 Sept 2011,"All-electric Artega SE sportster takes to the stage in Frankfurt, and could give Tesla."
Top Gear 'deliberately flattened electric car battery' before test,8 Aug 2011,THE PRODUCER OF BBC's hugely popular motoring show Top Gear have been accused of deliberately running down the battery on a electronic car – just so it...
Unique of the Week: 1980 Bradley GT II Electric Car,29 Jul 2011,"It's no secret that many (ok, most) of our readers can't stand the thought of EVs. With new models like the..."
The Wizard of Schenectady,17 Aug 2011,"The Smithsonian's ""Past Imperfect"" blog has a post about Charles Steinmetz -- the ""Wizard of Schenectady"" -- this week is that is completely jammed full of..."
Want a 2012 Toyota RAV4 EV? You'd Better Live in California,11 Aug 2011,"Next year, we're seeing a whole new group of all-electric car hit the streets, including the much-anticipated rebirth of Toyota's all-electric crossover,..."
Future of electric cars hinges on better batteries,10 Jul 2011,"Electric cars are a game-changing technology with an Achilles' heel — the battery. Current batteries are expensive and have limited range, making it hard to..."
"Following devastating earthquake, Elon Musk helping Fukushima go solar",1 Aug 2011,"In the last few months, Japan's Fukushima Prefecture has suffered through an enormous earthquake, devastating tsunami, and the frightening meltdown of..."
Elon Musk's 63-year-old mother is 'pregnant' - San Francisco Business Times,30 Sept 2011,"Tesla CEO Elon Musk's 63-year-old mother Maye appears on the cover of this month's New York Magazine, seemingly naked and pregnant. She was, in fact, ..."
Toyota RAV4 EV May Not Be Available To Consumers From 2012 Launch,18 Jul 2011,"Toyota has backed away from plans to sell its upcoming RAV4 Electric Vehicle to the public. Instead, the Toyota and Tesla c..."
New kit makes converting your Miata to electric power easier than ever,28 Sept 2011,"If you want a drop-top electric two seater and you have $100000 burning a hole in your very high quality wallet, you can stop at on your local Tesla dealer."
"2012 Smart ForTwo Electric Drive Update Revealed, Australian Debut On The Cards",17 Aug 2011,"For 2012, the ForTwo Electric Drive does away with its Tesla-developed 16.5kWh battery park, gaining a new 17. Mike Stevens. 03:1717 August 2011."
Students prepare solar car for global race | News | eagletribune.com,14 Aug 2011,"SAN JOSE, Calif. — A team of Stanford University students is racing to finish what could be the next new thing in automotive technology."
