Headlines,Dates,Descriptions
"Mexico gives Tesla land-use permits for gigafactory, says state government",12 Dec 2023,"Electric automaker Tesla has received land-use permits from Mexico's federal environment ministry to build a planned ""gigafactory"" in the northern border..."
News / Dockers set to refuse to handle Tesla cars at major Swedish ports,3 Nov 2023,Dockers at the Swedish Transport Union will stop handling Tesla imports into the country from next Tuesday as part of a sympathry action.
Tesla wins first US Autopilot trial involving fatal crash,31 Oct 2023,"Tesla on Tuesday won the first U.S. trial over allegations that its Autopilot driver assistant feature led to a death, a major victory for the automaker as..."
"Tesla discloses DOJ probes over vehicle range, personal benefits and more",23 Oct 2023,"The DOJ has pressed Tesla for information about the range of the company's electric vehicles, as well as “personal benefits, related parties,” and “personnel..."
Tesla earns $690m less than expected in third quarter,18 Oct 2023,Tesla earns $690m less than expected in third quarter ... Tesla shares slid nearly 5% in after-hours trading Wednesday after several misses of Wall Street...
"Hyundai, Kia to adopt Tesla EV-charging standard from 2024 in US",5 Oct 2023,Hyundai Motor and Kia Corp said on Thursday that they had decided to adopt Tesla Inc's electric vehicle (EV) charging technology in the United States.
Tesla acquires Shanghai land for megapack battery plant,22 Dec 2023,"Tesla has acquired land in Shanghai for a megapack battery manufacturing plant with production expected to start in the fourth quarter of 2024,..."
"Judge finds evidence that Tesla, Musk knew about Autopilot defect",21 Nov 2023,"A Florida judge found ""reasonable evidence"" that Tesla Chief Executive Elon Musk and other managers knew the automaker's vehicles had a defective Autopilot..."
Tesla's article-to-Cybertruck delivery ratio currently stands at 219 to 1,1 Dec 2023,Tesla's article-to-Cybertruck delivery ratio currently stands at 219 to 1 · Tesla's article-to-Cybertruck delivery ratio currently stands at 219 to 1 on x (...
Ex-Tesla employee casts doubt on car safety,5 Dec 2023,Ex-Tesla employee casts doubt on car safety ... A former Tesla employee has told the BBC he believes the technology powering the firm's self-driving vehicles is...
Tesla labour dispute triggers Nordic sympathy strikes,7 Dec 2023,"A dispute between Tesla and Sweden's IF Metall has drawn in unions across the Nordics, all urging the electric vehicle (EV) maker to sign a collective..."
"Tesla cuts US prices of Model 3, Y in push to meet delivery goal",6 Oct 2023,"Tesla has cut U.S. prices of its Model 3 compact sedan and the Model Y SUV, ratcheting up its price war just days after the third-quarter deliveries of the..."
Sweden unions to stop picking up Tesla waste in further setback to Elon Musk,13 Dec 2023,The Swedish Transport Workers' union said on Wednesday that its members would stop collecting waste at Tesla workshops on December 24 unless the electric car...
"China's Xiaomi unveils its first EV as it looks to compete with Porsche, Tesla",28 Dec 2023,BEIJING — Chinese consumer electronics company Xiaomi on Thursday detailed plans to enter China's oversaturated electric vehicle market and compete with...
"Starting at $60990, Tesla's Cybertruck is priced 50% higher than initial estimate",30 Nov 2023,"Tesla's long-delayed Cybertruck will be priced starting at $60990, over 50% more than what CEO Elon Musk had touted in 2019 and a cost analysts have said..."
"Tesla shares drop 5% after HSBC initiates coverage, says sell",9 Nov 2023,"Tesla stock fell about 5% on Thursday after HSBC initiated coverage of the company with a price target of $146 per share and a ""reduce"" rating."
Tesla vs. Toyota Is the New Hot Battle in Cars,25 Nov 2023,Elon Musk's all-electric ambition faces renewed embrace of hybrids.
Tesla recalls 120000 vehicles over doors that could unlock in crash,22 Dec 2023,"Tesla is recalling just over 120000 Model S and Model X vehicles in the United States over the risk of doors being unlocked and opening during a crash,..."
Norway union joins Tesla blockade in support for Swedish workers,6 Dec 2023,Norway's largest private sector labour union said on Wednesday it would later this month start blocking transit shipments of Tesla cars meant for the...
"Tesla Is Reportedly Planning To Build A Sub-$27,000 Car At Its Berlin Factory",6 Nov 2023,"Topline. Tesla is planning to build a new electric car model that will be priced at around $25,000 from its factory near Berlin, Reuters reported Monday, making..."
Tesla's Cybertruck - top features and specifications,30 Nov 2023,"BODY. The Cybertruck is the first car in the U.S. since the DMC DeLorean of ""Back to The Future"" fame to use a stainless steel body and it also has armor glass..."
Tesla Recalls More Than 2 Million Cars In U.S. To Fix Autopilot Flaw,13 Dec 2023,Topline. Tesla has recalled more than 2 million vehicles—nearly all the cars it has sold in the U.S. to date—to fix a flaw in its Autopilot system after an...
Tesla blamed drivers for failures of parts it long knew were defective,20 Dec 2023,"Tesla has blamed frequent failures of several parts on Tesla owners, alleging they abused the cars, according to interviews with former service managers,..."
BYD Stock Is a Better Electric-Vehicle Bet Than Tesla. Buy It Now.,22 Dec 2023,"BYD, though, isn't a fly-by-night EV maker. For one, it sells a lot of electric cars—more than Tesla, when you include its plug-in hybrids. It also makes money—..."
Xiaomi SU7 vs Tesla Model 3: Can Xiaomi Trump The Competition With Its Electrifying Sports Sedan?,17 Nov 2023,"The front of the Xiaomi SU7 has a striking resemblance to the McLaren 765LT supercar, especially with its teardrop-shaped headlamps and slim aerodynamic nose."
Tesla faces pressure in Sweden as workers at supplier to strike,15 Nov 2023,"Tesla is facing growing pressure in Sweden from unions backing mechanics demanding a collective bargaining agreement with the U.S. carmaker, with workers at..."
"2019 Tesla Model 3 Maintenance Costs at 41,110 Miles, 4 Years & 4 Months",23 Dec 2023,"2019 Tesla Model 3 Maintenance Costs at 41,110 Miles, 4 Years & 4 Months · So, that mobile service visit brought my long-term cost of maintenance to $2096.86."
Tesla (TSLA) Stock Erases One-Fifth of Value as Demand Woes Intensify,31 Oct 2023,Tesla Inc. shares have wiped out nearly one-fifth of their value in less than two weeks amid growing concerns that demand for electric cars is starting to...
Tesla's Year of Price Cuts Exposes Crisis for Legacy Auto,5 Oct 2023,"Tesla's Year of Price Cuts Exposes Crisis for Legacy Auto. With 61% of electric cars sales in the US, Tesla is now more dominant in EVs than Apple is in..."
Tesla’s (TSLA) Slowing Growth Sends Warning to EV Industry,20 Oct 2023,"Tesla Inc. this week tempered its growth expectations, signaling that pain is coming for the electric-vehicle industry, a Morgan Stanley analyst said on..."
"Tesla stock ends the week down 15%, the worst performance of the year",20 Oct 2023,Tesla stock dropped more than 15% over the last few days to close the week at $211.99 after the company posted third-quarter earnings on Wednesday.
"Elon Musk, Tesla Price Cuts Are a Losing Business Strategy",12 Nov 2023,Elon Musk started a price war that Tesla can't win ... Elon Musk has started an electric-vehicle price war that Tesla can't finish. Under increasing pressure from...
Tesla recalls more than 2m vehicles in US over Autopilot system,13 Dec 2023,Tesla recalls more than 2m vehicles in US over Autopilot system ... Tesla is recalling just over 2m vehicles in the United States fitted with its Autopilot...
Swedish court sides with Tesla over blocked licence plates - Aftonbladet,27 Nov 2023,"A court in Sweden ruled on Monday the country's transport authority must find a way to get licence plates to Tesla that are being blocked by postal workers,..."
Tesla won over fans of electric vehicles. Now Elon Musk and company have a bigger challenge: convincing everyday car buyers,30 Dec 2023,"For its next phase of growth, Tesla has to win over everyday buyers, who primarily select vehicles based on price and ease of use. “When you look at car buying..."
Tesla CEO Elon Musk sounds pessimistic note about economy on earnings call,18 Oct 2023,"Net income for the quarter was $1.85 billion, or 53 cents per share, down from $3.29 billion, or 95 cents a share, a year earlier. Total gross profit declined..."
"India considers lowering duty to woo Elon Musk's Tesla, report says | Mint",13 Nov 2023,"India is considering reducing tariffs on imported electric vehicles, following a request from Tesla. The government is looking at reducing the customs duty..."
Tesla sues Swedish government after postal workers allegedly block license plate deliveries,27 Nov 2023,"Tesla claims the Swedish government has a ""constitutional obligation to provide registration plates to vehicle owners,"" according to the documents. The suit was..."
Tesla launched its own car insurance. These drivers say it's a lemon.,21 Nov 2023,"Tesla Insurance, launched in 2019 by the electric-car company, has promised policyholders “vastly better” service than rivals, as Tesla chief Elon Musk put it..."
Elon Musk’s latest Tesla price cuts ‘to unload inventory’ are good news for car buyers but bad news for investors,9 Oct 2023,"While Tesla's share price was little changed by the cuts last week, the drumbeat of reductions this year has driven a wedge between some investors. Gary Black,..."
Swedish union blocks Tesla components as dispute intensifies,24 Nov 2023,The conflict between Swedish unions and Tesla heated up on Friday as a supplier of critical components joined in a sympathy action to get the electric car...
An abused wife took on Tesla over tracking tech. She lost.,19 Dec 2023,"She told police that her abusive husband, in violation of a restraining order, was stalking and harassing her using the technology in their 2016 Tesla Model X."
Tesla to lose $7500 consumer tax credits for some Model 3 vehicles,13 Dec 2023,Tesla's Model 3 Rear-Wheel Drive and Long Range vehicles will lose an up to $7500 federal tax credit from Dec. 31 based on new guidance under the U.S....
Chinese EV stocks tank after Tesla earnings disappoint,19 Oct 2023,Chinese EV stocks tank after Tesla earnings disappoint · Hong Kong-listed shares of Chinese EV makers plunged Thursday morning after Tesla CEO Elon Musk...
How China's BYD Became Tesla's Biggest Threat,4 Oct 2023,"Wang has said in interviews that the letter combination “BYD” had no specific meaning when he came up with it. Today, the company says BYD stands for “Build..."
Why Rivian Can’t Be the Next Tesla | Mint,8 Nov 2023,"Tesla lost money back then but, unlike today's EV startups, it made a gross profit on each vehicle it sold. Rivian is held back partly by the segment it chose..."
"Electric Vehicle Sales Outlook 2024: Less Bright Due to GM, Ford, Tesla",15 Dec 2023,"EV Sales Outlook Revisions ... BNEF still expects EV sales to grow in the US next year, though at a rate of 32%, slower than the 47% expected for 2023. The..."
Tesla’s China EV sales fall 11%,9 Oct 2023,"Tesla's China EV sales fall 11% · Tesla's China-made EV sales decreased 10.9% year over year for the month of September, according to the China Passenger Car..."
Tesla's Share of US Electric Vehicle Market Slipped to a New Low in Q3,13 Oct 2023,"Key Takeaways · Tesla's share of the U.S. electric vehicle market fell to 50% in the third quarter, down from nearly 65% for the full year in 2022. · Tesla,..."
Musk: Advertising won't work for Tesla until cars are 'more affordable',19 Oct 2023,"Musk: Advertising won't work for Tesla until cars are 'more affordable'. Tesla has embarked on a series of price cuts since the beginning of the year, however..."
Musk: Advertising won't work for Tesla until cars are 'more affordable',19 Oct 2023,"Musk: Advertising won't work for Tesla until cars are 'more affordable'. Tesla has embarked on a series of price cuts since the beginning of the year, however..."
Inside the final seconds of a deadly Tesla Autopilot crash,6 Oct 2023,"A small jolt. Whatever the verdict, the crash that March morning had a shattering effect on the truck driver crossing U.S. 441. The 45-year-old driver — whom..."
Tesla Shares Tumble on Earnings Miss; Musk Says Price Cuts Ineffective Due to High Rates,19 Oct 2023,Key Takeaways · Tesla shares tumbled more than 9% in afternoon trading Thursday after the electric carmaker's lackluster earnings report for the third quarter.
Danish union joins strike action against Tesla by Swedish workers,5 Dec 2023,"Danish union joins strike action against Tesla by Swedish workers ... Denmark's largest trade union has joined strike action by Swedish Tesla workers, piling..."
"Tesla reported 435,059 deliveries for the third quarter, and production of 430,488 vehicles",2 Oct 2023,"Tesla reported 435,059 deliveries for the third quarter, and production of 430,488 vehicles · Tesla just reported third-quarter vehicle production and..."
"Warren Buffett–backed BYD is just over 3,000 cars away from overtaking Tesla as the world’s biggest seller of EVs",3 Oct 2023,"Warren Buffett–backed BYD is just over 3,000 cars away from overtaking Tesla as the world's biggest seller of EVs ... BYD, perhaps Tesla's closest rival, is..."
"Tesla whistleblowers filed a complaint to the SEC in 2021, but the agency never interviewed them. Here's what the complaint said",12 Oct 2023,"The whistleblower complaint says that Tesla has been aware of inconsistencies in how employees treat repairs. During the second half of 2021, Tesla was working..."
Tesla fights $230 million fee sought by attorneys who sued over board pay,13 Oct 2023,Tesla Inc urged a Delaware judge on Friday to reject $230 million in legal fees requested by a team of shareholder attorneys who won a settlement in a...
"As Tesla price cuts concede billions in sales, investors push Elon Musk to finally spend on ads",14 Oct 2023,"Indeed, the average price of most Teslas has fallen about 20% since August 2022, according to Cox Automotive. The figures don't include the restoration of the..."
"Tesla Knew Critical Parts Were Faulty, Investigation Claims",21 Dec 2023,"The investigation by the Reuters news agency says it has unearthed a litany of cases where engineers knew mission-critical parts such as suspension, steering..."
Here's How Much Profit Tesla Makes on Each EV It Manufactures (Spoiler Alert: The Number Is Still Shrinking),22 Oct 2023,"That translates to an average gross profit of $8,431 and an overall net profit of $5,328 (when including Tesla's solar and storage battery businesses, which are..."
Tesla Is Suing Sweden,27 Nov 2023,Unions are boycotting Tesla's business operations in Sweden to pressure it to sign an agreement with its workers. Now Tesla has decided to sue.
Elon Musk's Tesla may launch its most affordable car in India after Germany: Report | Mint,22 Nov 2023,"Though Tesla is yet to make an official announcement on its India foray, the firm is all set to commence imports of some of its models from 2024 onwards."
Charted: Tesla's Global Sales By Model and Year (2016–2023),30 Dec 2023,"The model mix in tesla's global sales numbers has slowly changed from its luxury lineup to cheaper, high-volume cars."
"After Tesla, India will soon have another global electric car maker. What's VinFast planning?",6 Oct 2023,"Going the CKD route, the Vietnamese automaker will bring three models to India to start with, and set up a manufacturing facility in either Gujarat or Tamil..."
Judge finds ‘reasonable evidence’ Tesla knew self-driving tech was defective,22 Nov 2023,A judge has found “reasonable evidence” that Elon Musk and other executives at Tesla knew that the company's self-driving technology was defective but still...
Judge says evidence shows Tesla and Elon Musk knew about flawed autopilot system,23 Nov 2023,"In the decision, a Palm Beach County judge noted Tesla's glowing marketing strategy and Musk's public statements about the self-driving software."
Tesla Stock (TSLA) Beaten by S&P 500 After Joining in 2020,20 Dec 2023,"Tesla Getting Trounced by S&P 500 Three Years After Joining ... Tesla shares closed around $232 on Dec. 18, 2020, the session before the company joined the S&P..."
"Tesla is sending shockwaves through the auto industry as intrigue around its $25,000 'mystery model' continues to build",15 Oct 2023,"The new batteries not only allow Tesla to produce and sell a car for $25,000, but they also likely provide a range of 250-300 miles on a single charge,..."
Tesla Cybertruck: Survey finds that two-thirds of respondents wouldn't buy it,5 Dec 2023,Tesla Cybertruck: Survey finds that two-thirds of respondents wouldn't buy it · Canaccord analyst George Gianarikas says the 33% who indicated they would buy...
Tesla 3Q sales rise 27% but fall short of expectations due softening demand and factory downtime,2 Oct 2023,Tesla's summertime deliveries of electric vehicles surged 27% from last year but still fell below analyst projections as Elon Musk's car company navigated...
Elon Musk’s Tesla union troubles in Scandinavia are escalating rapidly as union boss says his ‘feudal lord’ attitude is ‘just wrong’,8 Dec 2023,Elon Musk's Tesla union troubles in Scandinavia are escalating rapidly as union boss says his 'feudal lord' attitude is 'just wrong'.
"Tesla's Cybertruck feels like an SUV; price, lower driving range upset some",1 Dec 2023,"Starting at $60,990, the Cybertruck is over 50% more expensive than what CEO Elon Musk had touted in 2019. That may narrow the appeal of the vehicle. Tesla's..."
"Tesla drivers had highest accident rate, BMW drivers highest DUI rate, study finds",19 Dec 2023,"Tesla drivers had 24 accidents per 1000 drivers during the period from mid-November 2022 to mid-November 2023, according to a study by Lending Tree."
Elon Musk's Tesla Is Losing EV Race to China's BYD,26 Dec 2023,"Elon Musk once scoffed at the notion that BYD could compete with his company. Now, the automaker run by billionaire Wang Chuanfu is poised to be the new No."
Tesla loses legal action in Sweden as dispute with Nordic unions escalates,7 Dec 2023,Tesla loses legal action in Sweden as dispute with Nordic unions escalates ... Tesla has lost a legal action against Sweden's postal service as a dispute with...
Huawei launches its rival to Tesla’s Model S,10 Nov 2023,Huawei has launched a new electric vehicle that is designed to take on Elon Musk's automaker.
Tesla beats US claim that it fired factory workers amid union campaign,27 Nov 2023,A U.S. labor board has dismissed claims that Tesla Inc illegally fired employees working on Autopilot software at a New York factory to put an end to union...
Tesla about to lose crown to China's BYD startup: Here's where Elon Musk went wrong,27 Dec 2023,China's BYD is almost certain to sell more electric cars worldwide in the final quarter of 2023 and take pole position over Tesla for the first time.
Tesla Model 3 Review 2024,10 Nov 2023,"It certainly looks more sophisticated than the old one, with a subtle nose job up front and a bit of a tweak at the rear. Nothing drastic, but it makes for a..."
Viral: Petrol cars stranded while Tesla EV cruises through deep water without hassle,22 Nov 2023,"As we just saw, the Tesla driver casually crossed the flooded street, almost as if they were on a boat. Now being an electric vehicle, it can operate fully even..."
"Tesla Is Cutting Prices Again, in a Different Way",11 Dec 2023,Tesla stock has weathered the price cuts. Shares started 2023 at about $123 a share. They dropped to almost $100 a share after the disappointing delivery...
Tesla’s Quarterly Profits Plunge 44%,18 Oct 2023,The automaker reported a sharp drop in profits in the third quarter after slashing car prices by around 25 percent in an attempt to compete.
Tesla wins first U.S. Autopilot trial involving fatal crash,31 Oct 2023,"Tesla won the first U.S. trial over allegations that its Autopilot driver assistant feature led to a death, a major victory as it faces several other..."
Teslas are now cheaper than the average new gas-powered car,11 Oct 2023,Teslas are now cheaper than the average new gas-powered car. EVs have hit a tipping point for adoption in the U.S. — and now two models from the market leader...
"Musk's Scandinavian woes deepen as Tesla loses Swedish court case, Finnish union joins port blockade",8 Dec 2023,"Tesla's troubles with labor unions in Scandinavia deepened, as it lost a legal suit against Sweden's postal service and Finland joined a solidarity strike."
Elon Musk reveals Tesla's affordable EV plan: report,6 Nov 2023,"Tesla is planning to build a 25000 euro ($27000) electric car at its Berlin gigafactory, according to a report from Reuters."
Tesla convinces jury its Autopilot wasn’t at fault in first lawsuit blaming a fatality on the technology to go to trial,1 Nov 2023,"Jurors in state court in Riverside, California, on Tuesday sided with Tesla in the first lawsuit blaming a fatality on Autopilot to go to trial. The two..."
Tesla Is Recalling Nearly All Vehicles Sold in US to Fix an Autopilot Fault,13 Dec 2023,"The Tesla recall, which affects more than 2 million vehicles, follows a two-year investigation by the US government into a series of crashes linked to the..."
Elon Musk teases new details about affordable Tesla model coming after Cybertruck,6 Dec 2023,"Elon Musk teases new details about Tesla's cheaper car that's next up after the Cybertruck · The next Tesla after Cybertruck will be more affordable, Musk said."
Elon Musk teases new details about affordable Tesla model coming after Cybertruck,6 Dec 2023,"Elon Musk teases new details about Tesla's cheaper car that's next up after the Cybertruck · The next Tesla after Cybertruck will be more affordable, Musk said."
Tesla production by quarter YTD 2023,16 Oct 2023,"Tesla's vehicle production by quarter YTD Q3 2023 ... Tesla Inc.'s most recent quarterly vehicle production volume came to 430,500 units. Tesla's production level..."
Here are nine of Tesla's greatest hits,27 Dec 2023,Here are nine of Tesla's greatest hits · Tesla Model 3 · Tesla Model Y · Tesla Model X · Tesla Model S Plaid · Tesla Model S Shooting Brake · Tesla Roadster (...
UAW Thinks It Can Beat Elon Musk and Unionize Tesla Workers,2 Nov 2023,"Riding high on historic contract wins against Detroit's automakers, United Auto Workers President Shawn Fain is confident he can take on Tesla Inc. and its..."
Tesla's Sales Slip as It Readies Factories for New Models,2 Oct 2023,"The decline “was caused by planned downtimes for factory upgrades,” Tesla said in a statement on Monday, adding that it still expects to deliver 1.8 million..."
