Headlines,Dates,Descriptions
Tesla Prices To Triple In Denmark As Tax Incentives Are Rolled Back: Will Other Countries Follow?,1 Oct 2015,"Denmark has announced that it intends to eliminate all tax breaks for electric cars – that includes, of course, the venerable Tesla lines. The move will be..."
A Day In The Life Of A Tesla Intern,23 Nov 2015,A Day In The Life Of A Tesla Intern · Eat cereal while trying every different kind of milk available (there were a lot). · Be assigned a new project that needs...
Porsche Is Charging Ahead With Mission E 'Tesla Killer' Electric Car,4 Dec 2015,"Porsche Mission e concept. Even Porsche is gunning for Tesla Motors these days. After floating the Mission E pure electric concept in September, Porsche is..."
Why People Turn Down Jobs At Apple To Work For Tesla,16 Oct 2015,"It is a known fact that Tesla employees work long hours, and don't get paid as well as other tech companies, but they aren't taken advantage of because they..."
15 Things You Should Know Before You Buy A Tesla,4 Nov 2015,You should have a qualified electrician install a NEMA 14-50 outlet in your garage before the car arrives. Charging at 110v is maddeningly slow. Very few people...
Elon Musk shares the miracle that saved Tesla,14 Dec 2015,The Christmas miracle that saved Tesla ... Tesla CEO Elon Musk wasn't always so sure his electric car company would work out. Advertisement. Musk has said several...
Tesla and the future of driving,14 Oct 2015,"Tesla is caught in the middle of a huge debate about the future of driving ... An curved arrow pointing right. ... On Wall Street, there are two big ideas about how..."
"Tesla sells over 3,000 cars in China in nine months",23 Oct 2015,"US electric carmaker Tesla Motors sold more than 3000 cars in China, the world's biggest auto market, in the first nine months of this year, it said Friday."
How Tesla is ushering in the age of the learning car,16 Oct 2015,"Because all of Tesla's cars have an always-on wireless connection, data from driving and using autopilot is collected, sent to the cloud, and analyzed with..."
"Can Tesla downshift from $130,000 SUVs to mass market electric cars?",7 Oct 2015,"But with a $130,000 price tag for the fully loaded version (and a base price of about $80,000), the Model X could end up having an awkward relationship with..."
Tesla now in production at Tilburg for European customers,5 Oct 2015,"Prestige electric vehicle maker, Tesla, has officially opened its assembly plant at Tilburg in The Netherlands – the first such purpose-built facility in..."
Tesla v7.0 update brings autopilot to Model S,12 Oct 2015,Tesla v7.0 update brings autopilot to Model S ... Tesla has released an update for the Model S that brings an important new feature: autopilot. Autopilot on the...
Wall Street is deeply confused about Tesla,7 Nov 2015,The confusion is palpable. No one on Wall Street who covers Tesla can really generate an investment thesis that grounded in where the company is right now.
So how much would buying a Tesla really cost you?,10 Oct 2015,"But it's important to remember that there is no 36 percent tax credit on the $75,000 Tesla price tag. Tesla still estimates that a Louisiana buyer will save up..."
"For Electric Cars, China Becoming Major Market For The Poor Man's Tesla",7 Dec 2015,"A BYD e6 model taxi in Hong Kong. The city has a fleet of e6's. Shanghai police also have BYDs, but despite the government contracts, some investors wary of..."
Tesla v7.0 update brings autopilot to Model S,12 Oct 2015,Tesla v7.0 update brings autopilot to Model S ... Tesla has released an update for the Model S that brings an important new feature: autopilot. Autopilot on the...
Wall Street is deeply confused about Tesla,7 Nov 2015,The confusion is palpable. No one on Wall Street who covers Tesla can really generate an investment thesis that grounded in where the company is right now.
So how much would buying a Tesla really cost you?,10 Oct 2015,"But it's important to remember that there is no 36 percent tax credit on the $75,000 Tesla price tag. Tesla still estimates that a Louisiana buyer will save up..."
"For Electric Cars, China Becoming Major Market For The Poor Man's Tesla",7 Dec 2015,"A BYD e6 model taxi in Hong Kong. The city has a fleet of e6's. Shanghai police also have BYDs, but despite the government contracts, some investors wary of..."
"After The Tesla Model X, The Model Y?",6 Oct 2015,"Model X. After the X, a cheaper Y? After X comes Y. That's according to a tweet from Tesla Motors CEO Elon Musk, as reported by TechInsider."
Tesla Model X Launch Is Biggest Risk Factor For Fourth Quarter,3 Nov 2015,"By moving production of problematic seats in-house, Tesla hopes to speed up the launch of the new Model X."
Tesla just transformed the Model S into a nearly driverless car,14 Oct 2015,"How it works: Designed to assist with highway driving, autosteer keeps the Model S in lane, even as the road curves. The driver can turn on the feature when the..."
Tesla's Powerwall to flow batteries: a guide to the energy storage revolution,27 Oct 2015,Primus Power has developed a flow battery that is quite different from conventional designs. It uses one tank instead of two for holding the energy storing...
Report: Tesla Delivered a Ton of Cars in Latest Quarter,31 Dec 2015,"Not only will Tesla meet its annual shipment expectations, but it will hit the high end of that target, according to one report."
Tesla hits the gas on self-driving car tech,20 Nov 2015,"After launching a software update for its Model S electric cars that gave it self-driving capabilities in “beta”, the Tesla chief executive, Elon Musk, took to..."
Tesla is not like Ferrari,24 Oct 2015,"Tesla is a luxury carmaker that wants to chase the Fords and Toyotas of the world. Ferrari, meanwhile, wants to avoid becoming a mass-market brand at all costs."
Google Poaches Self-Driving Car Specialist From Tesla,30 Nov 2015,"Google has hired Tesla engineer Robert Rose, who was responsible for Google's self-driving car technology, according to a report."
The Model X has a crucial role to play for Tesla's future,24 Dec 2015,"The exotic falcon-wing rear doors, a source of much prelaunch speculation (Would they work? Would they delay the car?) were far more exciting than expected:..."
Tesla Model 3 aims for drag coefficient below 0.20,17 Nov 2015,"Elon Musk is apparently pushing engineers to make the car have a ""drag coefficient"" (the way the car passes through the surrounding air, which impacts speed and..."
"Tesla unveils autopilot system, but comes with caution notice",15 Oct 2015,"Instructions to owners say “autosteer is a hands-on feature. You must keep your hands on the steering wheel at all times.” Tesla,..."
"Interview: Simon Sproule On Integration, His Tesla Exit, WPP And More",18 Nov 2015,"Aston Martin's marketing and communications chief tells us why integration is so hard, and explains his decision to leave Tesla after just 8 months. ... It has..."
Hong Kong Regulators Stall Tesla's New Features,19 Nov 2015,"The city's Transport Department said Tesla's Autopilot features, downloaded via an Internet connection to its electric cars, may not meet regulations and need..."
Tesla Model S Gets Recall Over Seat Belt Isssue | TIME,20 Nov 2015,"The recall, which affects 90,000 vehicles, was issued after a European customer reported two weeks ago reported that her seat belt had come unfastened as she..."
"What the legendary Clayton Christensen gets wrong about Uber, Tesla and disruptive innovation",23 Nov 2015,"Christensen says that Uber and Tesla Motors aren't genuinely disruptive, not fitting the tenets of his theory of disruptive innovation. In that, the competition..."
NVIDIA Announces Tesla M40 & M4 Server Cards - Data Center Machine Learning,10 Nov 2015,Slowly but steadily NVIDIA has been rotating in Maxwell GPUs into the company's lineup of Tesla server cards. Though Maxwell is not well-suited towards the...
Tesla Model S Gets Recall Over Seat Belt Isssue | TIME,20 Nov 2015,"The recall, which affects 90,000 vehicles, was issued after a European customer reported two weeks ago reported that her seat belt had come unfastened as she..."
"What the legendary Clayton Christensen gets wrong about Uber, Tesla and disruptive innovation",23 Nov 2015,"Christensen says that Uber and Tesla Motors aren't genuinely disruptive, not fitting the tenets of his theory of disruptive innovation. In that, the competition..."
NVIDIA Announces Tesla M40 & M4 Server Cards - Data Center Machine Learning,10 Nov 2015,Slowly but steadily NVIDIA has been rotating in Maxwell GPUs into the company's lineup of Tesla server cards. Though Maxwell is not well-suited towards the...
Elon Musk: Here’s why we call Apple the ‘Tesla graveyard’,17 Oct 2015,The Tesla chief says in a German interview that Apple isn't hiring away important engineers from the electric-car maker — it's picking up its rejects.
Tesla Starts Shipping “Signature Series” Model X Cars To Customers,28 Dec 2015,The “Signature Series” of the Model X is a limited-edition version for early reservation holders that comes “fully loaded” with all of the cars bells and...
Car Buffs Don't All Dislike Tesla - They Just Have Different Priorities,16 Oct 2015,"Not all enthusiasts hate Tesla. I certainly don't hate Tesla and I absolutely count myself among the ranks of gear-heads. However, just as drivers of so-called..."
Porsche's Electric Mission E Is Poised to Whoop Tesla's Model S,4 Dec 2015,"In September, Porsche showed off the Mission E, a fully electric and fully beautiful concept made to dethrone Tesla motors as the EV industry's king of cool..."
"Tesla unveils Model X, the world's first luxury electric SUV",1 Oct 2015,"On Tuesday, Tesla unveiled its highly anticipated Model X, the world's first luxury electric sports-utility vehicle. The sleek SUV—which costs around..."
Gigafactory lands on Tesla's fast track to Big Battery era,16 Nov 2015,"The Gigafactory is Tesla's $5 billion, 10-million-square-foot industrial plant under construction east of Reno. It's the world's largest investment in the mass..."
Tesla is 'ramping up' its efforts to build a self-driving car,20 Nov 2015,"Tesla is looking for ""hardcore engineers"" to speed up the development of its self-driving cars."
Unilever and Tesla top list of companies leading the fight on climate change – survey,12 Nov 2015,Unilever and Tesla top list of companies leading the fight on climate change – survey ... Businesses can add another item to their corporate bucket lists: taking...
PICTURES: Estonian designer suggests estate version for Tesla,16 Dec 2015,"An aspiring Estonian designer, Rain Prisk, has designed an estate version of Tesla Model S as well as proposing estate models for other famous car marks."
Tesla unveils Model X electric SUV set to deliver in 2016,1 Oct 2015,"Tesla has showed off its long-awaited Model X electric sports-utility vehicle (SUV), offering a family-friendly seven seats coupled with 762HP and a..."
Tesla is selling iPhone cases made from leftover seat leather,11 Dec 2015,"Yes, for $45, Tesla will let you wrap your iPhone 6 or 6 Plus with leather that was originally supposed to pad your bottom. (Or your back, I guess.) That's..."
Everything Tesla promises to accomplish by 2020,24 Dec 2015,Everything Tesla promises to accomplish by 2020 ... Elon Musk's plans for Tesla Motors over the the next four years are nothing short of ambitious. Advertisement.
Porsche's Tesla Model S killer is officially on the way,4 Dec 2015,Porsche's Tesla killer is officially on the way ... Porsche has given the green light to the production of a high-performance electric car based on the Mission E...
"Elon Musk takes a jab at Apple, says it only hires people Tesla fires",9 Oct 2015,"""Did you ever take a look at the Apple Watch? (laughs) No, seriously: It's good that Apple is moving and investing in this direction,"" he said. ""But cars are..."
Obviously Drivers Are Already Abusing Tesla's Autopilot,22 Oct 2015,"These three aren't the only people pushing the system's limits. Tesla owners already are posting videos of themselves driving with theirs hands off the wheel,..."
Tesla Adds High-Speed Autonomous Driving to Its Bag of Tricks (Published 2015),15 Oct 2015,"The updated Tesla, an already high-tech electric car that starts at about $75,000, was equipped with what the company calls Autopilot — a semiautonomous feature..."
Tesla Is Changing Its Autopilot System Because People Are Being Stupid With It,4 Nov 2015,The main man behind Tesla has said that measures will be taken to stop people acting like idiots when using the car's Autopilot system.
Elon Musk Explains What Happens When A Tesla Crashes,7 Nov 2015,"Elon Musk, CEO of Tesla, explains how the company's electric cars keep people safe in the event of a crash, even when not in autopilot mode."
Tesla to fight Denmark's new tax on electric cars,12 Oct 2015,"According to the Tax Ministry's calculations, while the Tesla S P85D will more than double in price, the effect on other models will be less extreme. The Nissan..."
DRIVEN: Tesla Model S 85 - exclusive first-drive report - paultan.org,27 Dec 2015,"The base 362 hp variant is equipped with an 85 kWh battery, which offers up to 426 km of travel on a single charge. The S 85 will come with a single 10 kW..."
"Elon Musk Says Never Mind the Hiccups, Tesla Is on Track (Published 2015)",3 Nov 2015,"Elon Musk Says Never Mind the Hiccups, Tesla Is on Track ... Tesla Motors on Tuesday sought to reassure investors and its devoted fans that it was still on track..."
GALLERY: Tesla Model S in Malaysia - first impressions,21 Oct 2015,The great thing about this car is you do not feel that there is any torque steer and you do not feel any gear delay starting from a dead stop. The car just...
The Tesla Model S is a masterpiece of design,5 Nov 2015,"The Tesla Model S hit the market in 2012. It was Tesla's first car built truly in-house, and it has been steadily improved over the past three years."
Tesla Releasing Autopilot Software for Model S Cars,14 Oct 2015,"Tesla's software, announced earlier this year, will allow hands- and feet-free driving in everything from stop-and-go traffic to highway speeds, and enables a..."
Tesla prices novel Model X SUV at $80000,23 Nov 2015,The novel crossover is base priced at $5000 more than the Model S sedan.
Tesla Model S 85 - first two cars on way in to Malaysia - paultan.org,3 Oct 2015,"On hand to receive the cars, both Model S 85 versions, was GreenTech Malaysia VP Mohamed Azrin Mohamed Ali. The cars – which were ordered in August – are on..."
Giving Thanks to the Tesla Village,26 Nov 2015,"They say it takes a village to raise a child. I say it takes a village to raise a young car company. A village to handle advertising for the company,..."
Tesla rolls out autopilot mode on Model S,15 Oct 2015,"When the mode is active, the car is able to follow lanes on large roads and adjust its speed in order to keep pace with other cars. As well, when a driver..."
Research and Markets: Overview of Tesla Motors' Operations in the EV Industry,4 Nov 2015,Tesla Motors has changed the outlook of the automotive industry by introducing innovative business models giving it a competitive advantage over its competitors...
Hands off! The self-driving Tesla Model S is here,14 Oct 2015,"Get ready for the age of the self-driving Tesla. Speaking at a press conference in the US today, Tesla boss Elon Musk announced a new software update to its..."
Porsche “Tesla Killer” Gets Green Light,4 Dec 2015,"Porsche claims the 600 horsepower, all-wheel drive Mission E will go from zero to 60 in less than 3.5 seconds, have a range of 312 miles and charge to 80..."
"Bob Lutz, 'Father' of Chevy Volt, On Tesla: 'Trifecta Of Doom'",27 Oct 2015,"Former GM vice chairman Bob Lutz. (Credit: Lutz Communications) Tesla Motors is on the brink, according to the man behind the Chevrolet Volt."
Why Tesla’s Autopilot and Google’s car are entirely different animals,28 Oct 2015,"by Brad Templeton, Robocars.com. 28 October 2015. share this: Google_Tesla_robocar_ In the buzz over the Tesla autopilot update, a lot of commentary has..."
Tesla Sets $81200 Price for Base Model X SUV,23 Nov 2015,"Tesla Sets $81,200 Price for Base Model X SUV · Sign In to Follow. Please sign in to finish creating your follow alert. Sign In."
What happens when the Tesla Model S starts to look old?,16 Oct 2015,"Share this story ... By the standards and traditions of a normal car company, Tesla's Model S sedan is now middle-aged: the first delivery took place in mid-2012,..."
Tesla Model X hints at a driverless taxi,12 Oct 2015,"Elon Musk recently unveiled Tesla's newest car, the Model X. Advertisement. The Model X looks like a great car. But while Tesla didn't advertise it as such,..."
Test racetrack dipole magnet produces record 16 tesla field,27 Nov 2015,Test racetrack dipole magnet produces record 16 tesla field ... A new world record has been broken by the CERN magnet group when their racetrack test magnet...
Tesla Model X SUV puts a charge in company's third-quarter sales,3 Nov 2015,"Tesla announces it delivered slightly more vehicles in the quarter than it estimated, prompting a jump in share price in after-hours trading."
Welcome to the self-driving car revolution: Tesla releases Autopilot patch,15 Oct 2015,"This is the first time a production car has been able to stay in the lane by itself, adjust speed, and brake automatically on its own without driver..."
China Auto Giant's Tesla Dreams Are Hard to Fathom,8 Nov 2015,China Auto Giant's Tesla Dreams Are Hard to Fathom · Sign In to Follow. Please sign in to finish creating your follow alert. Sign In.
We drove Tesla's new Model X Finalist,20 Dec 2015,The Tesla Model X crossover is one of the most eagerly awaited cars in recent memory.
Multi-contrast submillimetric 3 Tesla hippocampal subfield segmentation protocol and dataset | Scientific Data,10 Nov 2015,The hippocampus is composed of distinct anatomical subregions that participate in multiple cognitive processes and are differentially affected in prevalent...
Musk hints Tesla may enter ride-sharing,13 Nov 2015,"During Tesla's third-quarter earnings conference call, Musk was asked if the company was planning to get into an Uber-like business."
Could Tesla's Model X drive us towards electric cars for all?,12 Oct 2015,The launch of Tesla's long-awaited Model X electric car has received the sort of adulation that we've come to expect of new products from Apple.
Tesla Model X pricing,24 Nov 2015,"There are three different versions available: 70D (70 kWh battery), 90D (90 kWh battery), and P90D. The most affordable version is the Model X 70D, which has a..."
Chinese Billionaire's Tesla Rival Sets Up Shop in Elon Musk's Backyard,11 Dec 2015,"Faraday Future, an upstart electric-car company backed by a Chinese billionaire, is further inching into Tesla Motors' territory, announcing Thursday that..."
Consumer Reports pulls recommendation of the heavily hyped Tesla Model S,20 Oct 2015,The ratings giant once gave the all-electric Model S a staggering 103 out of 100. Now it's yanking its endorsement due to drivers' reliability woes.
We tried Tesla's Autopilot system,15 Oct 2015,"We tried Tesla's incredible self-driving Autopilot system ... This week, Tesla rolled its new Version 7.0 software. A major part of the company's latest update is..."
"In Hong Kong's luxury car market, a Tesla is cheap",26 Nov 2015,"In Hong Kong's luxury car market, a Tesla is cheap. Clean cars for a dirty city. ... With its narrow streets, dense population, and tiny residential spaces, Hong..."
Tesla had so much trouble with the Model X seats that it's going to make them itself,3 Nov 2015,Model S production and deliveries are on track to achieve our initial Q4 plan. The primary limiting factor to higher Q4 deliveries is the near term ramp of...
"Someone Called The Police On This Tesla-Owning Family, Thinking They'd ""Put A Child In The Trunk""",10 Nov 2015,"Not many people know the Tesla Model S has the option of a set of rear-facing child seats in the boot, something which can clearly lead to confusion..."
Free Spotify for Tesla Model S owners,22 Dec 2015,Tesla is giving Model S owners free Spotify Premium in their cars.
Driver Videos Push Tesla's 'Autopilot' to Its Limits,25 Oct 2015,bills its new Autopilot system as a safety feature and an important steppingstone to driverless cars. But Model S owners are doing their best to poke holes...
Tesla Unveils the Model X,6 Oct 2015,"After months of teasing, Tesla officially pulled the cover off of its first crossover, the Model X, this week at a special event near its assembly plant in..."
Tesla Hires Google VP Of Finance Jason Wheeler As New CFO,3 Nov 2015,"After earnings today, Tesla made a couple of executive announcements. First, it has named a new CFO, Jason Wheeler. Wheeler spent 13 years at Google as."
Tesla's Elon Musk slams Apple's electric car ambitions and watch design,14 Oct 2015,"Share: ... Elon Musk, the billionaire founder of electric car brand Tesla, has belittled Apple's reported plan to create an electric car and described the tech..."
"The Tesla Model S can now drive, park and brake without relying on a human driver",15 Oct 2015,"News ... Tesla is finally rolling out the long-awaited “self-driving” update for the Model S software today (15 October), giving the electric vehicles the ability..."
Tesla is 'ramping up' its efforts to build a self-driving car,20 Nov 2015,"Tesla is looking for ""hardcore engineers"" to speed up the development of its self-driving cars."
The next Tesla could have an extremely futuristic design like these cars,17 Nov 2015,"The next Tesla could have an extremely futuristic design like these cars · The Volkswagen XL1, a diesel plug-in hybrid, which first came out in 2013, has a drag..."
Australia's answer to Tesla: Indigenous firm AllGrid shines in solar battery industry,25 Dec 2015,"Australia's answer to Tesla: Indigenous firm AllGrid shines in solar battery industry ... AllGrid Energy, an Indigenous-owned company has emerged as a hopeful..."
The self-driving Tesla has arrived - Cars,14 Oct 2015,"Come Thursday morning, thousands of Tesla electric cars already sitting in garages and driveways will abruptly gain the ability to drive themselves."
Tesla Motors celebrates Christmas with Model X SUV light show | The Independent,24 Dec 2015,"The video, which is set to the Trans-Siberian Orchestra's dramatic Wizards in Winter, features three of the company's new Model X SUVs taking part in the..."
Nvidia Brings Maxwell GPUs To Tesla Coprocessors,10 Nov 2015,Nvidia Brings Maxwell GPUs To Tesla Coprocessors ... The progression in performance per watt for Nvidia's Tesla line of GPU coprocessors is continuing apace now...
Reliability problems push Consumer Reports to pull Tesla recommendation,20 Oct 2015,"Investors are not so worried about the Model S, or the Model X, its electric crossover sibling that is just now going into production — slowly — after two years..."
Tesla Cars Become Autonomous Overnight,15 Oct 2015,"That's right, owners of Tesla Model S and Model X electric vehicles woke up today to cars suddenly empowered to drive themselves down the road. The company's..."
Stolen Tesla Model S retrieved using smartphone app,3 Nov 2015,The car was stolen because the Pinkowskis had accidentally left an extra wireless key fob inside the parked Model S. New-car technology was thus responsible for...
Watch This Person Do Something Very Dangerous With Tesla Autopilot,9 Nov 2015,A person recorded a video of a Tesla on autopilot driving down a Dutch highway.
Battery Technology Powers Tesla's Moat | ARK Research,27 Oct 2015,"The partnership is reminiscent of Tesla's partnership with Panasonic, and ARK believes that LG Chem has the potential to deliver lithium-ion pouch batteries at..."
Self-driving cars ahead of schedule,28 Nov 2015,"Every Autopilot-enabled Tesla is already feeding data back to the mother ship, providing a basis for tweaking the technology for future updates. Tesla's..."
Warning signs for Tesla as 'maladies' undermine Model reputation,24 Oct 2015,"Tesla's situation has not been helped by the low oil price, which has resulted in cheaper petrol across the country. Model S sales have disappointed,..."
Tesla's Christmas video showcases Model X falcon wing doors,24 Dec 2015,"Tesla doesn't spend money on ads, but that doesn't mean the company won't share a short promotional video or two, especially around the holidays."
Tesla's Elon Musk says transition from fossil fuels inevitable,2 Dec 2015,"The switch from fossil fuels to sustainable energies such as wind and solar is inevitable, and the transition could happen within two decades depending on..."
"Tesla vs. Edison: Why Edison Is Revered, While Tesla Is Still a Relative Unknown",10 Oct 2015,"In fact, Thomas Edison's name is on 1,093 U.S. patents, while Tesla has just more than 300 patents to his name. However, that's somewhat due to the fact that..."
Driving (or kind of not driving) a Tesla Model S with Autopilot,14 Oct 2015,"Tesla's Autopilot update will handle radar-guided cruise control that can bring the car to a complete stop, line guidance that will steer to keep the car in a..."
What Jim Chanos gets wrong about Tesla,12 Oct 2015,"Tesla's market cap is lofty by comparison with just about any traditional car maker. On this point, Chanos is joining the bandwagon of analysts and investors..."
Why Tesla's Long-Term Vision Ensures That It Will Always Overpromise and Underdeliver,12 Oct 2015,"Ultimately, Tesla is a company constructed out of a vision: change the world. Replace fossil-fuel-powered transportation with clean vehicles. You might be..."
People doing 'crazy things' with Tesla's autopilot are spoiling it for everybody,5 Nov 2015,People doing 'crazy things' with Tesla's autopilot are spoiling it for everybody ... Tesla chief executive Elon Musk is warning that some new limits may be coming...
'Consumer Reports' yanks Tesla recommendation,20 Oct 2015,"The magazine gives a ""worse than average"" rating to the electric sedan."
Why two-thirds of early Tesla Model S motors will need replacing by 60000 miles,11 Dec 2015,"Early Tesla Model S motors have had reliability issues. Now, a new analysis of data provided to Plug-In America by 327 owners of early Tesla Model S cars..."
obscura digital tweaks tesla with gadgets for displaying environmental injustices,5 Dec 2015,"the modified tesla 'model s' by obscura digital integrates a high-powered projector, a carbon dioxide camera and an electroluminescent paint job."
Watch out Tesla: the all-electric Nissan GT-R could be coming,16 Oct 2015,Watch out Tesla: the all-electric Nissan GT-R could be coming ... Turn on Javascript to see all the available pictures. ... We know the next Nissan GT-R will...
Drivers are being idiots with Tesla's new autopilot features,22 Oct 2015,"Tesla's new autopilot features, which offer a basic autonomous driving feature that can change lanes, follow other cars and react to trouble, rolled out to..."
Renault to develop high-performance Tesla rival? - paultan.org,6 Nov 2015,"Renault could be looking to develop a high-performance, all-electric vehicle in the future, based on the technological experience it gains from the ongoing..."
Tesla Autopilot Videos Record Near-Misses,19 Oct 2015,"Autopilot allows the Model S to drive itself on freeways, automatically change lanes and parallel park without intervention from the driver. It works by..."
Tesla's Roadster Motor Technology - News,31 Oct 2015,"Tesla's innovative engineers decided to power the Roadster by utilizing stacks of patterned metal plates and wrapped wires to generate an electromagnetic field,..."
Tesla proactively recalling 90000 Model S cars because of a single fault,20 Nov 2015,"That spirit was on display when Tesla issued a recall for all 90,000 Model S electric vehicles (EVs) based on the report of a single faulty car in Europe."
Tesla Employee Saved 5 Months of Rent,16 Nov 2015,"A 24-year-old Tesla engineer lived in a van for 5 months and paid off his $14,000 of student loans ... Our experts choose the best products and services to help..."
Here’s How Much a Tesla Model X Will Cost You,24 Nov 2015,"Tesla's new Model X SUV finally has a price, and it starts at $80000."
Tesla recalls all Model S cars to fix seat belt issue,20 Nov 2015,"The company will inspect the Model S for free to ensure the seat belts are safe and will deliver a fix if necessary, though it noted that after examining 3,000..."
Tesla takes the wheel: driving a Model S hands-free,14 Oct 2015,"While the new Autopark does exactly what you would expect, Autosteer is a bit more ambitious. With it, you're supposed to be able to go for miles on the open..."
Why PM Narendra Modi visited Tesla Motors headquarters,6 Oct 2015,The pace at which solar technology is advancing now a hundred percent of the world's energy needs can be met by solar in 14 years ... Prime Minister Narendra Modi...
Fading Reno places big bet on 'the Tesla effect',19 Nov 2015,"The casino operator took full ownership of the Eldorado, Silver Legacy and Circus Circus, buying out shares held by MGM Resorts International. ""Reno's on a..."
"Tesla's Cars Now Drive Themselves, Kinda",14 Oct 2015,"Tesla's Cars Now Drive Themselves, Kinda. Autopilot is here, and it's an exciting precursor to autonomous driving. ... Tonight, Tesla makes its cars autonomous."
Elon Musk wants Tesla's electric motors to last forever,16 Nov 2015,Elon Musk wants Tesla's electric motors to last forever ... Wear and tear is an unavoidable part of the car ownership experience. That's the case even with...
Tesla beams down 'autopilot' mode to Model S,14 Oct 2015,"Tesla Motors, in its most ambitious step toward self-driving cars, is rolling out a long-awaited software package called Autopilot for its Model S sedan,..."
Tesla Easter Egg Reveals ‘The Meaning of Life’,19 Oct 2015,Unlocking the '42' Tesla Easter Egg. Tapping the “T” located towards the top center of the main 17″ touchscreen will reveal the 'About Your Tesla' screen. This...
The Tesla Model S is a quiet masterpiece of technology and design,5 Nov 2015,"The Tesla Model S hit the market in 2012, succeeding Tesla's sexy 2-door Roadster. It was Tesla's..."
"Tesla's cheapest Model X is priced at $80,000",23 Nov 2015,"If you don't mind waiting on delivery, the Tesla Model X is now on sale to the public. Like the Model S before it, there's three different versions to..."
Tesla Will Unveil Its Most Affordable Car To Date In March 2016,3 Nov 2015,"Earlier this year, Tesla CEO Elon Musk mentioned that the company intended to show off the Model 3 — its most affordable car to date by far, at $35000 — in..."
Tesla Powerwall Powers Up Home Battery Market,3 Dec 2015,"Tesla Motors (TSLA) gained a toehold in the home Thursday, moving beyond the garage, as Vermont's Green Mountain Power became the first utility to offer..."
Is the Tesla Model X the coolest SUV ever built?,1 Oct 2015,"Tesla Motors delivered the first of its long-awaited Model X electric sports-utility vehicles on Tuesday, a product investors are counting on to make the..."
Meet the Companies Building Self-Driving Cars for Google and Tesla (And Maybe Apple),27 Oct 2015,"Tesla and Google purchase from Nvidia, as does Delphi, a global auto supplier that has its own autonomous vehicles on public roads. Nvidia would not comment..."
Watch This Self-Steering Tesla Model S Drive Itself (And Us) Down The Highway,14 Oct 2015,"Later this week, the first of those features will hit Tesla's fleet — but we've already taken them for a spin. We went hands-on (hands-off?) with a pre-release..."
Tesla Version 7.0 Software Update Activates First Autopilot Features,15 Oct 2015,Tesla Motors [NSDQ:TSLA] has been teasing Model S owners with its planned Autopilot autonomous driving system for quite some time now.
"Tesla enables Autosteer, other autonomous tweaks, in its Model S",15 Oct 2015,"Tesla today released a software upgrade for its Model S sedans that enables automated driving features such as automatic steering, lane keeping and even an..."
