Headlines,Dates,Descriptions
Review: 2010 Tesla Roadster Sport,28 Jul 2010,"twisties, but was never objectionable. The suspension travel is very short, and small road bumps made the car thud loud enough that I wondered if I broke..."
Why Is Tesla's Stock Deflating After Only Two Days?,1 Jul 2010,Good news for those of you who shorted Tesla Motors' stock: the electric car company's shares are already falling in price as the zeal around its $226...
Elon Musk's Financial Car Wreck,28 May 2010,The Tesla founder's money troubles are a reminder that it's not easy to get into the car business.
Tesla Makes First Appearance in Madrid,19 May 2010,"The 2010 Madrid Motor Show which opens on May 20 will be host, for the first time, of Tesla Motors - manufacturer of the electric Roadster and, soon,..."
Tesla Roadster 2.5: Electric sports car upgraded,8 Jul 2010,"The Tesla Roadster recently topped our list of the best electric cars, but Tesla isn't resting on its laurels. The company's brand new 2.5 edition boasts..."
Tesla Motors faces rough road in the electric-car business,4 Jul 2010,"Regardless of its long-term future, Tesla faces unique challenges as it moves into the uncharted waters of the budding electric-vehicle industry. It must build..."
Tesla Building Next-Gen Roadster Completely In-House,30 Jun 2010,"The current Tesla Roadster is based on a Lotus Elise/Exige 'glider', which is essentially a rolling chassis delivered to Tesla's Californian facilities from..."
"Walking reduces Alzheimer's progression, 1.5-tesla MRI shows",28 Nov 2010,"CHICAGO - With the help of 1.5-tesla MRI, researchers at the University of Pittsburgh have found that walking 5 miles per week helps reduce the progression..."
Tesla Chances Efforts With Toyota (TM),20 May 2010,"In the past, securing Toyota Motor Corporation (NYSE: TM) as a partner and investor would have been a score for Tesla Motors. The reality is that it still..."
Toyota's investment to help Tesla IPO,23 May 2010,NEW YORK -- Toyota's $50 million investment in electric car start-up Tesla Motors Inc. will help Tesla's already-bright prospect for its initial public...
Tesla paid only $42 million for Nummi plant,28 May 2010,"It turns out to be $42 million. Tesla, which makes luxury electric cars, reported the price Thursday in a filing with the Securities and..."
Racer Or Commuter? Just What IS The 2011 Tesla Roadster Sport 2.5?,22 Oct 2010,If you regularly read AllCarsElectric you'll know that last weekend we were lucky enough to borrow a Lightning Green example of Tesla's latest incarnation...
Brabus Unveils New Tesla Roadster Sport Green Package,8 Dec 2010,The German nutters at Brabus were the first to the scene with a tuned EV when they brought out the Brabus Tesla Roadster at the Essen Motor Show in 2008.
Tesla Raises $226 Million Through IPO,29 Jun 2010,"Tesla Raises $226 Million Through IPO ... Tesla has become the first American car company to go public in 54 years, and has raised some $226 million in the..."
Tesla's Open House,14 Oct 2010,"Appearing to be about the size of a 4 x 8 sheet of plywood and roughly 4 1/2 inches thick (with the corners scalloped off), the battery's structural encasement,..."
Tesla Reveals New Models in IPO Filing,24 Jun 2010,The anticipated initial public offering (IPO) to be made by American EV manufacturer Tesla Motors as soon as next week has been the perfect opportunity for...
"Tesla/PayPal Founder Elon Musk Defends His Finances, Personal Life",9 Jul 2010,"Some background: Elon Musk founded both PayPal and Tesla, the former of which was a massive financial windfall. The entrepreneur is also a major player in..."
Tesla Roadster version 2.5 (photos),1 Jul 2010,"As we rooted around the cabin, we noticed a cleverly integrated Apple 30-pin dock connector for connecting iPod and iPhone's to the car's audio system."
"Tesla Opens Showroom in Copenhagen, Gets Ready for First IPO",29 Jun 2010,"Tesla Opens Showroom in Copenhagen, Gets Ready for First IPO."
"If Musk Ever Leaves Tesla, Daimler Will Help Choose New CEO",1 Jun 2010,What would happen if the charismatic CEO responsible for the 2009 Tesla Roadster -- the most sexy electric sports car to hit the roads of the U.S. this...
Tesla and Toyota Partner to Build Electric RAV4,16 Jul 2010,The vehicles will use a Tesla electric drivetrain in the RAV4 body.
"Tesla Motors stock falls below initial public offering price - Jul. 7, 2010",7 Jul 2010,"The electric car maker raised $266 million through its June 29, IPO, which put a $17 price tag on shares. And investors snapped up the stock, sending shares up..."
"Tesla IPO has investors giddy but auto experts wary - Jun. 28, 2010",28 Jun 2010,"By Tesla's own admission, the Model S has just one operable prototype, no final design or manufacturing process. The company also has not completed its purchase..."
"TSLA: Tesla IPO has investors giddy but auto experts wary - Jun. 29, 2010",29 Jun 2010,"Welcome TSLA: Tesla Motors raises $266 million in IPO ... NEW YORK (CNNMoney.com) -- Investors snapped up shares of Tesla Motors public debut on Tuesday, which..."
Tesla Model S: The battery pack,6 Oct 2010,"Tesla has not specified how much the Model S' battery pack weighs, but it looked bigger than that in the Roadster, which comes in at close to 1,000 pounds. To..."
Is Elon Musk the Bill Gates of Green?,28 May 2010,"Tesla Motors could have gone one of two ways as a company. Microsoft or MicroUnity. You, of course, know the Microsoft story. Bill Gates and Paul Allen..."
Tesla’s stock plunges,27 Dec 2010,Two main factors weighed down the stock: a Wall Street analyst who slapped a “sell” rating on it as well as concerns that the expiration Monday of a six-month...
Tesla opens doors to electric auto factory (photos),28 Oct 2010,"Tesla Motors officially reopens the former NUMMI auto plant in the Bay Area, where they will soon begin manufacturing the Model S."
Tesla faces many challenges,30 Jun 2010,Share this: · 1. Limited experience in car-building · 2. Auto industry sales still down · 3. Better batteries needed to extend driving range · 4. Still needs a...
"Toyota, Tesla Resurrect the Electric RAV4",16 Jul 2010,"Toyota and Tesla Motors are going back to the future to update the RAV4 EV, essentially resurrecting an excellent electric vehicle the Japanese company..."
"Spotlight on recycling used electric car batteries for GM, Nissan, Tesla",21 Sept 2010,"Electric cars may be coming out in force come December, but the spotlight – and investment — is now on how its batteries will be resold and recycled several..."
Hybrid cars? OK. All-electric Tesla? An eco-thriller!,15 Nov 2010,"Hybrid cars still hold onto the combustion past, but the Tesla shows how all-electric cars can be a sporty and eco-friendly alternative."
"Tesla Partners with Toyota, Will Build Electric Vehicles at NUMMI Plant in California",21 May 2010,"Tesla Motors has partnered with Toyota and will begin building electric vehicles in the latter's NUMMI factory in Fremont, California. The 5.3-million square-..."
Tesla Roadster Racer,1 Dec 2010,"This year's edition of the Race of Champions marked the debut of a racing incarnation of the Tesla Roadster. The vehicle entered our world at full throttle,..."
VantagePoint's Alan Salzman on Tesla and how VCs should think green,30 Jun 2010,"As you can imagine, he was pretty pleased yesterday, watching Tesla's stock close 40.5 percent above its initial pricing of $17. His firm offered 238,748 of its..."
Peugeot EX1 electric concept car scares the merde out of Tesla,22 Sept 2010,"French carmaker Peugeot is about to celebrate its 200th birthday. Rather than hiring scantily clad models to hop out of a giant cake, it's marking the..."
Tesla Thanks Toyota CEO with a 2011 Roadster Sport 2.5,12 Nov 2010,To commemorate tomorrow's official opening of Tesla's first Japanese store and as a small thank you to Toyoda for choosing Tesla as drivetrain partners for...
Tesla's Nemesis - Electric Lotus-Based Sports Car From U.K.,8 Nov 2010,Tesla knew what they were doing when they selected the chassis from the British Lotus Elise sports car as the basis for their Roadster.
Elon Musk Says 'Downey Is Awesome',25 May 2010,"Tesla CEO Elon Musk has written a love letter to the Los Angeles suburb of Downey, where city leaders probably would like him drawn and quartered for..."
"Tesla's Elon Musk Says Plug-In Hybrid Cars Are, Ummmm, Frogs",28 Oct 2010,"Elon Musk Says Prius Not a True Hybrid: Calls it 2% Electric · Plug-in hybrids and EVs cost less to maintain and repair, finds Consumer Reports · EVs from these..."
Official: Tesla And Toyota To Jointly Develop All-Electric RAV4,16 Jul 2010,"Electric vehicles are popularly perceived as the front-runner of the alternate fuel competition, but successfully developing EVs has proven to be a..."
"Toyota, Tesla Show Off Electric RAV4",19 Nov 2010,The wait is over: Toyota and Tesla unveiled the all-electric RAV4 prototype at this week's Los Angeles Auto Show.
2010: Electric-car lovers already lining up for Tesla’s Model S sedan,7 Jul 2010,Venture capitalist Steve Jurvetson was skimming the information packet for his Tesla Motors board of directors meeting last year when he hit pay dirt about...
Tesla Roadster to Attend World Innovation Summit,10 Jun 2010,"The World Innovation Summit, which will open its doors on June 15, will witness the public appearance of the world's first highway capable electric vehicle,..."
Make Your Chevy Volt Drive Like a Tesla,19 Oct 2010,GM's engineers have tuned the control software to mimic the behavior of a standard gasoline-engine car fitted with an automatic transmission. There's the...
Tesla Plays Santa Claus,21 Dec 2010,"As Santa is almost ready to fire up that supercharged big block powering his slay (don't worry, the airborne vehicle is a hybrid as the aforementioned V8..."
Tesla's Elon Musk Sneers at 'Primitive' 2011 Nissan Leaf Battery,9 Aug 2010,"Musk said the production Leaf used a ""much more primitive level of technology"" than anything Tesla had considered putting into production, and predicted that..."
Will Tesla and Toyota create as many jobs as hoped?,21 May 2010,"Although the deal to revive the NUMMI plant has raised hopes that it will result in thousands of greentech jobs, questions remain about how many people..."
Toyota unveils RAV4 EV with Tesla,18 Nov 2010,"While Nissan is roaring full-tilt into the electric vehicle market this year with the Leaf, Toyota is taking a more cautious approach."
"Tesla and Toyota to make electric cars in Fremont, not Downey",21 May 2010,"Toyota and Tesla are joining forces to develop and manufacture electric cars. They'll do it at a recently shuttered auto plant in Fremont,..."
2012 Tesla Model S All-Electric Sedan: Progress and Schedule,17 Dec 2010,"It's been a while since we checked in on the car that will likely make or break Silicon Valley electric-car startup Tesla Motors: the Model S,..."
"2010: Tesla, Toyota to build electric cars at NUMMI plant",20 May 2010,"Under the agreement, Toyota, the world's largest automaker, will invest $50 million in Tesla, which will buy the NUMMI plant for an undisclosed sum. The joint..."
Tesla-powered Toyota RAV4 EV breaks cover in new photos,18 Nov 2010,Remember that Tesla-powered RAV4 EV we told you about earlier this week? It's been unveiled at the 2010 Los Angeles Auto Show -- we have some rather...
IPO Nets Tesla CEO Elon Musk A Cool $24 Million,2 Jul 2010,"When Tesla (Nasdaq:TSLA) finally listed on Nasdaq on Tuesday its share price went from $17 up to $23.89 at the end of trading, a gain of almost 41 percent..."
"WSJ: No Tesla-Toyota Joint Venture, Yet",10 Jun 2010,"They may have struck a deal to transfer control of the old NUMMI manufacturing facility, but as of yet, Toyota and electric-car manufacturer Tesla have no..."
Tesla Motors shares sink as IPO excitement wanes,1 Jul 2010,NEW YORK — Shares of Tesla Motors sank Thursday as the fervor surrounding the electric-car maker's blowout public offering washed away.
"Future Tesla Models, Company Details, Revealed in IPO Road Show Presentation",21 Jun 2010,"Sketches revealed in the Road Show presentation to potential Wall Street investors included a two-door Cabriolet that bears a strong resemblance to the Model S,..."
"Founders Fund Talks Space, Robots, Elon Musk and Why It Didn't Back Tesla Motors",27 Jul 2010,"LN: Elon [Musk, who cofounded PayPal] owns about 78 percent of the company. [His other assets are tied to] Tesla, which has them locked up in its IPO, so I..."
2011 Tesla Roadster Sport 2.5: First Drive Review,18 Oct 2010,The Tesla Roadster is known among gearheads and electric car advocates as being the sports car that smashes all preconceptions about electric vehicles.
Tesla Motors CEO Elon Musk Can't Handle the Truth,12 Jul 2010,"Elon Musk, the CEO of electric-car startup Tesla Motors and rocket-launcher SpaceX, should be applauded for the mighty challenges he's taken on and the..."
2010 Tesla Roadster 2.5 unveiled - Drive,2 Jul 2010,"2010 Tesla Roadster 2.5 unveiled. California-based EV manufacturer Tesla Motors has unveiled a revised version of its $US109,000 ($130,000) Roaster. ... The..."
2010: Tesla to begin trading stock today,28 Jun 2010,"CEO Elon Musk, 38, will ring the opening bell of the Nasdaq stock exchange in New York to mark the occasion, and the company's all-electric Roadster and..."
Tesla Motors Flagship Store in Los Angeles by CCS Architecture,3 Dec 2010,Tesla Motors shows off its electric vehicles in a green Los Angeles showroom designed by CCS Architecture.
"Tesla LA Showroom « Inhabitat – Green Design, Innovation, Architecture, Green Building",3 Dec 2010,"How do you show off one of the hottest green vehicles on the market today? Why, in a sexy and efficient showroom in Los Angeles, of course. Tesla's red hot..."
Our Tesla Founder Is Better Than Your Tesla Founder,6 Aug 2010,"So Toyota's relationship with Tesla Motors has progressed very quickly, from Toyota taking a small stake in the newly public electric automaker to signing a..."
2010: Tesla IPO: Electric-car maker’s stock up 41 percent in debut,29 Jun 2010,2010: Tesla IPO: Electric-car maker's stock up 41 percent in debut.
"2012 Tesla Model S: Reader Asks Why It's Different, We Reply",8 Sept 2010,"If nothing else, electric cars arouse the passions of their supporters. Take the note we got from reader Ryan, who wrote: I googled ""electric car update""..."
Tesla Roadster Sport Brabus Green package - Drive,9 Dec 2010,"Tesla Roadster Sport Brabus Green package. Brabus, a renowned Mercedes-Benz tuner known for creating ballistic freeway weapons like the Brabus Rocket and Brabus..."
Tesla Follows BMW's Lead And Rolls Out Roadster Art Car,7 Dec 2010,If you were thinking this psychedelic paint scheme on this Tesla Roadster looks familiar then you would be thinking straight as the design is very similar...
Tesla ends trademark fight with Czech maker of once-ubiquitous TVs,3 Dec 2010,"The electric car maker's applications for the “Tesla” trademark in the European Union have been tied up by opposition from Tesla Holding, a 90-year-old supplier..."
"After Top Gear, Ben ""The Stig"" Collins Digs Electric Cars",6 Oct 2010,What happens when mysterious masked racing driver of the U.K's most famous car-based entertainment show reveals his identity? Contrary to the opinions aired...
Megamind Director Tom McGrath Interview - DreamWorks Megamind 3D Movie,3 Nov 2010,"Megamind: Inspired by Edison and Tesla, Science and DIY. When Megamind director Tom McGrath sat down with Popular Mechanics at San Diego Comic-Con, he confessed..."
Toyota and Tesla's RAV4 EV is only the first step,18 Nov 2010,"Tesla got a great deal on the NUMMI plant in its deal with Toyota this year, but what does Toyota get out of it? At the 2010 Los Angeles Auto Show,..."
Confirmed: Tesla to Build Electric Vehicles with Toyota at NUMMI Plant,21 May 2010,Confirmed: Tesla to Build Electric Vehicles with Toyota at NUMMI Plant · 1. The new car: Tesla clearly realized that the Roadster and Model S weren't going to...
"Tesla: 20,000 Annual Model S Sales Needed to Ring in Profits",31 Dec 2010,"In an interview withBloomberg, Tesla chief technology officer J.B. Straudel asserts the niche carmaker needs to move 20,000 Model S sedans per year to be..."
Tesla Breaks News on Roadster 2.5; Minor Changes Adopted,1 Jul 2010,"On paper, the Roadster 2.5 appears little different from its standard 2.0 counterpart. The front end adopts a new fascia with vents for a more aggressive look,..."
Mercedes-Benz A-Class E-Cell Electric Car: Another Daimler Experiment,15 Sept 2010,"This morning Daimler released complete details on its 2011 Mercedes-Benz A-Class E-Cell, a limited production electric conversion of its aging A-Class..."
Voros: Tesla proves Wall Street still believes in fairy tales,29 Jun 2010,Fundamentals or the lack of will catch up to Tesla quickly and at some point the stock will fall out of favor quicker than a DeLorean at an Amish convention. It...
Creating 300 Tesla ... Without Applying A Magnetic Field?,1 Aug 2010,"The greater the curvature of the bubbles, the greater the strain, and the greater the strength of the pseudo-magnetic field. The increased density of electron..."
Tesla Becomes The First U.S. Auto IPO Since Ford - Motor Trend,14 Jul 2010,Tesla Becomes First U.S. Auto IPO Since Ford. Is Elon Musk the Green Henry Ford or the latest Preston Tucker?
"Tesla Takes The Trendy Train, Hires Ex Apple-Stores, Gap Guru",12 Jul 2010,"While at Gap, Blankenship was responsible for launching over 250 retail stores worldwide for the clothing label, ensuring the company expansion was as energy..."
Ansys uses Nvidia Tesla GPUs to accelerate engineering simulations on the desktop,21 Sept 2010,"According to Ansys, by using GPGPUs, or more specifically Nvidia Tesla GPUs, it has been able to 'dramatically reduce overall engineering simulation processing..."
Elon Musk to Lose 10% of Tesla in Divorce,17 May 2010,Elon Musk to Lose 10% of Tesla in Divorce.
Tesla Model S Tops 3000 Preorders,20 Dec 2010,"Although it's still a yet to be launched model, Tesla Model S manages to remain extremely appealing to lots of buyers who agree to pay a $5000 reservation..."
"Nikola Tesla's patents for aircraft, ships, railways, autos, and more",20 Aug 2010,"He went so far as to file a patent for an Apparatus for Aerial Transportation, which he termed a “helicopter-plane.” In the application, he goes through all of..."
"Tesla Motors Reports Wider $38.5M Loss, But Says It's On Track",5 Aug 2010,"As predicted, Tesla Motors posted higher losses for the second quarter during its earnings announcement today — its first as a public company."
Tesla future in Australia at stake? - Drive,17 May 2010,"Tesla, most famous for its Roadster Electric sports car, recently announced plans to come to Australia with the Tesla Roadster but all plans could now be on..."
"Tesla plans to build electric vehicles with Toyota, buy NUMMI plant",19 May 2010,"Toyota and Tesla will become partners to produce electric vehicles at New United Motor Manufacturing Inc. in Fremont, Calif., a plant that Toyota last."
How To Make Your 2011 Chevy Volt Drive Like a Tesla Roadster,18 Oct 2010,"But Chevrolet's engineers have provided a similar ability in its Voltec powertrain: It's the ""Low"" setting on the ""transmission selector"". And when it's paired..."
Toyota and Tesla join hands to develop electric car,20 May 2010,"Toyota and Tesla join hands to develop electric car ... As reported by Toyota Canada Inc. Palo Alto, California, U.S.A. — Tesla Motors, Inc. (Tesla) and Toyota..."
Tesla's Musk had to woo von Holzhausen - Silicon Valley Business Journal,27 Dec 2010,"Franz von Holzhausen, chief designer at Tesla Motors, was initially skeptical about his current employer. The former chief designer for Mazda North Am ..."
Toyota and Tesla Will Reopen NUMMI to Build Electric Cars,21 May 2010,The heads of Tesla Motors Inc. and Toyota Motor Co. have revealed their companies will build together electric cars at the recently closed auto plant...
From GAP To The Electric Car: Tesla's George Blankenship,24 Nov 2010,"How do you go from selling clothes to electric cars? George Blankenship, Tesla's Vice President of Design and Store Development knows."
Electric Vehicle Companies Tap Silicon Valley Cash,13 Oct 2010,"Projected electric vehicle and plug-in hybrid sales for China, France, Germany, Japan and the U.S. from 2010 to 2015. Enlarge this image. Tesla Motors plans..."
Tesla spending big to build Model S,10 Nov 2010,That's an increase loss of USD $30.3 million over last year. The company says the additional funds were used in getting its Model S ready for launch in 2012...
Entrepreneur Elon Musk On Weathering the CEO Storm,9 Aug 2010,"Elon Musk, CEO of electric car manufacturer Tesla Motors and rocket company SpaceX talks about the challenges he faces, both professionally and personally."
